attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,17318980,0,,good,4,ENGL396,"I thought he was awesome.  His lectures were so energetic, and he is just HILARIOUS.  If you're interested, go for it.  I think he's especially great if you have a penchant for theoretical excursions.  But he's not going to hold your hand, and don't expect help unless you ask for it in person.",06/09/2010,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,16628057,0,,poor,2,ENGL400,"Entire class based on 15 page final paper, which had no prompt or guidelines assigned, and made no comments on grading.  Very knowledgeable in content area, but very poor teacher in small classroom setting.",12/23/2009,5,5.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12566756,0,,average,3,ENGL400,"I think he is a decent professor for English Honors courses, particularly for Irish literature etc. But our grade was essentially based on a 15-20 page paper, despite the fact that we had &quot;participation&quot; and &quot;presentation&quot; grades...a little spastic and definitely NOT organized. Very knowledgeable though.",12/11/2006,4,4.0,,3,It's my life,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11392117,0,,good,4,ENG245,"I loved his lectures. He was always prepared and lectured for exactly as long as he said he would. However, this guy is a PROFESSOR. Meaning he won't talk down to you and he sure as hell won't go out of his way to help you. Overall, I liked it, but he's definitely arrogant.",01/19/2006,3,3.0,,4,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11355868,0,,poor,1,ENG245,"You better have a photographic memory if you plan on taking the short fiction course.  Be prepared for test questions regarding character's eye color, names of streets, songs, etc.",01/12/2006,4,4.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11276392,0,,poor,1,CWL267,He was a bad teacher and was very unfair.,12/29/2005,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11252818,0,,poor,3,ENG245,"I hated this class.  He didn't test on themes or anything, but small minor details.  I emailed him for help several times with no replies.  The TAs weren't at all helpful either.  He looked like a joke and this class was a joke.",12/24/2005,3,3.0,,1,Low,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10987245,0,,poor,2,ENGL245,"His lectures, while interesting, are extraordinarily obtuse. His appearance, however, is one I hope to replicate someday.  His exams are ridiculous: they test the limits of your capacity for remembering minutia and little else.",11/26/2005,4,4.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10566870,0,,good,4,ENGL245,"He's really eccentric, and while his lectures typically last an hour, I rarely look at the clock.  This class is extremely easy as long as you read and attend lecture (light reading load as compared to other English courses).",10/08/2005,1,1.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,3715019,0,,good,4,ENGL245,"I found his lectures really interesting and I've found that if you go to lecture the tests are actually really easy.  Plus, I mean the guy is an AWESOME dresser, the powder blue suit coat with the bomber jacket over it and a yankees baseball cap that is removed to reveal a truely beautiful combover.",04/26/2005,1,1.0,,3,It's my life,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3693765,0,,poor,1,ENG245,"Professor Valente will NOT see you.  When this dude walked into class the first day, I was like, what's the janitor doing here&#63;",04/23/2005,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3647764,0,,good,5,ENG243,"I love the lectures.  They offer a ton of insight.  The grading is ridiculous though.  He gives tests that, instead of consisting of essays that test our understanding of the stories, has questions about random facts from the stories. Still, if you don't mind the stupid grading, it's a good class.",04/18/2005,4,4.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,2116294,0,,poor,1,ENGL245,"This guy is crazy.  He doesnt even understand the stories himself, let alone getting us to.",05/10/2004,3,3.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2060874,0,,average,3,ENGL245,At least he thinks he's giving us easy exams.,04/29/2004,4,4.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
