attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,1,23946037,0,,good,5,PSYCH492,"He is super funny, clear, and helpful. ",12/04/2014,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,Not sure yet,,people,person
N/A,good,good,good,0,22929675,0,,good,4,PSYC413,"Love this prof. He's interesting, clear, knowledgable, and passionate about the subject. A lot of the material in Psychopharm is really interesting. Not an easy class though. There are review sessions but you can't just go to them, study a bit, and do well. Lots of difficult material/memorizations.",03/20/2014,4,4.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,22101889,1,,good,5,NEUR413,"Dr. Gulley is an EXCELLENT professor. His lecturing is clear, he makes every effort to answer all in class questions, and exams are tough but very fair. This has been my favorite class I've taken, because the material is very interesting. I also loved the mid-lecture breaks, where Gulley would entertain us with Bob Dylan or other funny clips.",09/03/2013,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21787841,0,,good,5,NEUR413,"Great professor. Gulley takes a thorough and critical yet fun approach to some pretty complicated topics. If you ask questions in class, he gladly answers them. PSYC/NEUR 413 exams can be hard (a good chunk of students failed the 2nd one), but they're not that bad. Study in advance and don't neglect any details on the slides unless Gulley says so.",05/18/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21766372,0,,good,4,PSYC413,"Very interesting class. Gulley is a great professor, a lot of fun. This class is tough though. Study a week in advance at least for exams",05/15/2013,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21241919,0,,good,4,PSYCH210,Great professor. Course material is hard if you have no biology/chemistry background but its not hard to catch up. Makes an effort to answer all in-class questions and makes sure to explain everything clearly.,01/10/2013,2,2.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20513799,0,,good,4,PSYC413,"His lectures are very clear and organized, but be warned, there's a lot of biological terms that you may not be familiar with if you're a psych major. There's a lot of material to know but it's well-presented and the tests are straight from the notes. He does a good job of making the class fun and helping you when you need it",07/24/2012,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20430321,0,,good,5,PSYCH413,Easily one of my favorite profs at U of I. Incredibly knowledgeable and helpful. This class wasn't easy by any means but he makes it so interesting that it's not difficult to study for.,06/21/2012,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17930995,0,,good,5,PSYC210,take it in the spring. much easier,12/13/2010,4,4.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17766832,0,,good,4,PSYC210,"I thought it was the hardest section based on the material. Yet, I really enjoyed his lecturing style. He is easy to understand. The test was kind of hard. He had to curve it. His material is based a lot in biology, so study a lot if you're just a psych major.",11/14/2010,4,4.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16178719,0,,good,5,PSYC210,This class is SUPER EASY. The material is straight out of the notes.,09/08/2009,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15798046,0,,good,4,PSYC413,"Definitely helpful to have a strong biology background before taking this class. However, Dr. Gulley's lecture slides are easy to follow and he makes lectures entertaining. Tests are non-cumulative, but the essay questions on them were pretty tough.",05/08/2009,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14874662,0,,good,4,PSYCH210,"psych 210 is taught by 4 teachers, dr. gulley teaches the first section.  i thought dr. gulley made most lectures fun with his silly jokes and movies.  i didn't think the test was hard.  it straightforward and i just studied the notes and got an a.",10/16/2008,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14871973,0,,good,4,PSYC210,Liked the way he presented lectures. I found him easy to understand and you can tell he really enjoys what he teaches. Tests weren't too hard and they definitely focused on what he talked about in class versus so much from the textbook.,10/15/2008,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14660684,1,,good,5,PSYC413,"Psych majors will consider this class hard, probably the hardest in the psych major actually.  But compared to other (real) classes on campus, it is a 3/5.  Gulley is a GREAT professor though, he really cares about the subject and his students, if you have any questions don't hesitate to ask him or go to his office hours.  Lecture is very enjoyable",07/15/2008,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,14317301,0,,good,5,PSYC113,"it's really late and I clicked the wrong circles, those should have been 4's so I'll give him 5s to sort of even it out. Sorry!",04/20/2008,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13563403,0,,average,3,PSYCA,"Test was pretty easy...straight from the notes.  His posted power points slides didn't always make sense as the thoughts weren't always connected.  In lecture, he would not add much to the slides, so it was often hard to figure out what it was talking about.",10/26/2007,2,2.0,,3,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
