attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,25839550,0,,good,5,BCS115,"Prof. Pintar has been my favorite professor while at U of I. She is fun, intelligent, and loves what she teaches because she made the class and did her PhD research on the conflicts in the Balkans so gives awesome first hand stories. As long as you do the  online homework and show up for class you are sure to do well in her class.",12/28/2015,2,2.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,people
Not Mandatory,good,poor,good,1,24258031,0,,good,5,SCR115,"She made a class about war and ethnic conflicts fun. The readings are interesting, class discussions are laid back, and there's a lot of supplementary movies and extra credit. She's an easy grader and your online participation is the key to a good grade. Prof. Pintar is very genuine and laid back. Wish I would have taken more of her classes.",01/09/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,person
Not Mandatory,good,poor,good,1,24120031,1,,good,5,BCS115,Great teacher. Would definitely recommend!,12/17/2014,1,1.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A+,,person,person
N/A,good,poor,good,0,23113796,1,,good,5,SCR115,Loved her as a professor. This semester most of the grades were from online posts. There were no quizzes just a final paper at the end. She is extremely passionate about this which makes it interesting and very helpful. Attendence is extra credit - I went to maybe half the classes. Also you don't need the text book just read others posts,04/28/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,22537446,0,,good,5,SCR115,"She's pretty nice overall. Take the class if you can. 40 online writing assignments for the semester, they make up 40% of total grade. So do this. Plenty of extra credit opportunities, sometimes even for just attendance! 3 quizzes with 11 questions, all kinda easy and take home final paper also easy. You can't do bad in this course.",12/13/2013,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20372428,0,,good,5,SCR115,"Great Prof! 3 quizzes, couple of discussion posts a week, take home final. Pretty Easy, I got an A and BARELY read anything. :) TAKE THIS CLASS! 2 gen eds DONE!",06/01/2012,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17771539,0,,good,5,SCR115,"Took this class for a Gen Ed. She only grades based on whether you show up and if you post to the discussion board. Had one easy test. There is a final paper and group project, but both not too bad. She is extremely helpful and loves teaching the class.",11/15/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15806241,0,,good,5,REES496,"Professor Pintar is incredibly knowledgeable, very well versed in her field and she actually cares about her students. She takes a genuine interest in satisfying her student's curiosities and she treats her students as colleagues.  Furthermore, this course on the former Yugoslavia was hands down the best course I've ever taken at UIUC.",05/10/2009,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14735477,0,,good,5,SOC100,"Professor Pintar is one of the best I ever had.  If it were just her class you had to go to, I'd recommend it to everyone strongly; however, you have to attend a discussion section, and my section leader was abysmal.  Take the class, suffer through discussion, and be better for it.",08/12/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13202396,0,,good,5,SOC100,First of all she has music on iTunes&#63;    Easy A.  Straight forward exams. You don't need to read the book just the little reader booklet.,05/23/2007,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
