attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,26196957,0,,average,2,ENG208,Pros: She knows her class material very well and seems to genuinely enjoy Victorian literature.  Cons: A very tough grader and sometimes hard to understand.,03/29/2016,4,4.0,,4,N/A,3,3.0,1,Yes,N/A,1112,Yes,,B,,people,people
Mandatory,average,good,average,0,24687076,0,,average,2,ENGL101,"Don't take this class if you value your GPA. She is an incredibly tough grader. The best you will do in this glass is a B. Not an easy A, she is very traditional and old fashion. There is not even a compass site. Very British. ",04/28/2015,4,4.0,,3,Meh,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,19636973,0,,good,5,ENGL300,"Strange Victorian Love Poetry. One of my favorite Engl professors. She does have high expectations on papers and participation, but if you work hard and try hard you'll do well and get a lot out of the class. Not only does she teach you the material/content but she gives you great ways to approach writing, reading, and interpretation. Very sweet",12/29/2011,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18622200,0,,average,3,ENGL300,"She's a great person but requires her students to know/try very hard. She was slightly difficult to work with when I was confused and didn't clearly guide me in one direction, however she is understanding and will at least attempt to help you.",05/17/2011,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18506066,0,,good,4,ENGL300,"Professor Saville is an amazing teacher.  She really pushes you to try you improve yourself.  She was always willing to meet with students one on one.  She is passionate about Victorian Literature, which is contagious.",05/02/2011,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17966486,0,,good,4,ENGL210,"Had very little interest in this class prior to attending lecture, as I am not a big Victorian literature person. And though it's still not my favorite, Professor Saville definitely helped me understand the readings. There are quite a few readings for the class, but a lot of them are poems with only two 200ish pg novels. Attend lecture! It helps!",12/16/2010,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17759226,0,,good,4,ENG210,"OK, so Professor Saville is the most interesting English professor I have ever had! Her accent is great and when she does her different voices and acts out the poems she is great! You need to go to class and you have to read because she will give you small hints for exams that will definitely help from going to lecture!",11/12/2010,4,4.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17742234,0,,good,4,ENGL210,Her accent gives an already interesting topic a lot more fun.  The work load is expected and they do push you to do you best. Overall a great professor,11/08/2010,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16352695,0,,good,4,ENGL300,Professor Saville is extremely intelligent and is dedicated to her students. I agree that she's a nice lady who expects a lot out of her students. Her class isn't easy but you can get an A. Talk to her about papers before you turn them in; it helps a lot.,11/11/2009,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,15833148,0,,good,4,ENGL300,She has a fun South African accent that makes her reading poetry to you very entertaining.  She is a nice lady and expects a lot out of her students.,05/13/2009,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,15678437,0,,good,4,ENGL300,"She is a nice teacher and she enjoys Victorian love poems.  You def have to put in the work into your papers in order to get a decent grades.  Going to her office hrs help a lot. However, some lectures are boring.",04/20/2009,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15635764,0,,good,5,ENGL300,"Professor Saville is one of those great teachers you enjoy listening to. She is so passionate about teaching and about the material that you can't help but care about it too. She is funny and quirky and loves her students. She will challenge you, but you'll appreciate it. Take a class with her before she retires! She's amazing!",04/10/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15369100,0,,good,5,ENG210,"I love this woman.I was going to switch my major, but decided to stay in English because of her.Have taken 2 classes with her (210 & an honors seminar)and honestly, she is incredible-&gt;but you have to put in the effort.I definitely recommend going to office hours, where she is much more laid back and is willing to talk to you for as long as you need",01/13/2009,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15279390,0,,good,4,ENGL210,"I would have preferred Gillen Wood, but Prof. Saville was a fair second choice. Very knowledgeable and sometimes funny and I enjoy poetry, so it was a good experience for me. Workload was what I expected--a lot of writing on the final, but no nasty surprises.",12/25/2008,3,3.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15021807,0,,good,4,ENGL210,"Not bad, not fascinating.  You have to take this course so you might as well take it with her.  Gives lecture notes, which only help if you attend lecture.  Not a huge deal if you miss.  Readings ok- waaaay too much poetry.  two 5 page papers, a midterm, and a final, weekly half page responses for discussion sections.  overall, not difficult.",11/18/2008,2,2.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14857469,0,,average,3,ENGL210,Incredibly boring. Her overhead slides make absolutely no sense and she spends the majority of the lecture reading from the textbook even though the readings have already been assigned. Take 210 with a different professor.,10/08/2008,2,2.0,,2,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14331113,0,,good,4,ENGL255,"She's quirky and cool and she makes you WANT to learn, which is remarkable because I didn't care about the material in the beginning, but I so did at the end. You'll probably have to do group work though, which can be annoying.",04/22/2008,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13782453,0,,good,5,ENGL210,"I really dislike modern British Literature, but at least it was remotely bearable with Prof. Saville.",12/09/2007,3,3.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11999315,0,,good,5,ENG434,She made me realize that I actually like poetry alot.  Even after going through terrible English teachers in High school.,06/13/2006,3,3.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2347746,0,,good,4,ENG210,"Awesome teacher who really cares about teh students and her work but the class can be difficult with many readings, really depends who your ta is, Dalton is a great one",07/28/2004,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
