attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,20636336,0,,good,5,ACCY202,Straight forward course.  The material isn't too tough if you pay attention in class and do the (small amount of) reading recommended.  Shapland is a cool teacher who actually makes learning accy fun and interesting.  She is VERY willing to help & easily accessible through emails and office hours.  Pretty easy A if you do what you are suppose to.,09/10/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20636237,0,,good,5,ACCY202,"Professor Shapland is a great teacher. She explains things really well and is easy to reach by email or office hours or after class if you have any questions. She's not one to try and trick students, and the tests only reflect material taught. I would definitely take another class with Prof. Shapland if I could.",09/10/2012,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20635659,0,,good,5,ACCY202,"She explains things in class very clearly, and she balances her lecturing and practice/exercises in class very well as well. Her office hour is very helpful, but there are always a lot of people in her office before exam period, so recommend go early if you've got questions. She definitely makes me love accounting.",09/10/2012,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20635582,0,,good,5,ACCY202,The class is more technical than 201. Shapland teaches with clarity & passion and overall very helpful. Go to her office hours if the material is unclear or to just introduce yourself. She wrote me a recommendation for a scholarship I won. The exams may seem difficult but review old exams to get a glimpse of what to expect. iClickers are required.,09/10/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20635553,0,,good,4,ACCY202,"Professor Shapland has a deep passion for accounting. Because of this,she wants her students to not only perform well,but to also understand the practice of accounting.  As a result, Accy 202 may be challenging at times, but this  class is by no means impossible. Professor Shapland will go out of her way to help    you and the grading is lenient.",09/10/2012,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20331096,0,,good,4,ACCY202,She's an ok professor though I did like her a bit better than Curtis. I read the book for about the 1st 1/4 of the class and referenced to it when I needed. I didn't like the book n i think i could have done w/o it but def get the lecture notes. Do the old exams n go to class. Even if u don't do well on exams other pts should make up for it.,05/22/2012,3,3.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20312917,0,,good,5,ACCY202,Great Professor. She teaches with clarity and passion. Tests are just like old exams. Notes package is very helpful,05/19/2012,2,2.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,20188884,0,,average,2,ACCY202,"The course design is extremely bad. The book is not sequential, so for one reading you may end up having to flip through it 5 times. This makes you not want to read. ACCY 202 starts out fine, then, one class you can miss a few things, and bam, you start getting lost and it's a downward spiral.",05/03/2012,4,4.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,20164166,0,,poor,1,ACCY202,she definitely isn't a student-friendly professor. she doesn't enjoy answering questions and does her best to shoo away students. she's rude and not an encouraging professor. i put a ton of time into this class and i'm still not getting the results i want. she always passes off her students to the tutors instead of answering the question herself.,05/01/2012,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20124127,0,,good,4,ACCY202,This class really isn't that bad.  Shapland is so much better than Curtis.  Don't read the book.  Study a couple days before the test and take the past exams.  It's not that hard of a class if you put a little time into it.,04/25/2012,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20014648,0,,good,4,ACCY202,"Very considerate of students schedules, takes the time to answer questions throughout lecture, homework is easy(you get 99 attempts), test are tricky but usually even out with the group project score. Overall she is a great professor.",04/08/2012,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,19983048,0,,poor,1,ACCY202,"this class is ridiculously hard and demanding. she thinks we have all the time in the world for this class. i hate it, but it's required. she's a nice professor and you can tell she knows the material, but i don't think she teaches the material very well. plus, her exams are crazy hard.",04/02/2012,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19825347,0,,poor,3,ACCY202,"She is clear on the lecture but she is not helpful at all.If you ask her a question, she will tell you to go back and read the book. Her administration sucks. She forces people to change groups without giving any reason.",02/14/2012,3,3.0,,1,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
