attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,1,26590418,0,,good,4,CHLH101,"Justine's passion and experience in the health care field is evident. She does not allow laptops, but taking notes is not necessary. Show up to lecture for easy iClicker points. Her lectures are engaging and informative. Class was a pretty easy A, but I learned so much about health care she solidified my switch from MCB to Community Health.",05/16/2016,2,2.0,,4,N/A,4,4.0,1,No,N/A,1112,Yes,,A,,people,person
N/A,good,poor,good,0,26044631,0,,good,5,CHLH100,"Great, straightforward class. Material was interesting enough to hold my attention but the class was never stressful. Awesome course to take if you're considering a career in healthcare or medicine. Lectures are well organized and she really knows how to present them in a way that keeps you engaged, including using lots of youtube clips/examples.",02/10/2016,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,0,25792529,0,,good,5,CHLH101,"She is the best professor ever. Her lectures are clear and she gives good examples. I love her so much. She is hilarious and energetic person who loves to hear student's participation and questions. There are few short assignments and midterms which are brief and check your understandings. As long as you review her slides, you'll do fine.",12/21/2015,1,1.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,Not sure yet,,people,people
Not Mandatory,good,average,good,3,25538783,0,,good,5,KIN122,"LOVE HER! Justine is knowledgable, funny, and an amazing professor",12/03/2015,2,2.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A-,,people,people
Mandatory,good,poor,good,3,25327605,1,,good,5,CHLH100,"Justine is a GREAT professor. This class is so interesting, you learn a lot about a wide range of topics. She is absolutely hilarious! She makes class so much fun. The assignments are easy, it's basically just about your life so you can't get it wrong, and there's not many of them. Only 2 tests. Take this class for an easy A and a lot of new info!",11/02/2015,1,1.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,person,people
N/A,good,poor,good,5,25193901,0,,good,5,CHLH101,"She is hilarious and her lectures are so easy to follow. She makes the topics fun, and she makes them applicable to the real world. I wish she could lecture for all of my classes. ",09/16/2015,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
Mandatory,good,average,good,2,25183192,0,,good,5,CHLH100,Justine is so nice and accessible! Her lectures are interesting and the homework is straight-forward and as long as you go to class you can do well. Complete the study guide. Notes are posted online. I-clickers for attendance and eventually extra credit. I miss this class so much!!,09/10/2015,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
Mandatory,good,poor,good,3,24905473,2,,good,5,CHLH101,"This class is an easy A as long as you do the in class I clickers and the assignments. You can study for the tests a few days before and still do well, all lectures are posted online, too. ",05/26/2015,1,1.0,,5,Really into it,5,5.0,1,No,Yes,1112,Yes,,A+,,people,people
N/A,good,average,good,3,24499568,0,,good,5,CHLH101,"One of my favorite professors ever. Makes somewhat dry content very interesting and she is hilarious. Loved her class, tests require some studying but not much.",03/25/2015,2,2.0,,5,Sorta interested,5,5.0,1,No,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,3,24311492,0,,good,5,CHLH100,"I've had her for two classes(CHLH 100 + Kin 122) and each time it's been a pleasure. She's very clear of what she expects, and she knows how to give an entertaining lecture. You learn a good amount of material, but it isn't too difficult. Justine is a great person to go to if you need help or career advice. HIGHLY recommended.",01/20/2015,2,2.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A,,people,people
N/A,good,poor,good,4,23530923,1,,good,5,CHLH100,"Easy, funny, nice, and understanding. She might be my favorite teacher here actually.",08/15/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
Mandatory,good,poor,good,2,23428875,0,,good,5,CHLH100101,Best Teacher ever. Really Easy to talk to.,07/07/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,0,23261147,3,,good,5,CHLH100,"Oddly enough, this has to be one of the few classes that I got an easy A in but hated the professor. Made a subject I found interesting, dumbed down to a level which was a waste of time. Also was somewhat moody-- if you have personal problems you keep them personal. I wouldn't take another course by her, but if you want an easy A... go ahead.",05/16/2014,1,1.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,0,23177115,0,,good,5,CHLH100,This class an easy A. Requirement: 1) attend lecture (clicker points are essential to your grade) 2)do all assignments (fairly easy-rely on your own personal experiences) 3) study for midterm and final.,05/06/2014,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
