attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,average,1,25815430,0,,poor,3,PSYC224,"She's nice but I found the class very unenjoyable. Lectures were boring, and tests were harder than they should have been. She does curve the class at the end but only by a couple %. We had the other cognitive teacher sub for her occasionally and she was much more interesting and informative-- i would have much preferred her as a professor.",12/23/2015,3,3.0,,1,Sorta interested,2,2.0,1,Yes,N/A,1112,Yes,,A,,people,person
Not Mandatory,average,average,average,0,25751797,0,,average,3,PSYC224,"Class was pretty interesting, but can feel long. Make sure to fill out the question packet because most test questions come from it. However, go in for office hours if you're not sure of some answers because sometimes what she is looking for isn't very clear. Don't need to read the book at all, and if you study ppt slides, you'll be fine!",12/17/2015,3,3.0,,3,Low,3,3.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,average,good,0,24854326,0,,good,5,PSYC224,"Professor Federmeier is a superb teacher and seems like a genuinely nice person. She really, really knows her stuff, and is good at sharing that knowledge in an accessible way. Lectures are enjoyable and interesting, and pretty much essential for doing well in the course. ",05/17/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,people
N/A,good,average,good,0,22049115,0,,good,5,PSYC224,"Hands down one of the most down-to-earth and genuinely nice professors at this school, which can sometimes be hard to come by. She's crystal clear during lectures and very helpful otherwise. I wound up in her lab afterwards. I recommend waiting to take her class, as the 224 instructors alternate each semester.",08/13/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,21235523,0,,good,5,PSCY224,She's very professional and teaches students useful information. She is also very helpful. She gives practice problems for the test which make it easier.,01/09/2013,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,20995983,0,,good,4,PSYC224,"Kfed, as I like to call her in my head, is great. Sometimes she's a little technical and it can be hard to follow, but she usually does little mini-experiments in class that are engaging. She's very nice.  Weekly quiz = ezmode, just have the book open as you do them. I barely paid attention in class, just did the practice questions and got an ez A.",12/09/2012,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,20990098,0,,good,4,PSYC224,"She was helpful, friendly, energetic, and professional.  Several professors in the psyc department could learn from her!!  The tests were based on review questions she gave you, and she was very helpful in office hours.  I would recommend reading the book, it helped me a lot!  Attending class is a must, otherwise you miss a lot from slides.",12/08/2012,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,19390751,0,,good,5,PSYCH224,"One of the best professors. She keeps the class interesting, and puts all her slides online. It's perfectly possible to get an A without going to class, although I don't recommend it. You really don't need the book though. If you're not interested in psychology, I suggest you stay away from this class. Otherwise, it's pretty fun and interesting!",12/05/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,19024176,0,,good,4,PSYCH224,Exam was tough but having the questions in advance helped.  She also curves.  Lectures are pretty clear and she is enthusiastic about teaching.,09/26/2011,5,5.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,18975169,0,,good,5,PSYCH224,Interesting demos and funny videos make class okay.,09/02/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,18582386,0,,good,5,PSYC224,"I heard it was hard, but it wasn't that bad.  She won't post her lectures before class, which makes notetaking hard, but she posts all the slides after lecture and her exams mostly come from the slides.",05/11/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18560597,0,,good,5,PSYCH224,Class was interesting.  Good lecturer and a nice prof.,05/09/2011,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18381723,0,,good,4,PSYCH224,"Material was hard, but she gives you all the exam questions ahead of time.  She was really nice and spent a lot of time helping me in office hour.",04/09/2011,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,18292165,0,,good,5,PSYCH224,"She really wants her students to learn and to think.  Not everybody is looking for this in an intro class, but it really prepared me for later classes and the MCAT.  Recommended!",03/20/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,18085384,0,,good,5,COGPSYC,She was always prepared and clear. The class was mostly interesting. The tests are easy if you actually read the book and lecture slides. I would take it again.,01/05/2011,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
