attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,26323429,0,,good,5,HM454,Great guest speakers,04/18/2016,1,1.0,,5,N/A,5,5.0,1,Yes,Yes,1112,Yes,,B,,people,people
Mandatory,good,average,good,0,26323418,0,,good,5,HM354,Great Hospitality class,04/18/2016,2,2.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,poor,good,0,25317959,0,,good,5,RPTA230,"Learning by participation and not just lectures. It's a great class, I highly recommend it",10/30/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25317950,0,,good,5,RPA235,Tough class but really good instructor ,10/30/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25317947,0,,good,5,RPTA230,This class never felt like school ,10/30/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,25317945,0,,good,5,RPTA362,Lots of reading,10/30/2015,1,1.0,,5,Sorta interested,5,5.0,1,Yes,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25317940,0,,good,5,RPTA230,Best course I've ever taken,10/30/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25317933,0,,good,5,RPTA235,Awesome,10/30/2015,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25218023,0,,good,5,KNR170,Great first Recreation class. Fun and easy.,09/30/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25218014,0,,good,5,KNR170,Good. ,09/30/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25218011,0,,good,5,KNR170,Love RPA,09/30/2015,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25218008,0,,good,5,KNR170,Best class,09/30/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25218005,0,,good,5,RST234,Great class,09/30/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,25218002,0,,good,5,RST110,Good experience,09/30/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,23547193,0,,good,5,KNR170,Best class at ISU,08/21/2014,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,good,0,22775807,0,,good,5,KNR351,Enjoyed the class and assignments were easy.,01/21/2014,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,B,,people,people
Not Mandatory,good,average,good,1,22754320,0,,good,5,KNR380,This instructor was awesome. Started off slow but got better as the semester continued. I learned information that I will use in my internship and job.,01/15/2014,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,person
Not Mandatory,average,good,average,0,22497334,0,,poor,2,380,"I had Kat her 1st semester at ISU. She definitely has room for improvement; isn't really on the same level as other 300 level professors. Classes are lectures with small group work frequently, but they are kind of juvenile. I didn't take away much from the class. Book not completely necessary, takes random attendance.",12/10/2013,4,4.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,poor,good,poor,0,18828377,0,,poor,1,RST110,She's simply horrible!,07/18/2011,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,18570520,0,,poor,1,RST110,"This was one of the worst classes that I've ever taken. Not only was it boring, but she didn't know what she was talking about. She used slides straight from the text book and had to check back over her notes repeatedly, making it take 10 minutes to go over each slide. Also the exams were too hard for such easy material. DONT TAKE THIS CLASS",05/10/2011,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
