attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,17860101,0,,good,5,MUS523,"An excellent, well prepared teacher. Loves her work!",12/04/2010,4,4.0,,5,It's my life,5,5.0,1,No,N/A,12091,N/A,,N/A,,people,people
N/A,good,good,good,0,17379001,0,,good,5,MUS420,"Katherine Syer was an excellent teacher. She was beyond professional, always exhibited expert knowledge of the topic, was extremely helpful and thorough, but most of all, an enjoyable presence in class. I would recommend any course she instructs.",06/29/2010,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15580529,0,,poor,1,MUS130,Too hard of a class.,03/29/2009,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12821103,0,,good,4,MUS420,"Dr. Syer is a wonderful teacher.  Her enthusiasm has no end, much like her knowledge.  I have taken three classes with her and enjoyed them all.  She will push you to be your best, but that is why were in school, right&#63;",01/26/2007,4,4.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,2131421,0,,poor,2,MUS130,No Comments,05/12/2004,4,4.0,,1,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1883622,0,,average,3,MUS130,"WAAAAY too hard for a 100-level GenEd. She knows what she's talking about, but unless you enjoy memorizing a fewhundred classical pieces along with every detail, you will be miserable for a semester. Would probably be a great prof. for upper level classes",04/01/2004,5,5.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1849085,0,,good,5,MUS314,"Passionate about the subject. Willing to help. And very easy on the eyes. Great Accent! (Canadian&#63;)G'day, eh&#63;",03/25/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1566361,0,,good,4,MUSIC130,No Comments,01/01/2004,3,3.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,1499000,0,,good,4,MUSIC130,"Lectures are easy to follow and very interesting, but it's very difficult to do well in this class. It seems as though tests are made in order for you not to do well on them.",12/13/2003,3,3.0,,3,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1346403,0,,poor,2,MUSIC130,No Comments,11/18/2003,5,5.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
