attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,20610068,0,,good,3,MATH117,"The actual material on tests is never too difficult if you pay attention during lab, but she wants very precise answers. Also, makes a lot of mathematical errors, so check your work. Never used the textbook, but had to buy it in a package online in order to complete online homework.",08/27/2012,3,3.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20198859,0,,good,4,MATH117,"She's really nice, but she expects you to be really thorough with your answers on homework and exams. Go to lecture and discussion and you should be fine. A lot of the topics covered in discussions will reappear on exams.",05/04/2012,3,3.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19808366,0,,good,3,MATH014,Very nice lady and willing to help. The class is an easy A if you do the homework. The class felt a little too much like high school with the group work and whatnot but attendance is not mandatory and you can just turn your homework in and leave if you can teach yourself with the online book. Calculators are allowed. She is a reasonable grader,02/07/2012,2,2.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19410895,0,,average,3,MATH103,"I liked Kathleen, but i think that is because i am a math person and i understood what she was saying",12/07/2011,2,2.0,,3,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,18708917,0,,poor,2,MATH405,"I was extremely excited for this class.  Then, she basically just sat back and didn't teach whatsoever.  The grading was ridiculous.  She should not be allowed to teach a 400-level course when all she has done is 100-level courses.",06/07/2011,3,3.0,,1,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18015884,0,,good,4,MATH014,"Even though the class went fast and her explanations were confussing, it was an easy math class. shes probably the best math teacher you will get at the u of i...",12/21/2010,2,2.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,17279107,0,,poor,2,MATH125,"Where to begin. Smith seemed to get a sense of joy out of making her exams near impossible to pass. With a page of essay questions on math topics and math questions that are designed for &quot;only those who really really get the topic&quot; on her tests, its not hard to wonder how she still teaches at the University. Save yourself from her. Notes suck too.",05/28/2010,5,5.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16362203,0,,good,4,MATH125,"She's okay, she messes up a lot on notes so just follow along well so you can catch her mistakes, sometimes you can get extra credit if you catch it.",11/13/2009,3,3.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15979401,0,,poor,2,MATH405,Was really interested in this class until it actually started. The teaching is pointless and exams suck. Purposely made an exam impossible to finish to show us the results of being pressured for time. I ended up with a low C after the &quot;curve&quot; she had to use on that exam. Homework is easy and all exams are open book/note but don't let that fool you.,06/20/2009,4,4.0,,2,It's my life,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15362001,0,,good,4,MATH125,Professor Smith was very helpful to me when it came to grades,01/12/2009,2,2.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15340576,0,,good,4,MATH125,"The class is definitely not just an easy A.  If you go to office hours, she will help you a lot though.  Tutoring sessions are good, and they practically do the homework for you.  A pretty good class, I thought...",01/08/2009,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
