attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,25821469,0,,good,4,ACE455,"Great teacher, may be a little hard to understand in class. Going to reviews and office hours is a must if you want to do well. She's very helpful and clearly knowledgeable about the subject matter that she teaches.",12/24/2015,3,3.0,,5,Really into it,4.5,4.5,1,No,Yes,1112,Yes,,A,,people,people
N/A,good,average,good,0,23212150,0,,good,5,ACE261,"My first test in her class I got a D!! I was freaking out, but then I went to her office hours. She's so friendly! and she actually wants to help her students learn. She spent so much time helping me with concepts, and never acted like I was a burden. What a wonderful woman! She's so lively and kind.One of the best Econ teachers, oh, and I got an A",05/09/2014,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,19599018,0,,average,2,ACE251,I did not think that she was as prepared as she could have been. She rushed through the powerpoints and for my class she did not even make the textbook mandatory. The midterms were pretty difficult and you had to really study to get and A. The info on the Midterm is mostly thru the powerpoints and u have to memorize them to do well.,12/21/2011,4,4.0,,3,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,15568294,0,,good,5,ACE251,"Excellent teacher, good at explaining things, very nice and helpful.  Go to class and read and study her notes and you will do well.",03/25/2009,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15275715,0,,good,4,ACE251,"She is a really friendly professor who is passionate about the subject and puts students' interests and concerns into mind. She is very helpful and the TAs are wonderful. I would recommend taking this class, she was one of the best professors I've ever had since coming to this university. :)",12/24/2008,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11271782,0,,average,2,AGSC350,"very friendly and enthusiastic person, but she didn't teach the stats component of AGSC very well. Powerpoint notes were not laid out very well and she doesn't gives you access to the notes before class",12/28/2005,3,3.0,,3,Low,2.5,2.5,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,good,average,good,0,3132700,0,,good,5,ECON355,Great prof.  Very clear and helpful.  Midterms and final were not hard at all.  Just understand her notes and read the textbook and no way you can't get an A in this course.,12/30/2004,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,good,average,good,1,3088220,0,,good,5,ECON355,she really knows how to teach. Her class is fun to take.,12/21/2004,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1413,N/A,,N/A,,people,person
N/A,good,average,good,0,1721009,0,,good,5,ECON355,She is the best prof I have had in Economics,02/15/2004,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,good,average,good,0,1558955,0,,good,4,ECON355,she's a very great prof. fun n marks easy. notes r helpful. willing to help students on course-related stuff. the 1st gd econ prof i've ever met in ubc. but sometimes she's rushing. if she can goes a lil slower it'll be much better.,12/28/2003,2,2.0,,5,N/A,4.5,4.5,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,good,average,good,0,1479402,0,,good,5,ECON355,Baylis is a good professor.  You will see this if you read the textbook before class.,12/10/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,average,average,average,0,1450657,0,,average,3,ECON355,"It would've been very helpful if he'd used Krugman's book more.  Her lecture quite different from textbook; not always easy to understand.  Very nice & wants to help, but somehow always loses/confuses me.",12/06/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,average,average,average,0,1167624,0,,average,2,ECON355,"She's always so jittery and seems like she's always in a hurry to cover a lot of material and I just find it really hard to follow her.  The course is fine but it's so much micro, 202, stuff...",10/03/2003,3,3.0,,3,N/A,2.5,2.5,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,good,average,good,0,1147627,0,,good,4,ECON355,"She seem very energetic and is super nice and willing to help with various questions, whether assignment- or lecture-related.  However, she goes a little t0o fast (or maybe I've just forgotten too much of the material learned in ECON 201/202;)",09/23/2003,3,3.0,,5,N/A,4.5,4.5,1,N/A,N/A,1413,N/A,,N/A,,people,people
N/A,average,average,average,0,1146889,0,,good,3,ECON355,"so far, i think her notes are REALLY helpful.. going through the ppt slides again at home really makes a big diff even if you dont get it in class right away :) nice prof~",09/23/2003,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1413,N/A,,N/A,,people,people
