attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,4,24728842,0,,average,2,CHEM104,"She is tough, but a good teacher. Avoid if possible, her tests are actually the worst thing ever.",05/03/2015,5,5.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,C-,,people,people
Not Mandatory,average,good,average,1,24693187,0,,average,2,CHEM102,Lectures are fast-paced. Tests are difficult. She expects you to have some understanding of the material before she teaches it.,04/29/2015,4,4.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,Yes,,N/A,,people,person
N/A,average,good,poor,2,24642793,0,,poor,2,CHEM104,If you want to have a good GPA by the time you graduate I strongly suggest avoiding Marville. She constantly mentioned the engineers in class and purposefully made the material harder for their sake. Tests were significantly harder than every other chem class's. Lectures were unclear and very confusing. Biggest regret taking her class. ,04/22/2015,5,5.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,good,good,1,24637408,0,,good,5,CHEM104,"Amazing teacher, tough tests.",04/21/2015,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,Rather not say,,people,person
Mandatory,poor,good,poor,4,24321572,1,,poor,1,102,"Please! Please! Please! DO NOT TAKE THIS CLASS WITH MARVILLE! She was condescending, rude, and degraded her students; even to the students who worked hard. If you do not want to be verbally abused then do not take her class!",01/22/2015,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,Yes,,F,,person,people
Not Mandatory,good,good,average,1,24146471,1,,good,4,102,She's tough but you feel like you understand the concepts after lectures.,12/19/2014,4,4.0,,3,Really into it,3.5,3.5,1,No,Yes,1112,Yes,,B-,,person,person
N/A,poor,good,poor,3,24124962,1,,poor,1,CHEM102,"If you can, avoid taking this class with Marville. Condescending doesn't even begin to describe her during office hours. Looking back, the material was not hard at all, but her explanations were often confusing; she made basic algebra seem like rocket science. Would not recommend her class at all.",12/17/2014,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,Yes,,N/A,,person,people
N/A,poor,good,poor,3,24097823,0,,poor,1,CHEM102,"This class is taught as if you have already taken AP chemistry. Don't ask questions, you will receive a condescending response.   ",12/16/2014,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,good,average,1,23930133,0,,average,2,102,"Marville is an extremely serious and strict professor. She doesn't sugar coat anything and her explanations are often unclear and end up confusing you more. Tests are really really hard, but she gives you the opportunity to do better on the re-take. Online homework can take long, especially because you only get 10 tries. ",12/02/2014,4,4.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,Yes,,INC,,people,person
Mandatory,average,good,poor,4,23831343,1,,poor,2,102,"She is very rude in office hours and acts like it is a hassle to help you. She makes this entry level course ridiculously difficult. Where other professors assign problems from the book she simply says ""do them all"". DO NOT HAVE HER",11/17/2014,5,5.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,Yes,,B,,person,people
