attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,26627466,0,,good,5,CS511,"Tough class, but perhaps the best one I have in college/grad school. Professor taught critical thinking and emphasized concepts. Questions discussed in class were intriguing and inspiring. Much reading. Heavy project. I would recommend!",05/20/2016,4,4.0,,5,N/A,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,good,good,1,25946046,0,,good,5,CS412,"Helpful and interesting lectures. Homework was heavy, but TA turptorials helped a lot. Generous grading with lots extra credits.",01/15/2016,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,A-,,people,person
Not Mandatory,average,good,average,0,25907687,0,,poor,2,CS412,He is funny but he does not teach well. I will recommend that instead of going through quickly from slides better explain the concept and show how can you apply the concept to a small problem.  You are at your own to figure out stuff,01/09/2016,4,4.0,,2,Meh,2,2.0,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,poor,good,average,0,25874872,0,,poor,1,CS412,"The materials were hard and he went through it way too fast. Homeworks took a lot of time, but you could get some help by attending the tutorial and the TA office hours. Exams were very tough, you would have to understand each concept to do well. If you take it as 3 credits, make sure to do the extra-credit project to boost your grade.",01/04/2016,5,5.0,,3,Low,2,2.0,1,No,N/A,1112,Yes,,A+,,people,people
Not Mandatory,good,average,good,0,25215445,0,,good,5,CS412,Lectures are clear and interesting. Best I have this semester.,09/29/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25195935,0,,good,4,CS412,Am taking it right now. Great teacher. ,09/17/2015,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,good,good,0,25160078,0,,good,4,CS412,Explained things clearly with good examples. Lectures were recorded. Exams were reasonable. Hard stuff made easy!,08/30/2015,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,good,poor,good,0,25143390,1,,good,5,CS411,GREAT PROFESSOR! ,08/23/2015,1,1.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A+,,person,people
Mandatory,good,poor,good,0,24941133,0,,good,5,CS411,"I like this course, which is practical and actually fun. He is a good teacher and give good lectures. Homework was reasonable. Exams could be hard.",06/05/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,good,good,good,0,24934396,0,,good,5,CS411,"Good lectures. Actually enjoyed listening to him. I'd take his course again too, maybe 412. ",06/03/2015,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
