attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,average,0,25887045,0,,good,4,MATH241,"Honestly he isn't that bad. Yes, his lectures are slow, and it gets frustrating when not all material was covered, but it's easy to follow along. DO NOT expect to be able to go to lecture and learn it all. You have to read the textbook, you have to work through all of every discussion worksheet. This is true for any MATH 241 prof.",01/06/2016,3,3.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,poor,good,poor,0,25767080,0,,poor,1,MATH241,Kevin is one of the most unenthusiastic people I have ever met.  He has a very slow demeanor and can barely get through any material in class.  He gets angry when people ask him questions during lecture and refuses to hold office hours.   Lectures are a waste of time because they always go right over your head. His tests are also very hard.,12/18/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,C,,people,people
Mandatory,good,good,average,0,24947108,0,,average,4,MATH231,He was pretty rude and a pretty bad grader.  The only plus was that he was pretty clear in his teaching.,06/08/2015,4,4.0,,1,Sorta interested,2.5,2.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,1,21627670,0,,poor,1,MATH231,Not a good professor. no idea how to teach,04/29/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,average,0,21171972,0,,good,4,MATH231,"Not the best professor but certainly not a bad one. His lectures are clear and straight to the point. Homework reflects lectures and exams reflect material/practice exams. He is hard to approach and seems unenthusiastic, but he is extremely knowledgeable and knows how to explain stuff.",12/26/2012,3,3.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,2,21132444,0,,poor,3,MATH231,Ford is very disconnected from students. He is extremely boring and is hardly ever clear while explaining material. Worksheets are hard and homework can take hours. I ended up going class with Laugussen halfway through the semester because he was much more interested in the topic and the students as well. Take Laugussen if you have a choice!,12/19/2012,4,4.0,,1,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21025197,1,,good,5,MATHAL1,Great professor with clear lecture. He is very friendly.,12/11/2012,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,18541757,5,,good,5,MATH453,"Good professor; fair exams, clear lectures, but homework can be a bit hard.  Also, note that he demands you to be discipline- that means being on time, turning things in the BEGINNING of the lecture, not after.  Extremely helpful; responds to e-mail in a timely manner.  I'd recommend this guys to anyone",05/06/2011,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16300843,1,,good,4,MATHMATH,"Math 231. Hard tests. BUT, 10% curve on 2/3 tests. 10% no matter what! I got over a 100% on one of them. It made up for my failing quiz grades.",11/02/2009,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,13954950,2,,good,5,MATH231,"Kevin Ford is too cool for school.  His disposition can make his less-than-stellar jokes hillarious.  Also, he's an amazing lecturer and a fair grader.  It feels like he's reading my mind and answering my questions before I can formulate them into sentences.",01/06/2008,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13187654,0,,good,5,MATH231,Excellent lecturer and very clear too. The tests were very hard but the professor was very fair with grades.,05/19/2007,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13145325,0,,good,5,MATH231,This class is not hard at all - curves makes an 80% an A-.  Beder is a good TA as well.,05/10/2007,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
