attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,26472994,0,,good,5,MATH231,"Calc II is SUPER hard but she is a great professor. She will explain things as well as she can, but it really is up to you to do your homework and go to tutoring to figure the rest out.",05/05/2016,5,5.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,B,,people,people
Mandatory,good,good,good,0,25935878,0,,good,4,MATH231,"This class felt like a very long marathon to live through. The homework was very stressful and difficult. To get a good grade, you have to put in every single bit of effort you know how to give. There were many TAs available for help. Kim was good at explaining lectures, but it was very fast paced",01/13/2016,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,Yes,,A-,,people,people
Not Mandatory,good,average,good,0,25598097,0,,good,5,MATH231,"she is really funny and clear during classes. Super patient too.  unexpectedly she made the class actually interesting. overall, comon its math you have to study for it.",12/08/2015,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,25203449,0,,good,5,MATH231,"Funny, very concise in lecture, very good at explaining things, cares about her students' success",09/22/2015,2,2.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,good,average,0,25073893,0,,good,2,MATH231,"Kind professor who will go out of her way to help you so long as you ask for it. With that being said, her lectures can sometimes be unorganized and not very clear. Attending office hours is highly recommended.",07/28/2015,4,4.0,,5,Low,3.5,3.5,1,Yes,N/A,1112,Yes,,B,,people,people
Not Mandatory,good,average,good,0,24547409,1,,good,5,MATH231,I like this professor so much. She is hilarious and makes learning math such a interesting thing!,04/05/2015,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,A+,,person,people
N/A,good,average,average,0,23608860,1,online,good,4,MATH231,Good teacher.,09/23/2014,3,3.0,,3,It's my life,3.5,3.5,1,No,N/A,1112,Yes,,N/A,,person,people
N/A,good,good,good,0,22437912,0,,good,5,MATH231,"Very good lecturer and sarcastically funny. Quite helpful if you attended office hours, and doing midterm/final exam reviews are a must. Class was difficult and she was challenging, however I would still recommend this professor.",12/04/2013,5,5.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21237327,0,,good,4,MATH221,"Excellent professor, very clear examples, and generous curve.  She may be a little more difficult on the exams, but it is very reasonable for Calc for peoplewho have taken calculus.",01/09/2013,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21108984,0,,good,4,MATH221,"Took her calc 1 class, she is a lecturer and lecturers like one. Her class is harder than the other professors calc classes. She is clear and makes sense, she will take the time to explain at office hours. I bought the book, very expensive, used it for homework once. Only reason to buy is bc it is required for calc 1 through 3.",12/18/2012,3,3.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21010942,1,,good,5,MATH221,"Book is pricey and only used twice. Buy it on IBX and get WebAssign from the source. Whittlesey is clear, concise, passionate, and sarcastically funny. If you don't care, you won't do well. Don't sleep, chat, or disrespect her.  Do the midterm reviews.  They tell you almost exactly what will be on the exams. You'd be a fool not to. Best TAs ever.",12/10/2012,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
