attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,18839685,0,,good,5,ENGL202,"Loved Kimberly and this class. If you are an english major the 202 level won't be too difficult, but she does know her stuff really well so if you want more in-depth instruction you can get it from her. Class is mandatory and she had daily quizzes - which might deter some people but for me it actually made me do my readings so I got more out of it.",07/21/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14604239,0,,good,5,ENGL102,I'm NOT an English person and this class had a lot of reading but she actually made it interesting.  I think she made me a little cultured.,06/22/2008,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13664126,0,,good,5,RHET105,"She goes out of her way to make sure we're comfortable with new things like citation and using the library.  The papers are stressful, but she really prepares you for them.",11/15/2007,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13613859,0,,good,4,RHET105,"she's hot. HOT. HOT. reading is a little hard, papers stressful with bogus topics though. a lot of work, but did I mention she's hot&#63;",11/07/2007,2,2.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13609954,0,,good,5,ENGL209,Kim is an excellent TA. She goes out of her way to help you understand Professor Barrett's lectures and the texts in general. Makes discussion fun to go to.,11/07/2007,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13520996,0,,good,4,RHET105,"She is really nice and will go out of her way to help you if you ask for it. If you miss class, e-mail her to find out what you missed. She's really good about helping you catch-up, but it's one of those classes you really need to go to or you'll get behind. I hated having to take this class, but it really wasn't that bad.",10/11/2007,2,2.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13024274,0,,good,4,RHET105,"I liked this class. She is really helpful in explaining what to do for the papers and helps, if you ask, with suggestions, that is if you need anymore aside from the in-class  peer reviews. The work wasn't too hard at all. We had 4 papers and other small, rather easy, assignments.",04/17/2007,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12810883,0,,good,5,RHET105,"I was bitter about having to take this class, but I am glad I did.  She really helped me fine tune my research paper.",01/23/2007,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12808664,0,,good,5,ENG209,"Awesome TA!  Her theatrical background makes class fun, and I learned a lot.",01/22/2007,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12122164,0,,good,5,RHET105,No Comments,08/01/2006,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11838744,0,,good,5,RHET105,"Thought I'd hate this class, but I learned a lot about writing papers.",05/07/2006,2,2.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11669893,0,,good,5,RHET105,"She really invests a lot of time in the class and goes out of her way to help us learn.  She's kind of like Phoebe from &quot;Friends&quot; but that's ok - it makes class interesting!  But whatever you do, don't complain about the prompts!",04/06/2006,5,5.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
