attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,24840233,0,,good,5,ENGL199,"Kirstin Wilcox's course was easy. As long as you had your internship and did work in the internship, you were in the clear of receiving an A in the class. This course entails: cover letters, resume work etc. She only gives a bad grade if you did not do a portion of the assignment or put forth no effort. ",05/15/2015,1,1.0,,4,It's my life,4.5,4.5,1,No,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,24324805,0,,good,5,ENGL109,I really enjoyed her class! She is very helpful with writing and analyzing different short fictions. And the students are always engaging. ,01/23/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,23047879,0,,good,5,ENGL206,"This is not a class to take if you have no intention of participating, but if you are someone who struggles with being afraid of talking in class, she is really helpful. She definitely understands. This is one class that I was so sad to finish. Would take another class with her in a heartbeat.",04/16/2014,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,A-,,people,people
Mandatory,good,average,good,0,22386378,0,,good,5,ENGL109,"Kirstin is great. She really gets the class discussion going and provides meaningful feedback on papers. She makes herself available for office hours if you ever need help. If you follow the rubric she gives you for each paper, you will do fine, though I've struggled a bit with figuring out exactly what she wants from my papers.",11/25/2013,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,average,poor,average,0,20884762,0,,good,3,ENGL206,"Kirstin's syllabus gives you a perfect idea of how to get an A in her class and if you follow it, you'll be golden.  As an English major, I didn't find this class super challenging but some non-English majors really struggled with the material, since it's not modern English.  She's super willing to help/grant extensions/ whatever to get you an A/B",11/26/2012,1,1.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,18092792,0,,poor,2,ENGL300,"Class is extremely boring and she talks a lot about nothing. She'll rip you a new one if you attend class unprepared (i.e. no book, missing assignment). Her teaching methods are not efficient and isn't at all helpful during office hours. She is poorly paid and a poor excuse of an educator.",01/06/2011,4,4.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17964917,0,,good,4,ENGL206,"This class was fairly difficult for me, but she was willing to sit down and talk about the problems i had. I actually enjoyed the class because it exposed me to a lot of new literature.  Do NOT take this if you don't want to try.",12/16/2010,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17964898,0,,good,4,ENGL206,"This class was fairly difficult for me, but she was willing to sit down and talk about the problems i had. I actually enjoyed the class because it exposed me to a lot of new literature.  Do NOT take this if you don't want to try.",12/16/2010,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17043954,0,,good,5,UHUH,"She is a wonderful teacher. If I could take the class again, I would. I feel bad for anyone who hasn't had her as a teacher.",04/22/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16877730,0,,good,5,ENGL300,"Wilcox is a great teacher. The class is relatively easy if you do your work. She lets you revise your paper if your not happy with your grade. Plus there is a variety of different assignments, so you're not just doing boring lit. analysis papers. I would differently reccommend this class!!",03/16/2010,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
