attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,24859869,0,,average,2,HIST274,"Definitely get the books and do the readings. Pay attention in lecture, it'll make your life so much better. But most importantly, do the readings before class, otherwise you'll be lost. Tests are mostly essay format. ",05/18/2015,3,3.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,average,average,average,0,24265322,0,,good,3,HIST171,"Professor Hoganson is enthusiastic about what she does. Often dull content though, and she moves too fast through the powerpoints where often times you don't have time to take proper notes. Had to read 3 novels on top of the textbook & source readings. Take home midterm was helpful as opposed to in-class. Reasonable class but be prepared to read. ",01/10/2015,3,3.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,good,average,good,0,17824023,0,,good,4,HIST274,Interesting course if you're interested in Modern US history.,11/28/2010,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17751602,0,,good,4,HIST274,"Her lectures are pretty interesting, uses a lot of videos and examples to break up straight lecture.  If you like American History you'll like this class, there's 2 papers a midterm and a final, papers aren't on the easiest topics but manageable and exams were not too bad at all.  Grade also includes in class quizzes and section participation",11/10/2010,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17456058,0,,average,3,HIST171,"Although many students don't like the content taught in her class, I really enjoyed her class and I really felt that she went out of her way to make the class fair for students. She made it extremely clear what would be on the exams and even gave us some slack during the TA strike.",07/27/2010,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17168601,0,,poor,1,HIST274,"Boring lectures, excessive reading, and an overly difficult final exam (if you don't remember all of the readings, you're screwed).",05/10/2010,4,4.0,,2,It's my life,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16971574,0,,average,3,HIST170,"Teaches a very skewed view of history. This class is American history until 1877, and we didnt touch the revolutionary war, war of 1812 or the civil war at all. She taught about minorities and womens history. A little of that is ok, but this is not a minorities class. A LOT OF READING!! tests were made impossible, and were 3 hrs of essay writing",04/09/2010,4,4.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16741230,0,,good,4,HIST171,She was a very nice professor who seemed to enjoy what she was teaching. I enjoyed her lectures greatly. The midterm was not too difficult as long as you kept up with the readings and the lectures.,01/20/2010,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,16739344,0,,good,3,HIST171,Awesome!,01/20/2010,4,4.0,,5,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16733308,0,,good,5,HIST170,"Overall, she was very nice and knew what she was talking about. She worked around a TA strike to make sure we didn't miss any of the information necessary for the exam. There was only 1 midterm and a final. Listens to classes;even as far as allowing us to submit questions to use on the final.Did have a lot of readings but nothing to hard.",01/15/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,16629139,1,,poor,1,HIST170,"Yeah, she definitely did not teach history the way I was expecting a college level course to be taught.  Also, she did spend waaaaaay too much time on minorities and women's sufferage rather than other pertinent political issues and interesting figures in history.  We talked about the actual battles of the civil war for no more than 5 min",12/23/2009,2,2.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,16434452,0,,average,2,HIST171,If you have a bad TA then you are in for a  LONG semester. Prof. talks very quietly in lecture and tends to ramble a little. Very passionate about her subject material but lectures are straight from the readings. All grades are from essays and writing so your grade is basically up to your TA.,11/28/2009,3,3.0,,3,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,16386417,0,,poor,2,HIST170,We had to read four books. I used to like history...before I took this class. The lectures what she bases the class on but they are EXTREMELY boring.,11/17/2009,3,3.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16182653,0,,average,2,HIST171,"she seems really biased against the guys in our class. she encourages people to participate but when we do, she completely downplays our thoughts. i feel like a moron in her class.",09/10/2009,4,4.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15895137,0,,good,4,HIST274,"Prof Hoganson is a real good teach. The class was interesting and if you go to all the lectures, you will get a good grade in the class. The tests arnt to hard at all and she keeps you interested during lectures. Overall, great teacher, pretty good class.",05/25/2009,2,2.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15680285,0,,average,2,HIST274,"I would avoid this class if you aren't a history major/accustom to history courses. She teaches rapidly during lecture, and all of the TAs grade difficultly. The average in my section was a C+. I come from Business and I had no idea what the TAs wanted in the papers until it was too late. Interesting material, though. 2 Papers = 35% of the grade",04/21/2009,4,4.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13613630,0,,good,5,HIST170,"Amazing professor, the best or second best I've had in all 4 years. Don't have to read the book in either HIST 170 or 274, just pay attention in lecture and regurgitate info on test to get a good grade. Both HIST 274 and 170 (adv. comp) are good classes to take. Extremely knowledgable, she knows what she's talking about, and she's very nice.",11/07/2007,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11858702,0,,good,4,HIST274,Midterm and final are memorizing terms. Not a difficult class if you follow instructions. Class is actually interesting for a non-history major. She teaches with a slight liberal/anti-American bias. But who in the history department isn't a socialist&#63; Get Mike Lehman as you TA.,05/10/2006,2,2.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3443706,0,,good,5,HIST285,"Prof, Hoganson is a very interesting and helpful professor.  She really makes history alive and relevant.  Personally, I think it's good that there are people out there who know America isn't perfect and while she never seemed biased against America, it's not a bad thing to present America's faults.",03/10/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1978711,2,,poor,2,HST151,"Professor Hoganson is an extremely bias professor.  She constantly focuses on projecting the United States of America in a bad light, and very rarely mentions good moves that America has made throughout history.",04/17/2004,4,4.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
