attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,22692609,0,,average,3,ASTR100,SO MUCH INFORMATION. For a 100 level course information was broad and the test questions were concise. Need to go to class for iclickers. Class dragged and no one pays attention. Super easy to get a B in the class but impossible to get an A. I got 50% on both exams and still got a B.,01/03/2014,5,5.0,,3,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,average,good,0,22528647,0,,good,5,ASTR100,"Pretty easy concepts but a lot of information to remember for tests. So tests are pretty difficult and worth a lot (40% for each test) but he curves them a bunch. Out-of-class activities give you easy 5% extra   credit for the class. Don't need to buy the book either, didn't use it once.",12/12/2013,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
N/A,good,poor,good,0,22264590,0,,good,5,ASTR100,"This class is incredibly easy. Tests are really basic. Go to the lecture and you'll have virtually no problems. Minimal textbook reading needed. Homework was eaay. Enjoyable class, great for a gen. ed. option. Has a spectacular sense of humor.",11/06/2013,1,1.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21698822,0,,poor,1,ASTRO100,"I'm not sure why anyone would recommend this class. Yes there are very large curves on the test, but thats because everyone fails it without the curve. I would suggest taking any other class to cover this gen-ed.",05/07/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21552566,0,,good,5,ASTRO100,"I encourage anyone who isn't very sciency to take this class, super easy as long as you pay attention in lecture. Thompson's grading system is awesome and you can tell he loves astro. Pretty cool guy and an interesting class",04/17/2013,2,2.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20229404,0,,good,4,ASTR100,Thompson was extremely nice and very knowledgable about astronomy. Has a very strong passion for it. The class wasn't too bad- i didn't read the textbook at all and still ended up with an A in the class. Tests are really difficult but he curves them really good! Lectures are pretty boring but helpful in terms of the test. Not a bad class.,05/08/2012,2,2.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18844256,0,,good,5,ASTR122,"I would recommend ASTR 100 or 150 if you are looking for an easier Astro class.  Thompson knew his stuff and was actually fairly famous in the astronomy world, but his lectures are pretty dry.  His tests are quite difficult, but he has a very generous bell curve.  I got a C+ on every test and an A in the course.",07/23/2011,3,3.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,18333102,0,,poor,1,ASTR122,"This class was terrible. Prof. Thompson clearly is passionate about what he teaches, but has no idea how to teach! He just talks to himself and rambles. He is very unclear about what will be in the tests. Although the curve was generous, this class is still too hard to be a 100 level class. DO NOT TAKE THIS CLASS.",03/30/2011,4,4.0,,3,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18220134,0,,good,5,ASTR122,"He is so knowledgeable about his subject and clearly passionate about it; it made me enjoy class more to know that he was excited about what he was teaching. He's also very nice and approachable, and always willing to help.",02/08/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17991187,0,,good,4,ASTR122,"This class was great for a GenEd! Only two tests-midterm and final, but the curve is extremely generous. He is passionate about the subject and approachable. Read the textbook...lectures will make more sense! homework is easy especially if you get help from TA or prof. I would recommend this class and prof to anyone!!!",12/18/2010,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
