attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,24890248,0,,good,5,ECE210,Great professor. She is explains the material in this class far better than I've seen any ECE professor explain. I wish she taught every ECE course.,05/22/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,B,,people,people
N/A,good,good,good,0,24855964,0,,good,5,ECE210,"One of the best ECE professors I've had. Her lectures are super detailed and she tries to make sure that the students really understand what is going on. Her office hours are helpful and she really tries to guide you in the right direction. The class in general is fast-paced, and a lot of homework is assigned; be ready to go to office hours.",05/18/2015,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,24317705,0,,good,5,ECE210,I think she is the best professor I have had at u of i.  She wants all of her students to do as well as possible and really puts a lot of effort into making sure the material is presented in a way that is clear for everyone. ,01/21/2015,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,B,,people,people
Not Mandatory,good,poor,good,0,24309234,1,,good,5,ECE210,Great professor. Best section among all.,01/20/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,person,people
N/A,good,average,good,1,24266567,1,,good,5,ECE210,Waldrop was absolutely amazing in this class. She provides the clearest explanations to content that is difficult to explain the first place. You can clearly see how effective her lectures are by the massive overflow of students in the lecture hall every day. She goes out of her way to make sure we are all on the same page as her.,01/11/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,person,person
Not Mandatory,good,average,good,1,24024874,1,,good,5,ECE210,Great prof! People from other sections all started to go to hers. Make sure you show up 10 mins before the lecture or you won't even get a seat. (Btw people sat in the front of the classroom and stood in the aisle all the time so no worries if you can't actually make it).,12/10/2014,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A+,,person,person
Mandatory,good,average,good,0,23565504,2,,good,5,ECE329,GREAT ECE Godis,08/28/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,good,poor,good,0,21944867,1,,good,4,ECE329,She is a Great teacher. The best one for 329. Attend all lectures to ensure a good grade.,07/04/2013,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,2,21561764,1,,good,5,ECE329,Good teacher. Speaks English properly so lectures are actually useful. Definitely take it with her. Also super hot.,04/18/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,1,21360624,1,,good,4,ECE329,"Professor Waldrop is an excellent lecturer and a very empathetic teacher. She is one of the few professors I've met in core ECE classes who really cares about her students learning the material. Amazing instructor, definitely go to her office hours if you can.",02/23/2013,3,3.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,0,20065241,1,,good,5,ECE329,"I think she has been my favorite professor since I've been on campus & I am a junior. I was dreading taking 329 but it turned out to be one of my favorite classes of the semester. She's always prepared, has great examples, understands the materials back & forth, and very well organized in her lecture style, clarity, & effectiveness. Take it w/ her!",04/17/2012,3,3.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,20008699,1,,good,5,ECE329,"Attend her lecture section if you can. She sometimes teaches material differently than the course lecture notes that are posted online. She gives lots of examples, which are extremely helpful.",04/06/2012,3,3.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,2,16298420,0,,good,4,ECE329,"great teacher! Explains it in ways that no other instructor at UIUC does for 329 - make sure you take 2 different sections to get the whole idea! once you get it on the Homeworks, it is easy.  Waldrop will teach you in a way that allows you to no only understand but to keep the knowledge...that and she is SMOKING HOT for a ECE Prof!",11/02/2009,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
