attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,12098874,0,,poor,1,CALC220,IMPOSSIBLE if you've never taken a calc class before or in high school.  Very quiet and smart man who teaches at you and not to you.  He laughs at your questions and sucks at teaching.  Not a good professor I had a tutor and I still only got a D+.,07/23/2006,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11053078,0,,good,5,MATH220,"i took it on my freshman year.i was afraid of clac class before taking his class, but it turned out so great after taking his class. you just need to do homework then exams will be really  easy for you.",12/05/2005,1,1.0,,4,Low,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10544627,0,,good,5,MATH220,I had his class last year and it was really easy. You do not need to put too much effort on the exams if you understand what's going on in lecture. The grading curve is awesome. I think that was my easiest A I've earned at U of I.,10/02/2005,1,1.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10160540,0,,good,4,MATH220,"Nice guy, makes calculus as easy as.. well nevermind.  Best 220 teacher. Make sure you get a TA that can speak english",08/24/2005,4,4.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,10130828,0,,average,3,MATH220,"must take for calc I, other teachers make it needlessly harder",08/16/2005,1,1.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3836754,0,,good,5,MATH130,"By miles, the best math teacher i've had at this school. His exams are fair, he's and engaging teacher, and explains the stuff with a clarity rarely seen in UIUC's math department.",05/11/2005,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3312649,0,,good,4,MATH347,I had Math 347 (old 247) with Prof. Dornhoff and I enjoyed it very much.  I found his teaching style very clear and he did a good job of explaining things that were essentially brand new to me.  Only negative I found was that he was not very receptive at his office hours.  Otherwise A++!,02/02/2005,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3105341,0,,good,5,MATH130,"Had him last spring, curves are enormous...makes it pretty nice.  Somewhere around 30% curve I'd say.  Very nice",12/23/2004,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3063268,0,,good,5,MATH120,He is the BEST TEACHER i've ever HAD! He should get awards for his great work,12/17/2004,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2849266,0,,good,3,MATH220,He's not that bad of a teacher. He gives a lot of homework but it helps you when it comes time to take the exams. The help session really does help you.  It's true that no other math 220 has this kind of help. Not that bad of a guy.,11/29/2004,3,3.0,,4,Low,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2778659,0,,good,3,MATH220,"Boring boring class, but the tests are easy compared to the homework he assigns",11/18/2004,2,2.0,,4,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2752668,0,,good,5,MATH220,He makes the TA's hold help sessions for the students- that are very helpful! This is a big deal- no other math 220 prof. does it.  Very cute old man- He told us once (while doing a problem about it) how he was on a very tall ladder that happened to slide out from the wall!,11/16/2004,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2070378,0,,good,4,MATH120,hes nice and rubs his forehead a lot. hes nice about excusing online homework when the server doesnt work!,05/01/2004,4,4.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2053651,0,,good,5,MATH120,The best there is.  Posts comics.  Rubs forehead often.,04/28/2004,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1080120,0,,good,5,MATH120,Best & most useful class I took in my undergrad studies.  Instructor very knowledgeable and helpful.,08/07/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1037621,0,,good,5,MATH130,Best math teacher I had so far at UofI.  Likes to rub his forehead.,07/04/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,920295,0,,good,5,MATH130,He's an awesome guy.  Gives exams that reflect what you actually need to know.  And he really does rub his forehead a lot.,05/03/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,809069,0,,good,5,MATH120,"Absolutely the best professor for math, no questions asked.",04/09/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,661457,0,,good,5,MATH120,he's the greatest,03/02/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,651228,0,,good,5,MATH130,He is a great man who definitely loves math and rubs his forehead alot.,02/28/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
