attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,24757757,0,,average,3,PHYS427,"She makes a lot of mistakes during lecture. She's not all the time clear, but she tries to make sure everyone gets a (more than) fair grade. She dropped one of her graders for being too harsh during my semester with her, and told everyone to come see her in her office if they had any issue with their grades.",05/06/2015,2,2.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,Yes,,A-,,people,people
Mandatory,poor,average,poor,5,22217020,0,,poor,1,PHYS427,"I don't know whether she is truly remarkable at her research or whatever,she is definitely the WORST teacher for a high-level physics course. Her exams/hws are somewhat straightforward, but you would have to mostly self-study to get good scores, as she just 'reads' the textbook materials and even makes confusing blunders all over during classtime.",10/25/2013,3,3.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14677783,0,,good,5,PHYS140,"Great lecturer.  I can't imagine physics being any more interesting than with this lady.    Extremely easy course too.  I managed to get an A+, the first in my life.",07/22/2008,1,1.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13997926,1,,good,5,PHYSSECT,She is not only a Professor but a Distinguished Physicist.  It is an honor to have a class with her because you are in a room with a true genius.  How can that possibly be topped!,01/14/2008,5,5.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,13393096,0,,good,4,PHYS140,A pretty good professor.  This is by far the easiest physics class I've ever taken (way easier than both of my highschool physics classes).  The people that had trouble with this class simply aren't technically minded.,08/09/2007,1,1.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,13026780,0,,average,3,PHYS140,"Don't listen to these guys.THIS CLASS IS A PIECE OF CAKE. AUTOMATIC A or A+ if you just go to class and solve some past exams. If you didn't get A in this class, well you are just too lazy.",04/18/2007,1,1.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11730293,0,,poor,2,PHYS140,Has some interesting anecdotes but sometimes can't explain things in laymen's terms.,04/19/2006,2,2.0,,2,Low,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,3,11371388,0,,poor,1,PHYS140,she is a horrible professor. everything i complained about to my parents is exactly what everyone else has already posted here. i did better in honors physics at my highschool than in this class. seriously avoid this class; it is not an easy A.,01/16/2006,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,1,10912849,0,,poor,1,PHYS140,"Professor Greene is never there and when she is she rushes through the class.  She is unsure of her explanations and says &quot;it's not my problem, cause I don't have to know it&quot; when she is unsure.  Plus, she wears more velour than a 1970s couch.",11/15/2005,3,3.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,1,10895398,0,,poor,2,PHYS140,"The class has easy subject material, yet Professor Greene fails to explain much of it clearly. She is constantly not there and the TA's are even worse. Demonstrations are fun, and Brian DeMarco is awesome. A MEH class... there is probably better out there!",11/13/2005,3,3.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,0,10658477,0,,poor,1,PHYS140,"Greene is an awful teacher with a shrill voice.  I work really hard in that class, but still have a low A with the curve.  She doesn't explain anything well and she is always gone so she pushes her work onto others.",10/28/2005,4,4.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3793270,0,,good,3,PHYS140,"Everyone said this class was an easy 'A'; trust me it's not! If you go to discovery room and do homework, but ur not doing so well on the exams..you're going to get a 'C' in the class. The exams are hard/tricky even though some of the h.w. questions are on the exam. Hope this helped :)",05/05/2005,4,4.0,,4,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3709090,0,,good,5,PHYS140,"Really easy class, professor is fun",04/25/2005,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3373571,0,,good,5,PHYS140,"One of the easiest gen eds for this requirement, I'm sure. She's really nice -- don't take any other teacher for PHYS 140!",02/19/2005,1,1.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3356777,0,,good,5,PHYS140,Awesome,02/14/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3304638,0,,good,4,PHYSICS140,"FUn to listen to. Can be boring, not terrible tho. The lady is quite crazy and overall alot of fun.",01/31/2005,2,2.0,,4,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,3268616,0,,good,4,PHYS140,"This woman rocks.  LOVES what she's doing, the whole 'professor/grading/administration' is a low priority. Good class for nonmajors - after sitting through something dry as hell like accounting she's refreshing and funny.",01/24/2005,2,2.0,,3,It's my life,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,2949254,0,,average,2,PHYS140,"Easy class.  Laura is not funny at all.  Her jokes consist of putting herself down at a laughs expense.  It is unfortunate that her jokes suck.  I will give her props for continuing on with the lecture like nothing happened when the blind kid's seeing eye dog shat.., not even kidding... HILARIOUS",12/08/2004,1,1.0,,3,Low,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2623206,0,,good,5,PHYSIC140,"Easy if you've ever taken physics before.  Lecture notes online, so you don't have to go if you don't want to lecture, but the demostrations are awesome. A great class to take if you are even remotely interested in physics.  Homework easy - exams are 25% past exact hmwk questions. Highly recommend!!",10/31/2004,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
