attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,22148619,0,,good,4,PS280,She's a sweet lady and definitely tried to help everyone individually with research papers. Class was part lecture and part discussion. Readings every week before class but not that long. Midterms/Exams were just  essays.,09/30/2013,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21917302,0,,good,4,PS382,"Professor Hastings is the biggest sweetheart on campus. I had no background in economics but she made it pretty easy to grasp the material. While there is a lot of reading, the practical knowledge you get out of it is really worth it. Prepare to do a lot of writing as well. She loves in-class participation. Great class if you're interested in IPE",06/23/2013,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21859449,0,,good,5,PS382,"Hastings is fantastic. Even though I knew very little about IPE going into the course, her lectures made it very easy to get a grip on the topic. BE PREPARED TO WORK. The class was focused around reading articles and writings reviews every week. Be sure to go in to office hours, as she loves when people come in to talk to her!",06/03/2013,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21091524,0,,good,5,PS280,She is the best professor ever. You HAVE to take a class with Hastings before you graduate.,12/16/2012,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,good,0,20263944,0,,good,3,PS382,"This was her first time teaching an IPE course, but it's her world so the enthusiasm and commitment overcame the lack of experience. She's a genuinely very nice and very helpful person. I would definitely urge you to enroll if she is teaching a course you're interested in. I'd post things about the course, but they are very likely to change.",05/11/2012,1,1.0,,5,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19791514,0,,good,5,PS353,"She's definitely right up there as one of the best poli sci profs at the u of i. Agree with one of the previous comments, she is like a really nice aunt. I messed up my first open book book exam (yes open book!) and still got an A-). The stuff she made us read was pretty boring, nevertheless was super nice and made everything seem interesting",02/01/2012,1,1.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18958592,0,,good,5,AA0,"Simply awesome. If only all professors at the university were as skilled as she is. I really got a lot out of the class, although I wish I put in a ton more effort. I highly recommend taking one course with her during your four years.",08/28/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18845684,0,,good,5,SOCW200,"She clearly loves her profession. She explains well, and the class is very interactive. You actually get to know your classmates.",07/24/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18596803,0,,good,5,PS280,"Rarely will you come across a professor who does this much for her students. She is great at her job, but the class is a bit unstructured and the readings are too many. But regardless, I strongly recommend this class. Who else takes you for dinners, have project 'fairs' and gives you all the time you need for assignments&#63; *This is the GC Section*",05/13/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18232605,0,,good,4,PS353,she's like a really cool aunt. also she is always willing to work with students and shows great interest in her subject material. i make an effort to attend this class.,02/14/2011,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17751793,0,,good,5,PS280,"She was an amazing professor, she wants you to get the best grade you can. She cares about her students and works with you if you are having problems. A lot of reading but she recommends &quot;skimming.&quot; This class is one of the best classes at this university",11/10/2010,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17638542,0,,good,5,PS356,"Professor Hastings is by far the best professor I have ever had. She is so helpful, and really cares about her students. Foreign Aid was a great class, a lot of reading but if you do it you'll learn a lot",10/07/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15201796,0,,good,5,PS280,"Two tests and a take-home final. Two papers; 2 response papers. Very lenient on deadlines. Tests are difficult, but completely manageable if you learn the material. Going to class is important, many lectures. You learn a lot, but you do have to try. Highly recommended. And READ THE TEXTS!",12/15/2008,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
