attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,17917408,0,,good,5,CS125,He is an awesome professor. He makes his class so much fun and has cool jokes and tricks in every one of his classes. Attendance is not mandatory per se but u cannot succeed without attending his lectures which I always look forward to. Probably one of the best professors in the whole university.,12/12/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17848755,0,,good,4,CS125,"OMG! what an amazing professor, enjoy his show!",12/02/2010,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17778360,0,,good,4,CS125,"Lectures are fun, but at times I have a hard time keeping up with what he's saying, I think it's the australian accent haha. The exams are okay and the MPs get harder throughout the semester, so be careful.",11/16/2010,3,3.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17776609,0,,good,5,CS125,"He makes lectures enjoyable and is also very willing to answer questions during or after lectures. Grading is fair. Do all the mps and you'll be fine. Overall, best class to take at U of I!!!I totally enjoy this class. ps; I didn't have any programming experience prior taking this class. It's not that hard as it might sound.",11/16/2010,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17755636,0,,good,5,CS125,I want to give him a hug.,11/11/2010,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17718084,0,,good,5,CS125,Probably the best professor I have ever known. the class is really fun and he has a good sense of humor. There are a lot of extra credit opportunities (I ended up with over a 100% score).,11/01/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17668489,0,,good,5,CS125,"Lawrence Angrave is the best computer science teacher I have ever had. He has a real passion for what he does and I highly recommend taking this course if you are looking for a good cs class to take. Be forewarned, there are weekly MPs (Machineproblems) due each Monday at 8 pm, and they require around 3-8 hours of work, depending on your experience",10/18/2010,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17268063,0,,good,4,CS125,He was a fantastic lecturer.  This class was amazing and truly reccomend it to others.  He made  me excited to attend class.,05/25/2010,4,4.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16998384,0,,good,5,CS125,"Awesome Professor and an awesome lecturer. He's very upbeat which helps keep my attention, very clear, and he's always open for questions in the lecture and before/after the lecture.",04/15/2010,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16952239,0,,good,4,CS125,"if you're having a bad day (or a good day) go to class. angrave is fun, quirky, inspiration, and quite an idealist. lots of talk about true love and zombies. if you sit in the front you will be called out for examples. if you haven't programmed before it will be difficult but if you're willing to put in the time i definitely recommend the class",04/05/2010,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16621477,1,,average,2,CS125,,03/29/2010,1,1.0,,3,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,1,16738047,0,,average,3,CS125,"Very enthusiastic, and helps get you excited about the material.  His teaching style is very visual and memorable, so if his explanations click, they really stay with you. But I felt that his explanations tended to lack clarity, and I may have been confused if I didn't know most of the material. But he makes up for it by offering lots of re-grades.",01/20/2010,2,2.0,,3,It's my life,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,person
