attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,average,0,26721137,0,,poor,2,MATH234,"This class is poorly taught. All notes are posted online and lecture is quite boring. She teaches directly off slides which often contained mistakes. Last year, she cancelled lecture the day of an exam to protest so she could get a contract. Always make sure to attend discussion though. TA's are your friends if you want to pass this class easily.",06/13/2016,3,3.0,,2,N/A,2,2.0,1,No,No,1112,Yes,,B+,,people,people
Not Mandatory,poor,good,average,0,26641904,0,,poor,1,MATH125,Never again... Super hard class for freshman level,05/24/2016,5,5.0,,3,N/A,2,2.0,1,No,N/A,1112,Yes,,C-,,people,people
Not Mandatory,good,good,good,0,26208938,0,,good,4,MATH125,Hard grader. Expect difficult exams.,03/31/2016,5,5.0,,5,N/A,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25977054,0,,good,4,MATH125,Lena's voice can get annoying but if you actually get yourself to pay attention you'll do well. All the notes and examples are online so it is relatively easy to do the homework. Also she posts previous midterms online so you know what to expect but there is nothing for the final so expect to study a ton for it.,01/21/2016,3,3.0,,5,Meh,4.5,4.5,1,No,N/A,1112,Yes,,B+,,people,people
Not Mandatory,good,good,good,0,25957150,0,,good,5,MATH125,"Her voice is very boring, but if you pay attention to her lectures (that she posts online) she says exactly what you need for the tests. She doesn't teach you anything you don't need and gets right to the point. If you ask for it, she will help you with anything you need. She wants everyone to pass the tests, which are super hard.",01/18/2016,4,4.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,Yes,,B-,,people,people
Not Mandatory,good,average,good,2,25955160,0,,good,5,MATH125,"I took her Math125 last semester. She is cute and helpful and she puts all the notes online, so you do not have to go to her class... lol",01/17/2016,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
Mandatory,poor,good,poor,0,25830238,0,,poor,1,MATH125,"Do not take her class. She goes way too fast, Its insane. Her class and teaching sucks.  Her handwriting is awful, and she teaches us things that we don't even need to be learning, wasting our time. She does give extra credit, but the class is tough. She's a horrible teacher and does not know how to explain anything.",12/27/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,average,0,25821040,0,,good,4,MATH125,"I found the textbook to be much more helpful than Lena - I stopped going to lecture after the first two weeks and studied only out of the book.  Other than that, her lectures are pretty much torture from what I remember but it was definitely not difficult material if you put time in to reading the book.",12/24/2015,3,3.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,Yes,,A-,,people,people
Not Mandatory,poor,good,poor,1,25635354,0,,poor,1,MATH125,Worst class ever,12/10/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,person
N/A,poor,good,poor,3,25601403,0,,poor,1,MATH125,"Avoid this class if possible. If you're trying to get into business, there are easier courses to take that won't destroy your GPA. There's homework due every Friday. She only curves tests if the class average is under 75% (it almost never is). Worst class ever. She's a good person, but a terrible teacher. ",12/09/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
