attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,4,26136994,0,,good,5,CHLH206,"I like her. She's relaxed and funny, but also gets the point across. Sometimes we don't get to all of the material because so many people are raising hands to participate. She's very smart and obviously knows the content inside and out. Highly recommend jumping on the chance to taking this open/honest sexuality class with awesome prof. Thanks Lena!",03/12/2016,3,3.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,people
Mandatory,good,average,good,6,26041743,0,,good,5,IHLT498,"I like that Lena teaches ""outside the box."" She's very adamant about experiences and what we'd take away from the course so she had involved assignments instead of tests. This was a study abroad in Australia, so I liked having free time to explore while also getting more traditional tours and lectures, and then putting it all together at the end.",02/09/2016,2,2.0,,5,It's my life,5,5.0,1,No,Yes,1112,Yes,,A,,people,people
Mandatory,good,average,average,6,25488149,0,,good,4,CHLH206,"Lena is super awesome and makes class interesting and fun. I took this class because I heard it was an easy A- which it is. However, you will not get an A if you don't show up to class, submit journals, or modules on time. Highly recommend this class & professor. ",11/25/2015,2,2.0,,3,Sorta interested,3.5,3.5,1,Yes,Yes,1112,Yes,,A+,,people,people
Not Mandatory,good,average,good,3,25255622,0,,good,5,IHLTH230,"I'm in DGS and this class is so different from all my other freshman classes. Lena has helped me think about what major to do, and possible jobs I can get in the future. The class has student presentations, which helped because I never did one before and she met with me to practice to overcome my shyness. I wish I could take more classes with Lena.",10/15/2015,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,6,24914418,0,,good,5,CHLH587,"FABULOUS! This is a required master's internship class for hands-on learning. There are 3 pre-course seminars during the year leading up to the course so you aren't lost. Lena explains everything clearly, and helped me get my dream project in another city. She gives thorough feedback on (graded) drafts so that you can apply it to the final version.",05/28/2015,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,5,23167122,1,,good,5,CHLH206,"Really awesome class. Once the introductory stuff is over it's usually one class a week of her lecturing, one class with a guest speaker. Midterm and final are easy, as are LearnSmart modules and journals. Take notes on the guest speakers for journals. The grades were so high in our class that McGraw-Hill threw us a pizza party. Recommend",05/05/2014,1,1.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,3,22470152,0,,good,5,CHLH206,"This is a great class. Anyone who says its boring or is mad about expectations must never have attend or even talked to Lena. I sat in the back almost every lecture and still had a great time. The material is interesting, Lena is excited to be there, and homework is relevant. I like this over online option because we get guest speakers and Lena!!",12/08/2013,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,average,1,22445246,3,,average,4,CHLH206,Overall pretty easy class but if you have issues with your grade or anything else Lena barley helps you. You are not allowed to email and if you have class during office hours you are basically out of luck. No tests- two final projects that are easy but class is mandatory and boring.,12/05/2013,2,2.0,,1,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,A,,people,person
N/A,good,poor,good,1,22193502,0,,good,5,CHLH206,"LOVE her. I took this as an easy A blowoff class (which it totally is) but it's the class I look forward to the most. No tests or quizzes. Midterm and final both are easy projects. As long as you show up, answer iclicker questions, and do the online modules and journal each week, you'll get an A+.",10/19/2013,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,22141181,0,,good,4,CHLH206,"I don't care too much for the class. Attendance is mandatory. 700 points total for the grade 140 for the midterm (paper), 140 for the final (paper), 140 for in-class quizzes, 140 journals (1 due every week) 140 for the online homework (which is easy.) But this is way too much work for a 2 credit hr. class. I wish I would have taken it online.",09/26/2013,3,3.0,,4,Sorta interested,4,4.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,5,22137507,0,,good,5,CHLH206,"I love, love, love her. She makes sure the class is interesting by providing videos and personal stories, along with guest speakers. She uses Compass2g more than any of my other professors and makes sure everyone is up to date and informed. I HIGHLY suggest anyone take this class, no prior knowledge is needed to enjoy it.",09/24/2013,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,3,21784996,0,,good,5,CHLH206,"Alright class. I took it as a blowoff class for extra hours, but I ended up really looking forward to going to class. Lena did a great job engaging the students and she incorporates guest speakers which was a lot of fun. Would recommend.",05/17/2013,1,1.0,,3,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,2,20009066,0,,good,5,CHLH206,"She's such an awesome instructor and I absolutely love going to class! She has i-clicker questions every lecture, which makes going to class mandatory, but Lena makes it so interesting. Plus, she's got some hilarious stories of her own. We have occasional speakers too, which makes class interesting. Easy assignments and tests. HIGHLY RECOMMENDED :)",04/06/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,19625624,0,,good,5,CHLH206,"The material itself is already interesting, but she also has the occasional movie clips and guest speakers. You have to read the book (and pay attention to the generalizations) for the pop quizzes and tests. If you want to learn more about all of this type of information, take the class- its worth it. Good Luck!",12/27/2011,2,2.0,,5,Really into it,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,19022508,6,,poor,3,CHLH206,"This class makes me feel like I took a women's rights class.  She uses this class as a pedestal to preach her views about women in society when no one really cares.  Also, she randomly has these ridiculous pop quizzes that use i-clicker, however, if your i-clicker does not properly register then she assumes its your fault and you get no credit.",09/25/2011,4,4.0,,1,Sorta interested,2,2.0,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18220228,0,,good,5,CHLH206,"She's really funny! She's teaching about sex so she obviously already has everyone's attention, but she knew how to keep it. Her delivery of the information was good. Overall this class was an easy A.",02/08/2011,1,1.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18155945,0,,good,4,CHLH206,"SUPER FUNNY! Entertaining delivery of info, but respectful & educational too. Said the FIRST DAY OF CLASS that if you were expecting a blowoff, take a DIFFERENT section. Very helpful during office hours & really nice in person. Keeps a respectful class, even w/ 200 students in 1 room. Study the study guides! We never had a pop quiz in our class...",01/18/2011,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18151343,0,,good,5,CHLH206,"Definitely an easy A class and enjoyable too if you like to learn about sex. Her explanation is super clear. Do all the extra credit opportunities.  You will only lose a few points if you skip her lecture and missed the guest speakers and online quizzes. Her slideshows are totally based on the textbook so if you miss her lecture, read the textbook.",01/17/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,2,18114945,1,,good,5,CHLH206,"The common problem with the other reviews is that everyone treats it as a blow off. Its a real class treat it like such. The material is interesting, and Lena is a good Professor. You do have to attend class. The online stuff is pretty easy. Exams aren't bad but you should still study. Overall a very good class. If sex interests you you'll enjoy it",01/10/2011,2,2.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,17921197,2,,good,3,CHLH206,"treats the class like a bunch of 5th graders.  I thought this would be a blowoff but she makes it mandatory to go to class, gave pop quizzes all the time and the exams aren't as easy as I thought they'd be.  Still and easy A or B but not probably easier with a different teacher",12/12/2010,3,3.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
