attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,1,24464079,0,,good,4,CS374,Difficult material but Lenny does a good job of presenting clearly.  Sometimes pretty funny.  ,03/15/2015,4,4.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,person
N/A,good,good,good,4,23724127,0,,good,5,CS374,"Pitt made difficult material easier to understand.  His help during office hours were fantastic.  Lectures are pretty good, and he has a good sense of humor.   A hard course though, with too much work.",11/01/2014,4,4.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,0,23321768,2,,poor,1,INFO102,"If this is your first time taking a computer science course, I would suggest looking up a lot of information on Discrete Mathematics like in the free textbook in CS 173. Lenny is terrible in his methods of teaching",05/28/2014,4,4.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22830455,1,,poor,1,INFO102,Worst instructor I've ever had. Lectures are unclear and mind numbingly boring. Most of the material should be learned on your own time. Don't expect to learn anything from Lenny.,02/10/2014,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,2,19134327,0,,good,4,INFO102,"This is one of my favorite courses! Yes, the online quizzes can get tricky sometimes. But, the professor is extremely helpful and makes the class super interesting! He often uses &quot;magic tricks&quot; or games of some kind to better explain a concept. It is these activities that make it easier to understand a concept. It's not an &quot;easy-A&quot; course though.",10/31/2011,3,3.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,19017322,1,,poor,2,INFO102,"His online quizzes ask really stupid and tricky questions, but you get two tries to fix your mistakes. The lectures are super boring because he reads off the power points that are available online anyways. I don't understand the way he grades either.",09/22/2011,4,4.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,poor,0,16599491,1,,poor,2,INFO102,"He may know about computers, but he knows nothing about teaching. He talks too fast, goes too indepth on things we didn't need to know and didn't discuss other things we needed at all. He didn't answer questions well, and his quizzes were impossible. Even the book didn't help. Very disappointing.",12/18/2009,4,4.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,poor,0,16510569,2,,poor,2,INFO102,"talks to fast over his powerpoints, isn't very clear what is and what is not important. but at the same time his online quizzes test very specific details...ugh",12/09/2009,5,5.0,,1,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16250158,2,,poor,3,CS100,"Responsible for the most worthless orientation session; doesn't know what he's talking about; memorizes everything verbatim; treats students as if they were 5 years old. Mandatory attendance, too. You have to put up with him.",10/19/2009,1,1.0,,1,It's my life,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,16219431,2,,poor,2,INFO102,Not so great.... The subject matter is difficult and it was my first time exposed to informatics. I'm not sure if he is just missing the fact the this is an INTRODUCTORY class. He teaches the class in a strange manner and not very clear and cohesive. Trust me I am a very good student but he i a bad bad teacher...,10/04/2009,5,5.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11993615,1,,poor,1,CS273,No Comments,06/10/2006,5,5.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,average,1,11317833,0,,good,4,CS375,Subject matter was very tough but Prof Pitt managed to explain it with a bit of humor.,01/07/2006,4,4.0,,3,Meh,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,10165403,0,,average,3,CS475,Hard subject that is often confusing.,08/25/2005,5,5.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,1781833,0,,good,4,AUTOMATA,"Lenny's a nice guy. His subject is tough (Automata), but he keeps it interesting!",03/06/2004,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,poor,average,poor,0,1088456,1,,poor,1,CS173,Pitt's the pits.  That about sums it up.,08/14/2003,3,3.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,poor,average,poor,0,978802,2,,poor,1,CS173,This guy blows.,05/22/2003,2,2.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
