attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,23983559,0,,good,5,ASTR1008WKS,"Yes, it's possible to get an A but you'll definitely have to work for it. The content is pretty interesting, but you have tog get super organized in this class. You'll have multiple things due every week and a ton lectures to go over. If possible, I'd avoid this class as an 8 week course. You'll definitely always have somethingto do in this class. ",12/08/2014,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A,,people,people
Mandatory,good,poor,good,0,23147328,0,,good,5,ASTR150,"Professor Looney has great knowledge in Astronomy, while he can explain them in a super easy way in an elementary class. He taught this class with great passion and great illustration. This class is definitely fun to take. If you are interested in further knowledge that this class won't cover, don't hesitate to ask him. Great teacher.",05/02/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22550031,0,,good,5,ASTR150,"Looney is a super funny guy and this class was really interesting. It wasn't a complete blow off, but it wasn't too bad. Just do all the homework/observation sessions and study a bit the night before exams and you should pull an A. I would definitely recommend him for a science gen ed. There was no text book and no final.",12/14/2013,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22268168,1,,good,5,ASTR150,"Professor Looney is the BOMB.  He is a truly good teacher, and really explains material thoroughly.  He is also absolutely hilarious and makes me laugh every class.  I would highly recommend him and this course to anyone - I am far from a science-lover, but this class has helped me enjoy, I repeat, ENJOY science!!",11/06/2013,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,22268124,0,,good,5,ASTRO150,"Professor Leslie Looney is honestly amazing. I would call this my first positive experience with a science class!  In addition to being truly GOOD at teaching, he makes class interesting.  I literally lol almost every period.  LOONEY FOREVER!!!",11/06/2013,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18844188,0,,good,5,ASTR150,Looney is a beast.  Best prof on campus and this class is extremely interesting.  It is the easiest astronomy and physical science class you will find.,07/23/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18394513,0,,good,5,ASTR150,"The homework, exams, and lab could trip you up if you're expecting a blow-off class, but otherwise its great.  Looney is very enthusiastic and the course is full of interesting content",04/12/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18114908,0,,good,4,ASTR150,He is one of the most enthusiastic and off the walls professors you'll ever meet. His grading is very fair. The exams aren't bad considering you can use a notes sheet. There's lots of Iclickers so you have to show up to class. There's no book used. Take this class its fun and interesting!,01/10/2011,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17279085,1,,good,5,ASTR150,"&quot;Sexy Boy&quot;. Killer Skies was one of the best classes I've taken. Looney kept me excited for class and did presentations effectively and with great humor. Highly recommend him in general. Online quizzes were tough but given multiple chances. Exams are somewhat hard so study. Never a dry moment, great guy, great topics. You're gonna have fun. Ciao",05/28/2010,4,4.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,17054917,1,,good,5,ASTRO330,"Excellent professor. Hilarious, fun, and good.",04/25/2010,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,16694188,0,,good,4,ASTR150,"Loved his Killer Skies class! He's very funny and allows you to bring in a sheet of notes for each test and even the final! Theres no textbook, but you have to use his ppt slides alot for the HW and cheat sheets. The HW is quite hard tho, even with the ppt slides given to you. But you get unlimited number of tries, and the highest score is taken",01/07/2010,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16221497,0,,good,4,ASTRO150,"A kind, knowledgeable, phenomenal teacher.  I would recommend any of his classes. He is hilarious, engaging, and intelligent.  This class was so far from my major, and yet I enjoyed class everyday.  Study, its astronomy.  But Looney is fantastic.",10/05/2009,4,4.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16195572,0,,average,3,ASTR150,"I hnonestly can say that Leslie Looney is the only reason I go to class (that, and the iclicker credit). I can't say that I've actually learned anything in this class, though Looney is fairly entertaining.",09/19/2009,1,1.0,,3,Meh,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14720546,0,,good,5,ASTRO122,He is absolutely AMAZING! A complete riot and wonderful professor. Class is NEVER boring and something new is taught daily. Online homework is a breeze and tests aren't horrible. Studying is necessary for them though.,08/06/2008,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14269628,0,,good,4,ASTRO122,He is AMAZING! The funnest class I have had all semester. He's knows his material and is always willing to help.,04/10/2008,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12074284,0,,good,5,ASTR210230,"Best professor I've had so far! He is informative, clear and funny. Makes you actually wanna go to class... Gotta do homework regularly and study for the test--they aren't bad if you do.",07/12/2006,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11801449,0,,good,5,ASTRO122,"Great professor and great class! I recommend taking this course, it was a physical science and quantitive reasoning II course.",05/01/2006,1,1.0,,4,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11736549,0,,good,5,ASTR122,"The name says it all, but I doubt that there is a better teacher on campus.  Homework questions can be hard, but if you ask him, he'll tell you exactly how to do them.  In class demos are the funniest things ever.  Great guy.",04/20/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2723135,0,,good,5,ASTR100,"This is the best class I've taken at the university.  The only thing necessary to get a good grade is effort.  The information I learned in this class won't be forgotten, because he made it very interesting.",11/12/2004,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1566366,0,,good,5,ASTR100,No Comments,01/01/2004,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
