attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,1,26400760,0,,poor,3,FSHN232,"I've never felt the need to write a comment about a professor, however Garrow is straight up awful. She makes you buy her 200 dollar text book that is just the slideshow that she presents in class & makes you show up to her 8 AM class so she can just read off the slide word for word. She is also condescending and rude. The material is fine tho",04/28/2016,3,3.0,,1,N/A,2,2.0,1,Yes,N/A,1112,Yes,,B,,people,person
N/A,good,average,good,4,24716382,0,,good,4,FSHN232,"I'm not sure why some people rated her so bad on here because she was honestly my favorite professor here. I absolutely LOVED her class and it ensured me that I chose the right major. Granted, the lab write ups and exams can be a little difficult, but if you go to lecture, take good notes, and pay attention you'll be fine. ",05/01/2015,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,0,22610150,0,,good,4,FSHN131,"She is very tough, but absolutely loves food. Loved going to class and she made the material interesting. Helps out if you ask (as long as you get over her matter-of-fact tone). The exams and lab write-ups are tough but interesting.",12/18/2013,4,4.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,21861132,0,,poor,2,FSHN332,Her exams were the downfall of the class. She gives you a study guide but the exams are wayyy more detailed than she tells you you need to know. Lab was easy thank god but the lecture was very difficult.,06/04/2013,4,4.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,21530673,0,,good,4,FSHN131,"Professor Garrow is hard but she's willing to help you if you ask for it. It's true that if you have the old exams, you can do well on the exams. However, I didn't have any of the old exams and I still got an A on almost all exams. I just studied EVERYTHING in the lecture notes and in the lab book. Good news is there's no textbook for the class.",04/13/2013,4,4.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,19863397,0,,average,4,FSHN131,"She is nice , but it is not easy to get points from her class.",02/27/2012,4,4.0,,2,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17172038,0,,good,5,FSHN131,"You have to work for an A (90%) in this class, but it's definitely possible. Tests require a LOT of memorization. Labs are fun. Lab reports aren't hard but if you miss some stuff you can get a decent amount of points off. You don't have to take the final if you get at least a B (80%) on all 4 tests. She's helpful as long as you ask.",05/11/2010,3,3.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16708556,1,,average,3,FSHN131,She made the class harder than it should have been. The labs were the only thing that saved my grade because the exams were ridiculous. The university should hire professors that actually want to teach because Garrow clearly does not.,01/11/2010,5,5.0,,2,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,2,15830326,1,,poor,1,FSHN131,"Memorize old exams, lecture at 8am brutal, especially when the notes don't help when studying for exams. Not helpful, doesn't seem to enjoy teaching.  Lab was too long.  This class was the reason why I changed my major.",05/13/2009,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,1,12646914,1,,average,3,FSHN131,Makes you feel stupid and knows how to point that out to the class. She assumes you should know all the different cooking techniques. That lab is fun as long as you don't burn anything (or she will point it out to the entire class).,12/19/2006,3,3.0,,2,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,poor,good,poor,1,12534691,1,,poor,1,FSHN131,can't give clear feedback to students,12/06/2006,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,poor,good,poor,2,11252835,1,,poor,1,FSHN131332,"SHE SUCKS!  She hates girls, loves guys.  Although she never changes her exams, so if you have old ones, memorize them!",12/24/2005,4,4.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,poor,0,11051959,1,,poor,2,FSHN131,I am so sorry if you have to take this class.,12/05/2005,5,5.0,,1,It's my life,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,3688565,0,,poor,2,FSHN131,"I was excited for the class, but as someone stated the exams were hard.  Those that did have the old exams were pretty much the only people that got A's on them, which sucks when you spend hours studying and don't do as well.  Could be made a little funner/easier, a little intimidating.",04/22/2005,3,3.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3537611,0,,average,3,FSHN131,I think she makes this class much harder than it should be.  The exams are VERY tricky and I felt like she didn't want us to do well in that class.  I generally have no problems getting good grades and I don't think this is a class that should trip me up! I was just disappointed in general!,03/31/2005,3,3.0,,3,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,3287749,0,,average,4,FSHN131,"Garrow was not a very cheerful/helpful person.  Her tests had tricky questions - but apparently if you get the old exams, you are golden.  I did not have them :( I liked the class, not her.  Loved the lab, but the reports are marked off for every little thing.  The project is annoying",01/27/2005,3,3.0,,2,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,817584,0,,good,5,FSHN131,Really smart and easy to talk to.,04/10/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
