attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,poor,0,26160658,0,,poor,2,AAS100,"if you just wanna pass AAS100 or LLS100, by all means avoid her. Her lectures are not preparing you for the test. and the test itself is an essay in which you respond to a question. If you fail to mention anything she wants from reading, which is A LOT, and the lecture, you lose points. I was full-A  junior student until i met her.",03/19/2016,5,5.0,,1,Meh,1.5,1.5,1,No,N/A,1112,Yes,,B,,people,people
Mandatory,good,good,good,0,25102118,0,,good,5,AAS496,"Professor Cacho was my best professor at U of I. Notice that the low ratings on here are from 100 and 200 level courses. Sorry that a professor actually made you guys work for a good grade. You could easily give her a 1 for easiness, but she's a definite 5 for helpfulness. I always went to office hours and she always was patient and helpful.",08/07/2015,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,good,poor,1,22804833,1,,poor,1,AAS215,"Her class have too much readings in the forms of long pages articles. She never teaches during class tyme on behalfe of students. Hereafter, she graded so hard on papers and assignments. No exams. It seems that if you do not have the same way as she thinks. Then this definitely hurt your grades to the worst especially on your writings for the paper",01/29/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,poor,good,poor,0,22332139,0,,poor,1,AAS215,"Her class is sort of demanding.There is no official textbooks just online articles to read. Attendance is mandatory.The paper topic is hard to write and think about.Her class had very interesting complicated issues overall,she is a very hard grader on paper and assignments.",11/17/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,0,22330794,0,,poor,1,AAS215,She was a horrible professor. The class is demanding as self-studying mostly and this is not fair for a 200 level class. Her grading expectations was totally not clear. She is friendly at least in office hours. You can easily have a bad grade from her class.,11/16/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21683302,0,,good,5,AAS215,"Obviously intelligent and  well read. There were times when my viewpoint was in opposition to hers, but she remained neutral and didn't let her own personal views affect my grade. She was tough, but in the best way possible because she makes you a better student. She also very kind. The readings were long but not too bad. Excellent overall.",05/06/2013,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,19922713,0,,good,3,GWS400,"She is tough, but in a really good way.  She will push your writing and she is an excellent writer herself.  She could connect the dots more and have a bit more structure to her classes, like actually lecturing, but the readings and writing make it good either way.",03/19/2012,4,4.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,19116865,0,,average,3,LLS100,"The class was good at first, but then it turned into tremendous amounts of reading (over 100 pages per week) and there are quizzes every week and journals every time you go to lecture (attendance is mandatory). The TAs grade insanely hard. Dont recommend taking this if you just want an easy gened. She's a good professor but its way too much work.",10/27/2011,5,5.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,18534755,0,,good,4,LLS100,"I think she was having an off semester because I hear she is super strict and wasn't really with us. Her TA, Frank, is great though!",05/05/2011,3,3.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18433141,0,,average,2,LLS496,"I took a very advanced level class with her and seriously thought I was failing the whole time. In the end I got an A and i realized that despite my initial confusion-i actually learned a lot in her class! Very intricate readings, but she is very knowledgeable. Don't take if you prefer structure and lecture, she makes you do most of the talking",04/19/2011,3,3.0,,4,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18274993,0,,average,3,LLS100,"Has cancelled numerous times throughout the semester. Have learned many interesting facts, but the amount of readings is RIDICULOUS. Frank, her TA, is absolutely awesome!!!",03/14/2011,4,4.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17766740,0,,average,2,AAS215,"The class is hard. We have two writing assignments and two to four reading assignments due a week, two five page papers, one debate, and a reflection paper on the class. I did not enjoy the material nor did I enjoy the class. She is extremely intelligent but difficult to understand. She is nice, but I was really confused about the material often.",11/14/2010,4,4.0,,3,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17063520,0,,good,5,LLS430,"Arguably the most insightfull instructor I have encountered here. Articulate and cutting edge thinking, that helps clarify complex issues around compartive race, gender, sexuality as these categories are embedded in economic, social and cultural contexts",04/26/2010,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17011046,0,,good,4,LLS496,"She changed my life! Highly, highly recommend going to office hours if you don't understand the material or are worried about the class, I went in twice feeling uneasy about my grade and when I came out I basically knew what I wanted to do with my life! Really makes you think twice about the world around you and I feel like I'm smarter for it.",04/17/2010,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16305551,0,,good,4,AFRO465,I loved every minute of classs. It was challenging but worth every sec.,11/03/2009,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,14464011,0,,good,5,AAS100,"Sometimes she would go on and on. But the further we got into class the more interested I got into Asian American studies. It felt like she lifted the curtain from my eyes and I've decided to pursue a minor in aas because of her. She's funny and cool, and loves it when you send her videos of asian american pop culture ie. yellow rage, dat phan...(=",05/13/2008,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,11845868,0,,good,5,LLS390,She's cool!,05/08/2006,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,10424123,1,,good,5,AAS490,fineness + intelligence + cool to talk to= perfection,09/17/2005,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,3717638,0,,good,4,LLS100,"Haven't finished it yet, but hopefully I have an A. Short answer/essay midterm and final. She's very &quot;hardcore.&quot; Assigns tremendous amounts of readings and makes you take quizzes on them. But, she is good because she is open to suggestions on her teaching. She is definately an effective teacher.",04/26/2005,4,4.0,,4,Low,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3589482,1,,good,5,LLS100,Out right beautiful. never has a teacher so fine bestow upon me such relevant knowledge. may the force be with her,04/08/2005,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
