attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,18312456,0,,good,4,RHET105,"Nice person, fair grader, easy, fun class",03/25/2011,2,2.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16678001,0,,good,5,ENGL200,"Very nice teacher... baked muffins for us on the day of the final. Participation counts, um, she has a rule about not missing more than 6 classes.",01/04/2010,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16642757,0,,poor,1,ENG200,"She is a very hard grader, but has no insightful comment to back her up. None of the lectures come together with the readings either. Overall I thought the class was difficult but did not get much out of it.",12/26/2009,5,5.0,,2,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16395775,0,,good,4,RHET105,Difficult grader but very willing to help. Participation points and other assignments can help boost your grade.,11/18/2009,5,5.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,15008173,0,,good,3,RHET105,A fair grader. I thought she was a pretty easy grader. Shes pretty helpful if you go to her office hours.,11/17/2008,1,1.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14345861,0,,good,4,RHET105,"Very willing to help. Grades papers a bit tough but makes up for it with other &quot;effort&quot; grades. If you work hard, you can get an A.",04/24/2008,4,4.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14284812,0,,good,4,RHET105,"She is a tough grader, so you have to work hard.  She's really willing to help you, though.",04/13/2008,5,5.0,,5,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13614406,0,,poor,2,RHET105,eh,11/07/2007,4,4.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12716195,0,,good,4,ENGL106,Upbeat and overall easy teacher.,01/03/2007,1,1.0,,5,Really into it,4.5,4.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12512119,0,,good,4,RHET105,No Comments,12/03/2006,4,4.0,,5,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12458318,0,,poor,2,RHET105,No Comments,11/21/2006,3,3.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11297873,0,,good,4,RHET105,Solid Teacher. Grades are not easy to earn but she is a fair grader. Recommended.,01/03/2006,4,4.0,,4,Low,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
