attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,19982025,1,,good,5,ENGL209,"Very intelligent woman, definitely knows her stuff about everything she covers in the survey course. She's enthusiastic and enjoys teaching. Her readings are not overwhelming in length compared to other surveys. But they are early English works, so they are naturally a bit tough. This will not be impossible to pass, but it also won't be an easy A.",04/02/2012,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,0,19672287,0,,average,2,ENGL209,"She provided slide after slide of slightly disorganized historical context, and then attempted (and failed) to connect it to the actual texts we read. The specificity of her tests was unfair, as she would test vocab she never fully defined in class. She would tell you to memorize publication dates of twenty texts with only one ending up on the test",01/05/2012,4,4.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18657070,0,,good,5,AA,Sweet,05/24/2011,2,2.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16282116,0,,good,4,ENGL300,"Prof Newcomb brings an energetic attitude to class and is very willing to help students understand the more complex language and plots in Shakespeare's plays. A little wacky, but overall a great professor. If I didn't hate Shakespeare with an undying passion I would definitely take more of her courses.",10/28/2009,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12781047,1,,poor,1,ENGL397,"My third class with Prof. Newcomb, I used to dislike her but now I get her.She NEVER hands anything back and you won't get a grade till you're final one, but if you participate alot and keep up on the reading you should be okay in the end or maybe not as the class smarties got B's.Shes really loopy and we have a theory that she comes to class ****",01/16/2007,3,3.0,,2,It's my life,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,12678542,0,,good,5,ENGL199,I had Prof. Newcomb for an English 199 Shakespeare James Scholar course. She is an amazing professor who truly cares about students' interpretations about the text. She is very approachable and always willing to make extra time for her students. Can't wait to take more English courses with her. If you ever get an opportunity to have her as a profes,12/24/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12329732,0,,good,5,ENGL300,"I have had her for four classes and loved every one more.  She is an astounding professor and draws interesting conclusions from overread material while simultaneously introducing underread texts.  I would take any class she offered, regardless of topic.",10/29/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12098880,0,,average,2,ENGLISH209,Very smart woman who went to Yale but seems like she wishes she could be teaching art class on paintings of Queen Elizabeth rather than literature.  -Nice but has some unique and weird teaching techniques.  Lectures were boring but sometimes she'd play movie clips to relate to the readings.  She would talk about paintings instead of test materials,07/23/2006,2,2.0,,3,Sorta interested,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11828011,0,,good,4,ENGL209,"A little hard to take seriously due to her &quot;legally blonde&quot;-esque approach to the field, but nevertheless a worthwhile professor and a good class. Knows how to make a lecture interesting, has unique (sometimes bizarre) insight into the material, and seems interested in student life. I think the snob thing is unfounded- she is blunt, but not aloof.",05/05/2006,2,2.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11649680,0,,good,4,ENG209,"I think she's fabulous.  Engaging, good lecturer.  I heard Eng 209 was awful, but now with her it's one of my favorites.  She pics some good TAs form what I hear.  My TA is very cool.",04/03/2006,3,3.0,,4,Low,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
