attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,16833816,0,,good,4,HIST437,"Lorman A Ratner was the BEST history professor ever.  His lectures were intriguing, knowledgeable, and kept me interested in the class.  I found it easy to maintain a high B, even though his exams were hard. He is a decorated professor and definitely missed.",02/26/2010,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12565573,0,,good,4,HIST000,"He's a nice guy. The lecture were slightly boring, but he does know his stuff. It is not difficult to get a B, but if you are shooting for a solid A, it's hard to get.",12/10/2006,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10150184,0,,poor,2,341,"His lectures were EXTREMELY boring.  His tests were near impossible if you were trying to come up with a different view point, opinion, or idea about the topic.  Great class topic but a HORRIBLE teacher.",08/22/2005,5,5.0,,2,It's my life,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10048861,0,,average,3,HST152,"One class he began with a &quot;recap&quot; that took all but five minutes of the lecture.  This was the most dull class I took at the university.  I think he knows the subject well, but should teach small higher level courses where his knowledge can be better shared with students.",07/21/2005,4,4.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,10022965,0,,poor,1,HIST374,probably the worst class i've ever taken- took a genuinely interesting subject and ruined it completely. i would never recommend taking a class with him.,07/13/2005,3,3.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,10022909,0,,poor,1,HST374,"Not only do Ratners lectures make you fall asleep, they put you out cold like too much turkey.  I had a friend who literally brought a pillow.  He might be intelligent and qualified but he shouldn't be teaching undergrads.  On the plus-side he's an easy grader.  If you do decide to take a napping class, good luck.",07/13/2005,3,3.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2347741,0,,average,2,HIST151,"Most boring lecture I have ever attented, he uses no power point or notes and lectures straight from his head, making note taking difficult",07/28/2004,3,3.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,1952915,0,,good,4,HIST151,this class is easy. the man went to college in the 50's give a little credit for still teaching. leave his lecturing stance alone!,04/13/2004,1,1.0,,3,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,1897388,0,,average,4,HST151,"Extremely  boring class, very repetitive, never moves when he lectures.  Very straightforward in terms of what the tests will cover, however adequate time is not always given.",04/04/2004,2,2.0,,2,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1817729,0,,poor,1,HIST151,If you want a class that will put you to sleep only to repeatedly wake you with a very abrupt &quot;UUUHHH&quot; then take this course.  Most boring speaker I have ever witnessed.,03/17/2004,4,4.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,1765839,0,,poor,1,HIST151,No Comments,03/01/2004,3,3.0,,3,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1532179,0,,good,4,HIST151,"One of the most decorated history professors at the university, he really knows his subject well.  However, I found most of the information in this class EXTREMELY repetitive and fell asleep during nearly every class.",12/18/2003,2,2.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
