attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,average,poor,1,17699675,1,,poor,1,MATH231,he is really stupid I cannot come up with a word to descibe his silliness and absurdness He cannot help you,10/27/2010,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,average,average,average,0,17623512,0,,average,2,MATH231,He is good although i would much rather have him not use the powerpoint slides though!,09/30/2010,3,3.0,,4,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16962635,0,,poor,1,MATH231,"Lectures were pointless, only did the problems in the book, and never paused for any questions. Learned way more from the TA.",04/07/2010,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,15894695,0,,average,3,MATH231,"Had an accent, but not difficult to understand. Attendance at lecture is necessary to succeed in the class.",05/25/2009,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,1,15884420,0,,average,2,MATH415,"His lectures went too fast, and his handwriting was kind of ridiculous. The quizzes were really helpful in learning the material though. Exams were tougher than the quizzes but if you studied the example problems you'll be fine",05/22/2009,3,3.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,15739226,1,,good,4,MATH231,lectures are good; he does a lot of examples in class that are a LOT like problems on the exams. exams aren't too difficult if you've paid attention in class/done a few practice problems. i recommend understanding the example problems in the book. quizzes are worth a lot of the grade and are easy but you have to keep up (they brought my grade down),04/30/2009,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,average,0,14007507,0,,average,4,MATH415,"Good teacher.  Very possible, but not easy to get an A.  If you don't keep up, your grade will suffer.  There were so many gremlin people in the class (weird looking and not socially acceptable)",01/16/2008,2,2.0,,2,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13917195,0,,good,4,MATH415,"Decent teacher. Weekly quizzes help you learn, but its worth a big chunk of your grade. It brought down my grade. But he answers questions during class, and he is willing to answer questions during office hours.",12/28/2007,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12781580,0,,good,4,MATH418,"He's good in his lectures. Take notes from his lecture as he tends to ask mostly questions from what he has covered in class. His weekly quizzes are easy, except for the time constraint. Find yourself a better textbook that the official one, though.",01/16/2007,2,2.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12031904,0,,poor,1,LINEARALGEBRA,"The worst teacher I have every had in college.  Ifelt he could care less about students.  Research is his only concern.  If you have a choice, do not take a class from this professor.",06/25/2006,5,5.0,,1,Low,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,11629644,0,,poor,2,MATH230,"I never understood what he was talking about in lecture, so I stopped going.  I just went to the quiz sections and still got A's on all my quizzes.  Lecture was completely pointless.  My TA should have taught the class.",03/29/2006,4,4.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,11523001,0,,poor,1,MATH230,No curve on final grade,02/27/2006,2,2.0,,2,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2084540,0,,poor,2,MATH385,"Both his handwriting and his lectures are impossible to understand. Only take his section of this class if you are confident you can teach yourself differential equations from the book alone. He does write fair and balanced exams and quizzes, though.",12/22/2005,4,4.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,10633509,0,,average,1,MATH230,"Well, I will admit that Calculus II is a tough subject, but he certainly does not assist the class. I'm sure if you sought him out, he would help you, but his lectures are not clear at all. Very rarely do I leave his class with a firm grasp of the material.",10/24/2005,4,4.0,,4,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3423780,0,,good,4,MATH225,"Good teacher, definitely would take another class taught by him.",03/06/2005,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,1432757,0,,average,4,MATH225,Cannot grade worth anything. No partial credit If you screw up one little concept and do a page of work he will give you a 0 for the problem!,12/03/2003,4,4.0,,2,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1198515,0,,average,3,MATH225,"So-so... Seems to go through things awfully fast, only taking up about half the time. Any queshions&#63; Let's stop here.",10/17/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
