attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,poor,good,0,26566796,1,,good,5,CS173,"One of the best class I've taken at University of Illinois. All of course material is ready at course webpage, always communicates and answers questions by piazza quickly. If you really want to learn discrete math, don't hesitate to take it with Fleck",05/13/2016,1,1.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A+,,person,people
Not Mandatory,good,good,good,0,26208052,0,,good,4,CS173,"Very good professor, relatively challenging class.  Very helpful when you ask questions and definitely cares about her students.",03/30/2016,4,4.0,,4,N/A,4,4.0,1,Yes,N/A,1112,Yes,,A-,,people,people
N/A,average,average,good,0,25679216,0,,good,3,CS173,"She is a very helpful and nice person always there for the students, I just did not find her lectures very helpful for the tests",12/14/2015,2,2.0,,5,Really into it,4,4.0,1,Yes,N/A,1112,Yes,,A-,,people,people
Not Mandatory,good,average,good,2,25674779,0,,good,5,CS173,"Super friendly and a great lecturer. You can tell she really cares for her students. She goes out of her way to let students make up missed work and is always adjusting her course to teach it as effectively as possible. She wrote the entire textbook for the class and made it available to students online for free, which is greatly appreciated.",12/13/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,B,,people,people
N/A,average,average,average,0,24876861,1,,good,3,CS173,"She's a good teacher in an easy class, but she rambles a bit and can take forever to get through material.",05/20/2015,2,2.0,,4,It's my life,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,person,people
Not Mandatory,average,average,average,0,24855924,0,,average,3,CS173,I went to the first couple lectures of the year. Was very bored by CS theory. Didn't go to any more after that and still got an A- in the class pretty easily.,05/18/2015,2,2.0,,3,Low,3,3.0,1,Yes,N/A,1112,Yes,,A-,,people,people
Not Mandatory,good,average,good,0,24846591,0,,good,4,CS173,"She is a really funny professor, and she asks your questions really fast. Also, the attendance is not very important, but the discussion section is really helpful. The mini-homework is a little bit hard, and there is an examlet on every Thursday. It is an easy A class.",05/16/2015,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,A+,,people,people
N/A,good,poor,good,2,24664998,0,,good,5,CS173,"CS 173 is a math course and has a slightly dry material that tends to make people slightly bored in the class. However, Fleck does an amazing job at teaching it. She's funny and incredibly smart. No midterms. Quizzes every week though. I would definitely recommend her. She's the person to know if you're into discrete math.",04/24/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,2,22676062,0,,good,5,CS173,"She is very knowledgeable and would periodically diverge from the lesson and discuss other applications of concepts. HW was very easy. However, you should check HW answers with a friend. To do well on tests, just make sure you study for understanding and not completion. The textbook, which she wrote, is very to-the-point and easy to understand.",12/30/2013,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
N/A,good,poor,good,0,22347945,0,,good,5,CS173,Very helpful professor. Good person.,11/19/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22338112,0,,good,4,CS173,"Very helpful professor. She wrote the textbook (which is stellar) for the class, and is very good about answering student's questions directly. Definitely recommend taking her.",11/18/2013,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,22057178,0,,good,3,CS173,This was an easy class. Lectures are pointless... Read the book and do the test from previous semesters and you will be fine.,08/15/2013,2,2.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21656439,0,,good,4,CS173,"If you take CS173 at UIUC, take it with Professor Fleck! Awesome person, cares about the material and if you attend office hours, helps you understand it.",05/02/2013,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21508380,0,,average,2,CS173,"Mediocre professor. Nice person but lectures tend to drone a bit. Combine that with the already boring course material and the 9:00 am time slot (true during my semester), it was very difficult to stay awake.",04/09/2013,4,4.0,,3,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21363772,0,,average,2,173CS,"Wrote fantastic textbook, and makes it freely available to students online as a pdf. Spread this textbook around on the net, so any student learning this stuff has access to it. Impressive person, math genius. Look up some of her research papers. Honors assignments were actually fun, cool. Not worth going to lecture though, very boring speaker.",02/25/2013,2,2.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21229996,0,,average,3,CS173,"Very nice professor, very helpful and really cared about her students. Sometimes she goes too slow and becomes boring, and the course doesn't cover too much information. Textbook is online and she constantly updates it and is helpful. Weekly homework to keep you on your toes. She loves Harry Potter. Join the honors section, it's pretty interesting!",01/08/2013,5,5.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
