attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,16767770,0,,poor,2,MATH241,"AVOID AT ALL COST. If you have to take any course from her, drop it. NO curve at all. Extremely hard to understand due to her accents.",01/28/2010,4,4.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16760046,0,,poor,3,MATH221,TERRIBLE. AVOID her if possible. Her final exam is very difficult compared to her midterm exams.,01/26/2010,5,5.0,,1,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16527557,0,,average,3,MATH221,"As a professor shes ok at best. Her lectures were just ok mainly because she's one of those math teachers that spends half the time doing proofs not realizing that proofs are pointless for non math majors aka 98% of the class. Her exams were hard, but there was a curve",12/11/2009,4,4.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,16301869,0,,poor,2,MATH221,Do not take her class.  The best part of the class was when she had to leave because of having no work permit.  I went to her office hours once to ask questions about a test and instead of helping me she pointed out that according to her I should have gotten a worse grade. Plus she only went over theory that had nothing to do with the material.,11/02/2009,3,3.0,,1,It's my life,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15695722,0,,poor,2,MATH221,"AVOID AVOID AVOID!  As a teacher she is ok at best, her tests are on the hardest material and they screw you over.  Not only does she not curve anything, but she makes the grading scale HARDER, at least for my class.  Because of that I almost had retake the class because my 72.5% wasn't a C-.  Thank god for advisers and prerequisite overrides",04/23/2009,5,5.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,15395852,0,,poor,2,MATH221,"Really bad teacher, quite unhelpful. I tried going to office hours twice, only to find out that she wasn't there and waited around like an idiot for ten minutes with a couple of others in the class before just buggering off and finding myself a tutor for the rest of the semester. When I asked her in class why she wasn't there she was incredibly rud",01/20/2009,3,3.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15337414,0,,good,4,MATH241H,"It's really a shame she left halfway through the semester. The tests were very difficult, but if you understood the material well, you would get an A. She was more interested in how well you knew your stuff than the stupid mistakes you made. Only complaint was the class average she was shooting for 70 in an honors class you need an 80 to get credit",01/07/2009,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15151779,0,,good,5,MATH221,She is simply awesome. If you wanna enjoy maths go for her class. She gives really easy tests too so you can easily get an A. I enjoyed going to her class and hearing her Russian accent. A must class for anyone interested in maths.,12/10/2008,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14855494,0,,average,3,MATH221,"Her teaching is rather bland, but it gets the job done. Don't expect to much enthusiasim when she teaches. On the plus side she is willing to explain things after class if you don't understand.",10/07/2008,3,3.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14708940,0,,average,4,MATH231,She just goes straight from the book. She always wore the same skirt... She doesn't seem excited at all to be teaching our class. My TA was awesome though. He was really helpful and funny,08/02/2008,2,2.0,,2,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14268505,0,,good,4,MATH220,"Very attractive. Teaches effectively and doesn't appear to care about students, unless you demonstrate that you value your education. If you care, or show so, she goes the extra mile to ensure that you understand the material.",04/09/2008,2,2.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14220887,0,,average,3,MATH231,Terrible lecturer. You can tell she would rather be doing research than teaching. I learned everything from my TA. Exams were rather difficult.,03/31/2008,4,4.0,,2,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14199074,0,,good,4,MATH385,"Class is difficult, but that's more due to the actual content of the class.  Very helpful woman that offered a number of office hour opportunities.  Not bad on the eyes either.",03/25/2008,2,2.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13651777,0,,poor,2,MATH231,"This professor was very nice but not the best at explaining the material.  Her notes are taken straight from the book but i would still go to class in order to get a better understanding.  You only have one homework assignment a week, 2 exams, and a final - pretty easy workload, but make sure to study for the exams!!!",11/14/2007,4,4.0,,2,It's my life,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
