attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,20218564,0,,good,4,ECE110,"Great Lecturer for ECE 110. She does have a bit of an accent, but still easy to understand. The class will be much easier if you take it with Phys 212. Overall, not a hard class if you know your stuff. Oh yea, and the RA project is rough, but just throw something together.",05/07/2012,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20218498,0,,good,3,ECE110,Decent lecturer. Great teacher. Helpful advisor. Not a bad choice.,05/07/2012,2,2.0,,4,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19910546,0,,good,5,ECE110,"Best professor for ECE110, she is the only professor for 110 that teaches it exclusively, so she is more engaged than the other professors. She is very clear and explains all the concepts very well!",03/14/2012,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19480594,0,,good,5,ECE110,"ECE 110 is NOT an easy class, you're probably taking it because you have to. You'll be saving yourself a lot of headache and frustration by getting Brunet, she's the best 110 lecturer out of the three. She makes the class exciting by getting students involved. Only problem is that she comes of a rude and negative when you ask her questions.",12/13/2011,3,3.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19157398,1,,good,5,ECE110,Awesome lecturer.,11/03/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,18454207,0,,good,5,ECE110,"ECE 110 is difficult in the sense that you have a lot of material to cover throughout the semester. Concepts are not that hard just the amount of work. Make sure you do the homework & review it often. Brunet is a good professor and teaches well. Usually nice, sometimes rude. Can get angry/frustrated over small things which is a little intimidating",04/22/2011,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17718203,0,,good,4,ECE110,"Hands down the best of the 110 professors. Lectures are full of examples. Good teacher, really nice",11/01/2010,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17103126,0,,good,4,ECE110,"She has a french accent, which sounds a bit strange at the beginning of the year. Overall, she is a great lecturer and is very through in making sure everyone understands the material. Many of students that had her say that she is one of the best professors in ECE 110. Also, if you want her to know you, just go to class early and sit in the front.",05/02/2010,1,1.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16620942,0,,average,4,ECE110,"she's helpful, but reacts weird sometime.  She just kind of looking straight at you not saying anything, kind of freak me out.  But she's nice, and concise about the topic.  ECE 110 is not that hard",12/22/2009,3,3.0,,2,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,16581874,0,,average,3,ECE110,"This lady seems very nice at first, and she's not the worst at teaching because she kind of babies you.. but beware, the tests and the entire class are very difficult.  Brunet is very very rude and demotivating to students outside of the class",12/17/2009,4,4.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,16152829,0,,good,4,ECE110,Very good professor. Easy to understand. Extremely helpful!,08/26/2009,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
