attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,average,0,26727035,0,,poor,2,MATH402,He is quite warm-hearted but often he cannot explain things clearly in lectures.,06/15/2016,3,3.0,,2,N/A,2,2.0,1,Yes,No,1112,Yes,,A,,people,people
N/A,poor,good,poor,0,24788425,0,,poor,1,MATH241,"Comically awful. His lectures are super duper confusing. His homeworks are super duper confusing. His tests are super duper confusing. On the bright side, though, his exam grading was shockingly generous. I put the dumbest, made up garbage for some of my answers and would still get half the points! ",05/10/2015,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,average,average,0,22699307,0,,poor,1,MATH406,"His course lacks any sense of structure. He likes to jump around and scribble on the board. He supplies pictures of his notes online, but it doesn't help much. He is pretty helpful and does care for the course, but sometimes it can be frustrating how unorganized it seems. Tests and homework are very fair. Generous grader as well.",01/05/2014,2,2.0,,3,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,22169609,0,,average,3,MATH461,I took the Mathematica version of MATH 461 because I heard it was fairly easy. It wasn't. Junge seemed very disorganized and didn't seem to be teaching us the info we needed. Every day before he arrived the entire class would talk about how we had no idea what was going on. There were no office hours for ages either.,10/10/2013,5,5.0,,2,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21457861,0,,average,2,MATH231E1H,"So friendly and contagiously happy. Complete genius, knows what he's talking about, but talks on levels too complex for his undergrad classes. Always willing to help. Messy board work but slow enough to follow. I really enjoyed the class. Extremely lenient grader you will get an A although you may not learn much. I suggest reading the text to learn",03/28/2013,2,2.0,,4,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,21249114,0,,poor,1,MATH406,"He loves the historical side of mathematics, and is extremely knowledgeable! He is a very fair grader on homework and exams which means you can get a decent grade. Unfortunately his speech and board work is cluttered, disorganized, and hard to follow. Also, he mixes up English and German a lot. He is a nice guy and wants to help.",01/12/2013,2,2.0,,3,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21233564,0,,average,2,MATHEH1,"Genius, but not a perfect teacher. Hard to understand, but fair, helpful and fun.",01/09/2013,5,5.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,21103892,0,,poor,2,MATH231,Very bad professor. Not very helpful with information and goes on random useless talks about proofs and people that are irrelevant to the class but are obviously his hobbies. Do not attempt honors 231.,12/17/2012,4,4.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21006764,0,,average,2,MATH231,"Seems impossible in class, explains things way too complicated, but is extremely fair. Curves a great deal to make sure that the material taught is far more important then the grade you rcve",12/10/2012,2,2.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,average,0,19810637,0,,average,1,MATH241,"Hilarious teacher! You'll feel like your behind consistently, but do not fear for the tests are difficult as well. Luckily, he is quite lenient on grading so that the class average will be a low A at the worst. *Take note of his outfits as well*",02/08/2012,1,1.0,,4,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19729813,0,,good,4,MATH241,"One of my favorite professors! Very nice and interesting. The lectures are hard but he's always willing to help, after class questions, emails, office hours, notes, as long as you ask for help.  Also a very kind grader.",01/15/2012,3,3.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17479204,0,,average,3,MATH241,Good Prof overall!! Easiest exam you could ever imagine. Willing to answer questions and work after classes.,08/04/2010,2,2.0,,3,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13819024,0,,good,4,MATH347,He is a good teacher who is enthusiastic about what he does.,12/13/2007,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,13503753,0,,poor,1,MATH347H,"He seems to have good intentions and will be happy if you put forth effort, but his lectures are unorganized and hard to follow.",10/02/2007,2,2.0,,2,It's my life,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
