attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,poor,good,poor,2,25779420,1,,poor,1,HIST142,He always look at you in contempt during lectures.,12/20/2015,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,C-,,person,people
Mandatory,poor,good,poor,1,25619791,0,,poor,1,HIST142,"Alas, he does not deserve respect from students. ",12/09/2015,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,Yes,,C,,people,person
Not Mandatory,poor,good,poor,1,25585770,0,,poor,1,HIST142,A very tough class for a Gen Ed. ,12/08/2015,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,Yes,,C,,people,person
Not Mandatory,poor,good,poor,1,25561362,1,,poor,1,HIST142,"No comments, such an arrogant dude.",12/06/2015,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,Yes,,C-,,person,person
Mandatory,poor,average,poor,1,25079131,1,,poor,1,HIST396,"Good, but not sure he had grades Not Reported for few days without  reasons. ",07/30/2015,3,3.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,Yes,,Rather not say,,person,person
N/A,good,average,good,0,23693738,3,,good,5,HIST142,very good professor. ,10/25/2014,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,23693639,3,,good,5,HISTORY142,Very solid professor.,10/25/2014,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,23407128,1,,good,5,HIST396,The professor was good at leading discussions on various class related topics. Very strong in knowledge and very accessible in office hours or after class. Speaking in discussion is an important part of participation grades. Fair lenient grader as the best professor at U of I.,06/27/2014,1,1.0,,5,Really into it,5,5.0,3,Yes,N/A,1112,N/A,,A,,person,people
N/A,good,poor,good,0,22330486,2,,good,5,HIST200,"The best professor I ever met at U of I who reached a level of perfectness, the class is interesting, very knowledgeable,very friendly and easier to talk to in office hours, extreme helpful on papers, very fair grader,choose him and you will enjoy his class forever and always.",11/16/2013,1,1.0,,5,It's my life,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21361280,1,,good,5,254A,"Great professor who knows his stuff and is passionate about what he teaches. Took HIST 253 with him and looked forward to it each day. Lots of note-taking, but I was never bored in his class. Not an easy grader on in-class papers, but he is fair. Would definitely take from him again.",02/23/2013,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,1,20970159,2,,good,5,HIST295,"Micale is awesome. Definitely knows his stuff, and you can tell he loves history and is excited to teach it. Would definitely recommend his Darwinian history class.",12/06/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,19889917,1,,good,5,HIST396,"Micale is the man. Funny, interesting, and compelling lecturer, who is well versed on the topics that he teaches. Has a decent balance between discussion and lecture, along with easy quizzes to boost your grade. Papers can be a little daunting, but in the end he grades very fair.",03/07/2012,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,poor,good,1,19732917,1,,good,5,HIST253,"A really great teacher. Lectures are fun and interesting, homework is clear, and he speaks with great clarity and word choice. One of my favorite teachers. Even looked for other classes by him but found nothing :/",01/16/2012,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,good,0,19730649,1,,good,5,HIST253,"A lot of material but covered very well. He's very clear when lecturing and makes the lectures interesting. Super helpful if you don't understand something, and is fair when grading. Good class. Great professor.",01/16/2012,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,19457789,1,,good,5,HIST396,"one of the best professors i've had. he is funny/makes lecture interesting/and will actually make history worth your while and relevant. the readings are great, and i feel like hes helped me learn a lot of material that i need as a history major.",12/11/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,18504805,1,,good,5,HIST353,"He's just the best, and the readings are excellent. It would be a sin to graduate without taking one of his classes. I can't recommend him highly enough.",05/02/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,18330623,1,,good,5,HISST142,a great teacher! hes actually interested in the topic and is really fair.,03/29/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,17916746,1,,good,5,HST142,Prof Micale in lecture seemed smart and nice enough but I didn't have much interaction with him. With this class it really depends on who you get for your TA. Take 143 for your advanced comp instead of 142 suuuuper easy.,12/11/2010,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,17729596,1,,good,5,HIST455,Awesome teacher. Really good at leading discussions and can make almost any subject seem interesting.  Seems to genuinely care and is always available to help you if you have a problem.,11/04/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,17286593,1,,good,5,HIST353,Better than sliced bread!,05/30/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
