attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,14021637,0,,good,5,BADM300,"His teaching style is to intimidate and scare students into learning the material; he is a very intense lecturer.  But the funniest things I have ever heard during a class come from him.  He knows the material well and his class if very structured.  If you are going to take 403 with him, be sure to take his 300 section.",01/19/2008,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13835715,0,,average,3,BADM300,"His lectures are set up nicely in his course packet and he knows what he's talking about.  His handwriting is impossible to read so if you don't keep in lecture you're screwed.  Oh and he doesn't answer questions.  This is a HARD class.  But if you go to lecture, read, and study hard it is totally manageable.",12/14/2007,5,5.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,13273463,0,,good,5,BADM300,I really liked Prof. Rozskowski.  He really teaches the material so clearly and makes sure students understand it.  He's very weird and the class will be different that any other class you've taken but you come out with a great knowledge of business law.  He's not that hard... just make sure you study and work hard and you will do fine in his class,06/18/2007,2,2.0,,2,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12546844,0,,good,5,BA300,"Despite complaints from other students, Professor Roszkowski is a great professor.  He explains the material very clearly and in a way that will hold your attention. Going into the class, I was scared because of all the things I had heard, but with a little bit of hard work, it's completely possible to be successful in his class. You will learn a l",12/07/2006,3,3.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12352187,0,,good,5,BA300,No Comments,11/02/2006,3,3.0,,3,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11902529,0,,good,4,BA300,"Very thorough, extremely hard, but very worth it.  Aside from helping me do very well on that section on the CPA exam, he gave some good life lessons.",05/17/2006,5,5.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,10589062,0,,average,4,BA300,"Very interesting class, he really knows his stuff. Not as easy as other ba classes, but at least it's not boring and you really do learn a lot of new and interesting things.  The tests are detailed, but if you study you should do fine",10/14/2005,3,3.0,,2,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,10204010,0,,good,5,BADM300,"Knows his stuff.  Hardest T/F ever!  Go to class, he takes attedence for e.c.  Scary dude - He could move around during tests silent as a ghost and scare the sh*t out of you!",09/03/2005,3,3.0,,2,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,10168832,0,,average,4,BADM300,"His handwriting sucks and he won't do anything about it.  Not much of business law is on the CPA exam.  Although, I did well on the tiny part that was on it.  Tax will help more.",08/26/2005,5,5.0,,2,Low,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3426025,0,,poor,1,BA403,Thinks his class is way too important...time very time consuming and unnecessarily difficult,03/07/2005,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
