attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,22519854,0,,good,5,BADM320,He is an absolutely amazing teacher. He is very interesting and will not bored you at all. If you can take a class with him DO IT! Fun class and learned some relevant knowledge for my field.,12/12/2013,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22514811,0,,good,5,BADM320,He is my favorite teacher. The class was awesome.,12/11/2013,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22513905,0,,good,5,BADM320,Awesome teacher and awesome class! I actually enjoyed attending and tests were very straight forward!,12/11/2013,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22513816,0,,good,5,BADM320,He is the man. You only have to show up to a handled up of class to fulfill the participation portion. There is also a ton of extra credit. Cares a lot and make the lectures enjoyable when you go to them,12/11/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22513502,0,,good,5,BADM320,Mark Wolters is the best professor I've ever had at the U of I. He is really passionate of what he's doing. I highly recommend taking this class.,12/11/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22512464,0,,good,5,BADM320,Wolters is the man. Highly recommend.,12/11/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22490987,0,,good,5,BADM320,"best professor ever! If his lecture is 8 in the morning, i will still highly recommend you to choose that section!! that's the professor's charm!!",12/10/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22308130,0,,good,5,BADM320,This guy is the man. period.,11/13/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22260909,0,,good,5,BADM320,Mark is one of the best professors I have had at UIUC! He cares more about making sure his students know about the REAL world of marketing and can actually get a job than test scores and homework grades. Totally useful class and he is always full of energy. Loved this class.,11/05/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22251802,0,,good,5,BADM320,"I'm a marketing major, and this class only verified that I chose the right major! Mark truly sets us up to succeed in the classroom and makes the material easy to remember and to relate to for future reference! :)",11/04/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22246821,0,,good,5,BADM320,"Great guy, easy class. That's all you have to know",11/02/2013,1,1.0,,4,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21662454,0,,good,5,BADM420,"Love Mark Wolters! Took him for the second time this semester, and I'm happy I did. He makes class enjoyable with all the material that must be covered. He truly cares about his students, and he lets it be known. I feel sorry for anyone who doesn't take him. If you're spending 30 grand on your education taking his classes makes it well worth",05/02/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21660722,0,,good,4,BADM420,Will give you skills and insights necessary in today's work environment. Understands the main goal of college is a career and will prepare you for exactly that.  Great professor! rGeat lecturer! Very passionate!,05/02/2013,1,1.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21529350,0,,good,5,BADM320,Wolters is a champ.  Lectures are very entertaining and exams are easy.  Also a bunch of extra credit.,04/13/2013,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21164620,0,,good,5,BADM320,BEST PROFESSOR EVER!,12/24/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21039385,0,,good,5,BADM320,He made the class interesting and i enjoyed going,12/12/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21034191,0,,good,5,BADM420,Can't ask for a better professor.  Actually wants you to be better prepared  for life after school.  Really helps everyone on their presentation skills.  Class is not very difficult but Mark makes you want to attend every day.,12/12/2012,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21021415,0,,good,5,BADM320,The best professors at U of I.  You will not find another professor who cares more about their students and wants them to do well.  He will do anything to make you succeed and cares about all his students.  Makes class easy so if you have the chance to take a class with him you should!,12/11/2012,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21020952,0,,good,5,BADM320,"Favorite professor at U of I! He genuinely cares about his students, is passionate about teaching, and knows how to keep students engaged. He also gives students the grade they want/deserve if they meet expectations.",12/11/2012,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21020732,0,,good,5,BADM320,Hilarious!,12/11/2012,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
