attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,poor,average,0,17581477,0,,poor,3,CS210,This professor is utterly useless.,09/08/2010,1,1.0,,1,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,1,16513107,0,,good,5,CS210,"Very opinionated and closed-minded when it comes to other people's views. Overall, the class was simple, as long as you attend class and do the assignments. But don't expect compensation if you miss an assignment or any other points.",12/10/2009,2,2.0,,2,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,15679329,0,,good,4,CS105,Lectures are not compulsory. All slides are posted online. Professor is very helpful and approachable. Teaching in class is also good and a little lively. Easy course. Recommended.,04/20/2009,1,1.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15417781,0,,good,4,CS105,"shes a pretty entertaining professor... lectures were somewhat helpful if you didn't know what was going on. Study past exams, review powerpoint slides and you'll be golden. MPs are fairly easy, and she's (and TAs) are always willing to help (and even give you the answers!) Easy A",01/27/2009,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15239018,0,,poor,2,CS105,Good teacher lectures are boring but helpful. MPs are a pain but helpful. Tests are tricky,12/18/2008,4,4.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15191769,0,,good,4,CS105,"Prof. Woodbury is so funny, she cracks me up every time i go to lecture! She is so random, and she is funnier if you pretend that she is a big grass smoker. The MPs take FOREVER if you are not computer-brained like me, but you will eventaully figure it out.  The tests are really hard because they try to trick you. i got a B",12/14/2008,3,3.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,15033789,0,,good,4,CS105,"Woodbury is quite goofy.  However, pretty easy class.  Although normally worthless, the lectures give hints as to what is expected to show up on tests and MPs.  MPs are time consuming but for sure do-able.  I will never use coding again in my life..but found the class pretty simple and somewhat enjoyable.",11/20/2008,1,1.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,14982266,0,,poor,3,CS105,"Utterly useless professor. Didn't know how to code her way out of a paper bag. The MPs were insanely easy and the entire class is a blow-off. If you manage to get below an A, college isn't for you.",11/12/2008,1,1.0,,1,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14662609,0,,good,4,CS210,"Class was great, other than the fact that it ran for 2 hours and was boring. At least the students were social in the small (30 student) setting.",07/16/2008,1,1.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,14551899,1,,average,4,CS105,"She is a very difficult teacher and bitter. Make sure you attend class. Key to this class is mps. Final was easy, but still the hardest class i've taken.",06/03/2008,4,4.0,,2,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
