attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,25400867,0,,good,5,CHEM442,Love Him. He is so smart and nice.,11/12/2015,2,2.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,people
Not Mandatory,good,good,good,1,24458591,0,,good,5,CHEM442,"Amazing lecturer, and helpful professor. He's also funny and offers lots of helpful review sessions, so if you put in the time, you will do well in his class, and even more, you will learn. He's a stellar professor, and if you ever have a chance at taking his class, you won't regret it.",03/13/2015,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,B,,people,person
N/A,good,average,good,0,22919095,0,,good,5,CHEM202,He is everything I could ever ask out of a professor. If he could be my father or grandfather I would be honored. This man knows how to teach and is just brilliant,03/17/2014,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,average,good,0,22915171,0,,good,5,CHEM202,"Gruebele is by far the best professor I've had. His lectures are very clear, organized, and engaging. I worked hard for that B, but the grades are fair and the exams are curved. Plus, Gruebele is just an all-around incredible person, so definitely worth coming to class for.",03/16/2014,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,B,,people,people
Not Mandatory,good,average,good,0,22556762,0,,good,5,CHEM202,Gruebele is a boss!!! Man is a genius. Loved his class. Probably my favorite teacher of all time.,12/14/2013,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A+,,people,people
N/A,good,good,good,0,22357680,0,,good,4,CHEM202,He's awesome. That is all,11/20/2013,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,22092790,0,,good,5,CHEM202,One of the best professors I've had so far :),08/29/2013,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22056873,0,,good,5,CHEM202,Martin is the Man!,08/15/2013,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19909346,0,,good,5,CHEM202,"Awesome teacher, he's demos make you want to love chemistry as much as he does. He was the best professor I have ever had.",03/14/2012,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19753979,0,,good,5,CHEM202,"Professor Gruebele is the BEST professor you'll ever have. He is amazing in teaching and life. His writing on board is an art, really clear about things. Most importantly, he gave me great influence in life! Everyone in my class LOVE him :)",01/20/2012,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19575704,0,,good,4,CHEM202,"Gruebele is a great prof! His sense of humor and love of explosive demos make lecture fun. Go to his office hours sometimes if you can. He's a really interesting person (knows 4 languages, does ironman triathlons, basically wins at life). The only negative I have is that his writing and pictures on the board are cramped, so sit near the front!",12/19/2011,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19525112,0,,good,5,CHEM202,"GREAT TEACHER! He really knows how to teach, his lectures are well organized and you can tell he really knows his stuff.  Made this chemistry class  very interesting",12/15/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19250813,0,,good,5,CHEM202,"Great class. Gruebele makes going to lecture fun and way worth it. Funny guy, really knows his stuff. He visited our discussion section too sometimes. I wish I could have him for more classes.",11/16/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19245262,0,,good,5,CHEM202,"He puts TA notes online, so if you can't make a lecture (or don't want to go) you can use those to get by. I found him to be a great lecturer and so I went most of the time.  He tends to have pretty cool demo's where things light on fire.  The tests aren't the easiest though (they're challenging, but not impossible).",11/15/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19189268,0,,good,5,CHEM202,"Very nice professor, very willing to help. Great sense of humor and a cool accent.  The class material is no joke, but not insurmountable. If you're taking this class, you should already know what you're getting yourself into. Gruebele is awesome!",11/08/2011,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19136675,0,,good,4,CHEM202,"Excellent professor, extremely fun. His accent is light enough to make him adorable but not incomprehensible. Also, EXPLOSIONS.",11/01/2011,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18107920,0,,good,5,CHEM202,"Amazing professor. He makes you want to go to lecture everyday, and makes learning the material easy. Always writes his notes on the board and has lecture notes online. His demos are always sure to be the high point of your day. Wish I could have him again!",01/09/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17938959,0,,good,5,CHEM202,"Gruebele is awesome! Lectures are not necessary if you have a good TA and a basic knowledge, but I always went because of the awesome demos and Gruebeles sense of humor. Not the easiest class ever but there is a nice curve.",12/14/2010,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17628118,0,,good,5,CHEM202,"Gruebele is the BEST TEACHER EVER!!!!!!!! didn't actually have him, he just subbed for our class several times and the class would look forward to his visits.  He is an awesome son of a nutcracker.",10/03/2010,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16940021,0,,good,5,CHEM202,One of the better Chemistry professors you're going to have. I love this guy as his attitude towards blowing stuff up with explosive gases was nothing short of awesome.,04/01/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
