attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,24857978,0,,poor,2,TAM445,"Tests are on very specific details.  Professor's presentation skills aren't great (he mumbles a lot).  Disorganized on the board.  Brilliant professor, but terrible lecturer.   The best researchers should just do research and leave the teaching for those interested in teaching.  I would avoid this prof for 445 if you can.",05/18/2015,5,5.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,3,24197739,1,,good,4,TAM545,"Knowledgeable Professor, topics are very interesting and fresh, he gives students good insight about different hot topics in a way they can go and study more details by themselves. Easy homework, good grading!!!",12/28/2014,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
N/A,poor,good,poor,0,21692615,0,,poor,1,TAM445,"The tests are extremely difficult and the book will barely help. The HW and quizzes DO NOT prepare you for the exams. The lectures are disorganized and all over the place. Very unhelpful in class. Assumes that we know the material as well as he does. The weekly quizzes are correspond to lecture notes, however he tests on small details. Awful.",05/07/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,2,19605794,0,,poor,1,TAM251,"Homework does not agree with exams.  10% of your grade is an inclass quiz grade.  The class average was below 20%.  Very unorganized, does not seem to care about student at all.",12/22/2011,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17761751,0,,poor,1,TAM251,Terrible professor.Homework has absolutely nothing to do with exam.Spend hours on homework which have no relevance to quiz or exams. Quizzes are only proofs and this is the only TAM class which is completely based on proofs.Looses homework and quizzes never on track with schedule which makes him rushes through the hard concepts.Not helpful at all.,11/12/2010,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,17659690,0,,poor,2,TAM251,"Material is presented in such a way that it is extremely difficult to stay attentive. Lectures are hard to follow. Homework has no relevance to quizzes nor exams. Quizzes and exams are almost all theory/proofs, with few concrete problems. Majority of class failed the first exam. Solution: Throw it out and make final worth 50% of the class grade.",10/15/2010,5,5.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,2,16835778,0,,good,4,TAM251,If u like to plug-n-chug #'s in to a formula then I wouldn't recommend taking class with Strazewski since he likes to spend his time and gives exams on deriving and understanding the concepts behind the formulas. he talks a lot abt topics that are actual applications of what we do in class.  If u go to his office hrs he is very helpful.,02/28/2010,4,4.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16743748,0,,poor,1,TAM251,"Agree with the previous comments. Starsewski should NOT be a teacher, plain and simple. He's a homely man, but completely disorganized, impossible to follow, and has a spaztic lecture style. And I sat in front! Worst part is, his tests do NOT make up for it - he actually expected us to know what the hell he was talking about in class. Curves.",01/21/2010,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16709837,0,,poor,1,TAM251,"Worst professor I've ever had. His delivery was mumbled and unclear, and he used very poor examples in class. His tests were not fair at all, and they were nothing like TAM tests should be. Other class had 12% higher average on one test. Avoid at all costs.",01/11/2010,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,16548446,0,,poor,2,TAM251,My worst experience at UIUC His lectures were boring and his exams always included proofs derivations and theory questions. On our Final 6 out of 9 questions were deriving equations given on the equation sheet. He also complained that people were showing up late or not coming to class so much that one of the final questions said like I did in class,12/14/2009,5,5.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,1,15099627,0,,average,3,ME371,"I had him for 370 and 371; couldn't avoid it.  I have to say though, I saw improvement in his teaching and grading.  Definitely not the best professor I've had, but he did care about the class, and he made an effort to be better.",12/03/2008,4,4.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,0,14937857,0,,poor,1,ME370,"He was a terrible teacher that did not care for his students, nor the class.",11/04/2008,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,14225456,0,,poor,1,ME370,"I'm the last person to go online and blast my professors. I'm a good student with a very high GPA; but this is simply necessary. Starzewski should not be teaching. Do yourself a favor, find a new professor...take it a different semester...avoid this guy at all costs. His course was without a doubt my worst experience at UIUC.",04/01/2008,4,4.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,0,13983472,0,,poor,1,ME370,Incomprehensible lectures. Draws tiny unclear diagrams on the board. Tests frequently include questions that you can only answer if you've been to lecture.,01/11/2008,4,4.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13842074,0,,poor,1,ME370,"Arguably the worst professor I've experienced on this campus.  Homeworks were unrelated to all exams and grading was extremely subjective and done without citing what was correct/incorrect.  Lectures are excruciatingly boring, exams are impossible...his idea of answering questions is trailing off in an unintelligible mumble.  Worst prof ever.",12/15/2007,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
