attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,1,24785382,2,,good,5,ENGL109,One of my favorite teachers ever. She tells you EXACTLY what to do differently with your writing and she drops your lowest score. She is incredibly sweet and willing to go the extra mile to improve your writing.  ,05/09/2015,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Mandatory,good,poor,good,1,24739948,0,,good,5,ENG109,"Took this class for Advanced Composition. Mrs. Cottingham is very sweet and very passionate about teaching, and will go to great lengths to guide students on the writing assignments.",05/05/2015,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,average,average,good,0,24337835,0,,good,3,RHET101,Shes a good teacher and is very helpful with tips for being a better writer,01/27/2015,2,2.0,,5,Meh,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,0,24026398,0,,good,4,RHET105,"Mrs. Cottingham is one of the nicest people you will find on campus. Just finished the semester with an A. Not saying it was an easy A because it really is not. I was an awful writer coming out of high school, but she has changed that completely. Would recommend her to anyone. Best person you can have to teach the class. ",12/10/2014,4,4.0,,5,Really into it,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,23182160,0,,good,5,RHET105,"Best teacher for the class. She totally cares about her students and is more interested that you learn to write correctly than about the grade. Not an easy A, but do your work, do revisions after she corrects your work, and the class is not too difficult",05/06/2014,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,A-,,people,people
N/A,good,average,good,0,21631542,0,,good,5,RHET105,"Go to every class to get extra credit. You get to redo every summary response for a 100%. Not too difficult to get an A, just put some effort into the papers. Easier than most other instructors I'll heard about. She loves teaching and gives you really good notes on revisions. Best instructor for this course!",04/29/2013,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20832972,0,,good,5,RHET105,LOVE HER!! so sweet!!!!! really helped me learn how to write proper college essays,11/14/2012,4,4.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20488624,1,,good,5,RHET101,She is so nice and helpful!,07/13/2012,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,19441971,0,,good,5,RHET105,"Mary Rose is a sweetheart. She truly cares about every single one of her students and wants each of them to work to their full potential. There are quite a few assignments, but you can rewrite just about everything. If you are a poor writter, this class will prepare and teach you how to correctly and successfully write college papers.",12/09/2011,1,1.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19416307,0,,good,5,RHET105,lots of work but worth it. not easy to get an A but keep on working!,12/07/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19368489,0,,good,5,RHET105,"Great teacher, lots of work, but worth it in the end.  Go to every class for extra credit.  All papers and assignments can be revised for better grade.  Extremely Extremely helpful.  Always willing to help you in any way.  Truly does care about you as an individual.  It's a lot of work, but not bad.  Would definitely recommend her as a teacher",12/03/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19028295,0,,good,4,RHET105,I put 60 hours of work on my essay and end up D.. The highest grade in my class was B.. Certainly its not super easy class!! Dont take it for easy A,09/28/2011,5,5.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18363906,0,,good,5,RHET105,"She is enthusiastic and understanding.  The grade is easy because you can rewrite all you papers for up to a letter grade higher and extra credit for perfect attendance, also an optional extra credit essay.  You could resubmit any assignment for full points, super easy grade.  Very nice woman too.",04/06/2011,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18363098,0,,good,4,RHET105,"I loved Mrs. Cottingham. She was just a joy to be around. Although you will write a ton of papers, you get a chance to revise. Also, *hint hint*, go to every class and you shall receive extra credit.",04/06/2011,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17882079,0,,good,5,RHET105,"Although attendance is not mandatory, there may be attractive benefits for perfect attendance!",12/07/2010,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
