attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,good,0,24812973,0,,good,3,SHS222,"Professor Dye was a really great instructor.  Discussions were always really interesting and went by really fast.  Beware that this class has a LOT of group work and work outside of class.  Online quizzes are pretty easy but take with a friend.  Overall, really interesting class and Dr. Dye was really funny (and had a really cool accent!)",05/12/2015,2,2.0,,5,It's my life,4,4.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,average,average,0,24403675,0,,poor,3,SHS222,"Dr. Dye is one of the worst professors I've had at U of I. He only communicates through Twitter and is rude and sarcastic when you ask a question. The quizzes have trick questions on them and it's difficult to get a 1010 at every discussion secton. Group projects every week and no EC opportunities. Not an ""easy A"" gen ed course.",02/22/2015,3,3.0,,1,Really into it,2,2.0,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,good,average,good,0,23703673,0,online,good,5,SHS222,"As long as you do all the readings, you should be able to get a 1010 on the weekly quizzes. There's no exam for this class, but you better love working with groups online. You have 2000 word papers due every other week. This class was really interesting, and I definitely recommend this for an 8 week gen ed. ",10/28/2014,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
N/A,poor,good,poor,1,23609395,1,online,poor,1,SHS222,"He was impossible to meet with, really doesn't care about students.  He'll send you one sentence response emails.  His communication skills with students if the worst of an UIUC professor.  His quizzes were also pretty ridiculous, he would ask anything he wanted.  I highly recommend you look for a course other than this one.  ",09/23/2014,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,person,person
N/A,good,poor,good,0,23076545,0,,good,5,SHS222,"It's an extremely easy course with 8 group projects that you are given specific days to work on them, so meeting with your group is no problem. 8 quizzes that are 10 pts and you just have to make sure you post to the forums throughout the unit. I love this class and the professor is actually really funny. It's easy, anyone will like this regardless",04/22/2014,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22601298,0,,good,5,SHS222,"The class structure has changed a lot, and it is now one of the easiest gen-eds ever.  No tests, just 8 group projects that are painfully easy to do well on as long as you follow the rubric guidelines.  Each unit has a 10 point reading quiz which you are given an hour to complete on compass.  Extremely easy A, and he is a funny teacher!",12/18/2013,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,21564789,0,,poor,1,SHS222,Absolutely horrible. Don't take it unless you have to. The professor complains how students don't come to his office hours and then when you do he makes you leave. He really does not care at all about students. The grading is ridiculous and not standardized. The tests are nit picky. Guest speakers are relatively interesting.,04/19/2013,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,average,0,21472789,0,,poor,3,SHS222,"Don't take this unless you have to. The grading is ridiculous and completely unpredictable. Do all the EC. Yo might be doing fine at first, but eventually you'll get a random horrible grade. Also, Dye is completely unsympathetic and refuses to discuss grades in any way, and he never gives feedback. No matter what, you might end up with a bad grade.",04/01/2013,4,4.0,,1,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,21467459,0,,average,4,SHS222,"TA grading is ridiculous. If you're taking this class for a gen-ed, do NOT do it. You can do study and do all your work in this class and still may not do well. Much, much easier gen-eds out there.",03/31/2013,3,3.0,,2,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20413071,0,,good,5,SHS222,he knows his stuff! but his TAs are the worst! short answer exams are easy enough if you can answer the 5 questions but multiple choice tests were terrible. do all the extra credit assignments because you will need them in the end. all in all this was a very enjoyable and eye opening class. also he has a hot british accent ;),06/14/2012,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
