attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,average,2,24918384,0,,good,4,SHS270,Ridiculously easy for an Adv Comp. Supposed to be a full semester course but feels more like an 8 week course,05/29/2015,2,2.0,,3,Meh,3.5,3.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,average,average,average,0,23319437,0,,average,3,SHS320,"I honestly didn't know what to expect from this teacher, everyday was an exciting spectacle of ""what will he say or do today?"" He was very proud of being Italian so I think if you cooked him a nice pasta dinner you'd be his best friend. Quirky, unpredictable and a little off the cuff sometimes. Kind of had to teach myself in this class.",05/27/2014,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,23309830,0,,good,3,SHS320,"This class taught by Rispoli is challenging, but not impossible. He teaches in a way where you are not spoon-fed all the material.  You need to make an effort outside of class to get help if you are having trouble. I got a C on the midterm, but went to office hours every week after and got an A on the final and in the class.",05/24/2014,3,3.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22699962,0,,poor,1,SHS320,"I found this class and teacher very disappointing. He made the material much harder than it needed to be and was terrible at answering questions. His powerpoint slides were unclear and we weren't allowed to have computers. Overall, I thought this class could have been taught much more effectively.",01/05/2014,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22483565,0,,poor,1,SHS320,I feel like I did not learn anything. He is horrible at answering questions and over complicated material that should be simple. Did not give helpful exam reviews. I felt like the class could have been really enjoyable with a different professor.,12/09/2013,4,4.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,0,22471848,0,,poor,1,SHS320,"One of the worst professors I've ever had. The class itself wasn't bad at first, but towards the end I dreaded going.  Tests are open note, but ridiculously hard. Rambles when questions are asked in class, awful at explaining simple concepts and gets frustrated when you ask him to re-explain things. Hard to talk to outside of class. Overall: AWFUL!",12/08/2013,4,4.0,,2,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,B,,people,people
N/A,good,average,average,0,22386259,0,,good,4,SHS320,"He's a strange character but he obviously enjoys the material. Sometimes he blabbers on about unimportant, tangential material, which makes it really hard to pay attention! The class is not hard, though. Tests are open book and are the only things graded besides homework (easy 10 pt quizzes) and activities (in-class and graded on completion)",11/25/2013,2,2.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20269606,1,,good,5,SHS120,I highly recommend that you take SHS 120 with Rispoli if you want an easy A.  The online quiz questions are taken directly from his powerpoints or the textbook and the exams are open book/open notes.  The only downside is that attendance is mandatory and you meet twice a week for lectures that last 2-2.5 hrs.,05/13/2012,1,1.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,20215359,1,,good,4,SHS270,"Overall, good teacher.  Could be found to be annoying or agitating by most, but that is only if you are only looking to get a grade and nothing more.  Generally seems to care about the students.  Enjoyed the class.",05/07/2012,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,20155297,0,,average,3,SHS270,"Honestly, this class wasn't that bad.  Every discussion if you paid attention, you'd walk away with the subject of your paper, and if you did not, don't worry, he only takes the top 7 out of 14 papers you write.  Grading can be a little difficult at first, but once you get the hang of the outline, it shouldn't be a problem.  Overall not a bad class",04/30/2012,2,2.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
