attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26617053,0,,good,5,PS345,"He is a great teacher, I took his PS 345 class after reading these posts on rmp. He really was consistent. Participation is 10% of grading so go to most classes, seem interested and ask questions. I would do that and send e-mails a few times. He's really smart and helpful with students.",05/19/2016,3,3.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A-,,people,people
Not Mandatory,average,average,average,0,24921364,0,,good,3,PS241,"It was an okay class. I'm not that interested in PS though, but I liked the material. I didn't work as hard as I should of. Not a blow-off. Two tests. A few papers. He's passionate about the topic. Very knowledgeable, but you have to put in the work. ",05/30/2015,3,3.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,average,0,24647633,0,,good,4,PS241,His enthusiasm makes you like the course. The material itself is very interesting! I would recommend! ,04/22/2015,3,3.0,,3,Really into it,3.5,3.5,1,No,Yes,1112,Yes,,A,,people,people
Not Mandatory,good,poor,good,0,23248573,0,,good,5,PS241,Super nice guy and very easy going. He'll do whatever it takes to help you out if you need it and he's a very easy grader. It's a little hard at the beginning but it gets easier and he cuts you breaks. Very fair class.,05/14/2014,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,B,,people,people
N/A,good,poor,good,0,23219900,0,,good,5,PS241,"Take this class! So so easy. Attendance is not mandatory and even if you don't go, getting an A is definitely possible. 2 papers, took me no more than 3 hours each. 1 midterm and 1 final. Straightforward and easy especially if you attend discussions and lectures. Winters is also a great guy, very well-read and his lectures reflect that.",05/11/2014,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,21380531,0,,good,5,PS494,"Easily the most helpful and thoughtful professor I have ever had the pleasure of working with. He knows SO MUCH about the material and he is more than willing to help you with it. He absolutely expects your full effort, though; don't take this class if you can't put in 100%.",03/03/2013,5,5.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,21310253,0,,good,5,PS241AL1,"Professor Winters is a great professor. He is genuinely interested in the material, makes it easy for students to get additional help, and applies a fair difficulty level to the course. The mid-term and final exams are relatively easy and the papers are quite strictly graded, but neither are uncalled for. Overall a great professor.",01/30/2013,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,21172779,0,,good,5,PS241,"Fantastic Professor. Explains material very clearly, exams are straightforward and papers are graded fairly. If you attend lectures you will do fine on exams. Genuinely nice guy too. I wish I could have him for more classes.",12/27/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21158452,0,,good,4,PS241,"Great professor and material is very interesting. He knows his stuff well. Although some of the stuff he expects you to know can be a little too technical, you can understand the material if you actually look over it for 10 minutes or go to his office hours. The class made me view the world in a different way. Take his class!",12/23/2012,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20311902,0,,good,5,PS340,"Prof. Winters is a wonderful academic at UIUC. He's very helpful and flexible when it comes to office hours. I strongly encourage going to office hours for the term paper. He gives good feedback and will help you construct a research plan. Lectures are usually interesting and easy to follow. Overall, I recommend any course taught by him!",05/18/2012,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20214169,0,,good,5,PS241,Great professor. He is so clear and easy to understand. I defiantly recommend this class and Professor Winters.,05/07/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19534069,0,,good,5,PS345,"Provides helpful comments/critiques on graded work, grades fairly, very motivated and thoughtfully engaging, and handles the class well; Excellent professor",12/16/2011,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19472740,0,,good,5,PS345,The best Poli Sci class I have taken at UIUC yet. So interesting! I came in knowing nothing and left with a great knowledge of the material. A great lecturer too. He grades fairly and the papers help you to better understand the material.,12/12/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19339289,0,,good,5,AA,Makes use of technology to make presentations interesting. Keeps lessons relevant to current events and explains new information in a clear manner. If you attended class you won't have to worry about the exams.,11/30/2011,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18208488,1,,good,5,PS340,"I came into the topic of &quot;The Politics of Foreign Aid&quot; almost oblivious. But by the end, I knew SO much about it. His slides are jam-packed with information, he assigns interesting readings, and he is very helpful in guiding your studies/research papers. By far, one of the most effective, most memorable professors of my undergraduate experience.",02/03/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
