attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,1,17147774,0,,average,3,PS300,Very unnecessarily cocky.  Be prepared to be talked down to every time you interact with him.  Class semi-interesting but not worth it.,05/07/2010,3,3.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,good,poor,1,14111165,0,,poor,2,PS101,"this professor not only thinks hes Gods gift to teaching but is boring. he thinks everyone in there should love it, but in reality most of us are forced to take it to meet grad. requirements. watch yourself on the tests, hard grader. very picky,  if its not his opinion it will be a bad grade.",02/21/2008,4,4.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,13010858,0,,average,3,PS101,"He is pretty rude to his students and seems very arrogant. BUT, the class is pretty easy if you go to lecture and keep up with the readings. The discussion sections are pointless but attendance is mandatory. It's a pretty easy A or B",04/14/2007,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12622714,1,,good,5,PS371,Very good anecdotes made the class enjoyable and worth attending,12/16/2006,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,1,11504952,0,,good,5,PS102,"Lectures were interesting, but he comes across as a pretentious ****.",02/21/2006,3,3.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,11375651,1,,good,4,PS372,"While all the grades were for written assignments, and while Meilleur does emphasize the craft or writing more than most professors, I don't think he is as difficult a grader as some have suggested.  He gives you a long, detailded list of formatting requirements, but his bark is definately worse than his bite.  Good lecturer.  Recommended.",01/17/2006,3,3.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,average,0,10930591,0,,good,4,PS101,No Comments,11/17/2005,2,2.0,,3,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10885796,0,,good,4,PS372,"Exremely hard grader.  Class is all papers so beware, dont take it if your not savvy on writing.  Cool guy, knows his subject well but dont be shocked if your write like Rousseau and still get hosed on his papers",11/11/2005,5,5.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3808508,0,,good,5,PS101,"If you are interested in politics, you will love the class. The lectures are very engaging and quizzes, tests and assignments are not difficult. And, he is incredibly sexy.",05/07/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3771782,0,,good,4,PS101,"This was a very interesting course, but I have to agree going to the lectures doesn't help much- just read the book. However, he is quite sexy so watching him lecture was a pleasure. Also, the pop quizzes can be hard since some are about international politics and really who gives a crap...",05/03/2005,2,2.0,,4,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3740787,0,,average,3,PS101,"ok,can he be more of an ass&#63; i felt like i was in bootcamp the few times i actually went to his pointless lectures. &quot;if u fall asleep in class, i will first give u a warning.If i catch u again, you will suffer... (silence)... severe embarassment.&quot; meilleur.. please do us all a favor and QUIT!",04/29/2005,2,2.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3730946,0,,poor,2,POLS101,"Absolutely terrible.  I can't imagine a class with more pointless assignments, or useless discussion.  He only thinks he's clever, and he has nothing but contempt for students.",04/28/2005,3,3.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,3669196,0,,poor,1,PS101,This class is pretty much a joke and going to lectures are pointless. He tries to make himself sound like a genius but could keep it much simpler. Your better off just reading the text.,04/20/2005,2,2.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3553033,0,,good,5,PS101,"This is the only class I have ever taken that I look forward to going to.  Lectures are interesting, informative, and really leave you thinking about the subject.  Not to mention, Maurice is a ****.",04/04/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3496388,0,,good,5,PS101,The lectures is this class are very interesting. It's definitely a class that I can look forward to. This class take a very interesting look at American politics and will make you question yourself in one way or another. Definitely take this if you are at all interested in government or politics.,03/23/2005,3,3.0,,4,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3457056,0,,good,5,PS101,"It is an intro class, but he is really engaging and makes the material really interesting. The tests are not too bad and all of the TAs are excellent. I would highly recommend this course.",03/15/2005,3,3.0,,4,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
