attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,18940884,0,,good,5,ENG207,"She's absolutely brilliant! I would take any class with her! Fabulous! Oh, and she's totally hot!",08/22/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18575804,0,,good,5,RHET104,Loved her! She is so knowledgable. Her class totally rocks.,05/11/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16765639,0,,good,5,ENGL207,I love Melissa!  I'd go out of my way to take another class with her.  So knowledgable and always has a smile on her face,01/28/2010,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16525142,0,,good,4,ENGL208,"Melissa is super nice, but her class is really boring. Not so much a class atmosphere conducive for open discussion.",12/11/2009,2,2.0,,4,Really into it,4,4.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15440516,0,,good,5,ENGL101,"Very patient prof, enthusiastic and open to other people's interpretations of the poems.  I definately have a better understanding of poetry after this class and it wasn't overly hard as long as you keep up with everything.  Weekly responses, two papers, a midterm, and a final.",02/04/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14624302,0,,good,5,RHET104,One on one conferences with her were very helpful. She's enthusiastic in class discussion and makes students feel that their thoughts are important.,06/30/2008,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13891080,0,,good,5,RHET104,good class and discussions were pretty interesting.  the teacher was caring and helped with papers when I asked for it.,12/21/2007,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13559676,0,,good,5,ENGL210,"Definitely one of my favorite TAs.  She's open to new ideas, but always provides good insights for more developed understandings of the texts.  Does lots of close readings, and knows her stuff!",10/25/2007,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13522311,0,,good,4,ENG210,I really liked Melissa.  She's very smart and very passionate about literature!,10/12/2007,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13483864,0,,poor,2,ENGL210,"not the best TA out there. very kind and sweet person, yet explanations in discussions were often vague and circular.",09/20/2007,5,5.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
