attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,26233935,0,,good,5,PS199,"Great professor with interesting lectures. She was very engaging and I actually wanted to go to class. If you do the work, you'll get the grade you want.",04/05/2016,1,1.0,,5,N/A,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,average,poor,0,25373807,0,,poor,1,PS270,"Okay, so I took this the first semester of my freshman year, and it was honestly one of the most doable classes I've had here at UIUC. Why? because if you DO the reading, you will DO well... Maybe I'm good at writing and that affected it, but I got a B+ in this class. I'm a very average student, I just read... Orlie is terrible at explaining though",11/09/2015,3,3.0,,2,Really into it,1.5,1.5,1,Yes,Yes,1112,Yes,,B+,,people,people
N/A,average,average,average,0,24856984,0,,average,3,PS300,"Pretty good and fair class I thought. Missing 1 class would deduct 1% off your final grade, so attendance is mandatory. She said that she no longer grades tough. I thought that politics and economics of the environment was interesting ",05/18/2015,3,3.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,good,good,0,23568221,0,,good,5,270,"She has really high standards, but you get out of this class what you put into it. If you are serious about being a student, this class is for you. If you want an easy A, please go home.",08/30/2014,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,A,,people,people
Mandatory,poor,average,poor,0,22061582,0,,poor,1,PS270,"If you have excellent writing skills then take this class. It would be am easy class if you had the skills. I attended class only on discussion days, which are mandatory, and went to lecture about 15% of the time. I never read the books whatsoever and still got a B in the class due to my writing skills. Very biased and a horrible professor.",08/17/2013,2,2.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,22006846,0,,poor,2,PS270,"Awful teacher. Awful class. Your grade consists of 3 papers which only like 3 people get an A on, even if you read the text, take notes, go to office hours, etc. At the end of the class, all you  will have learned is the biased perspective on theory Prof. Orlie has.",07/29/2013,5,5.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21653970,1,,average,3,PS270,I really don't recommend this class. It is the furthest thing from easy. I'm a political science major and I didn't like the class. I practically got learned helplessness for those psych majors out there. I would have asked for help but she seems a little condescending and it scared me away. I guess take it if you will have 12 credit hours total.,05/02/2013,5,5.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,21638222,0,,good,4,PS270,"Everyone needs to take this class, yes it is hard and yes, you need to put a lot of work into it - but it is well worth it! You develop skills that are critical that no other class helps develop. The teacher is extremely helpful and goes above/beyond to help everyone. She really wants everyone to learn, one of the best professors.",04/30/2013,5,5.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,21513054,0,,average,2,PS272,"Orlie is smart, and like other students have said, her expectations are VERY high. For example, she wanted us to write a paper on Aristotle. In class she told us that Thomas Hobbs got Aristotle wrong on some accounts. So she wants UG students to write better than Thomas Hobbs. Good luck!",04/10/2013,5,5.0,,3,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20233155,0,,good,4,PS372,"Professor Orlie is great at expressing the material in understandable terms, assuming that you have taken the time to actually do the reading.",05/08/2012,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19014673,0,,average,3,PS270,The TA grades all the work so if you have a bad TA it will be awful. Did not learn anything. It was an awful political science class.,09/21/2011,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18595794,0,,good,4,PS270,"This professor is outstanding. I took three courses from her during my undergraduate career, and every lecture was intensely provocative. Unlike many professors, she believes her students are capable of excellence and holds them to a high standard. If you wish to expand yourself and believe yourself thusly capable, I strongly recommend her classes.",05/13/2011,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18592223,0,,good,5,PS270,She is a knowledgeable and eloquent professor. She prepares a lot for her lecture. This class is not an easy class. Attendance is crucial in this class because you get a lot of help for your paper and it is 1/10 of your grade. There are 3 papers having 30% of total grade each. TA is responsible for your paper grading so you gotta stick with TA.,05/13/2011,4,4.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18438555,0,,poor,3,PS270,Difficult class. I am a political science major and this is the only class I failed to get an A in. Do not let the thought of alleviating a gen ed and a 200 level class entice you enough to take this class. AVOID AVOID AVOID,04/20/2011,4,4.0,,1,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18438531,0,,good,5,PS270,"Orlie is an intelligent professor, which is more than I can say about a lot of the faculty here. More than willing to discuss topics after class. She has a very structured approach that makes learning the material easy. Very good, challenging class.",04/20/2011,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17643342,0,,good,4,PS270,"Excellent professor, made me want to come to class just to hear the interesting lectures. That being said, GO TO CLASS. Attendance is taken, and not only can you get your grade bumped up by 1/3 if you have perfect (or near perfect) attendance, you really need to go to have any chance of understanding the material. She also pretty much gives you exact places in the text which is REALLY helpful for papers.  This by no means an easy class, but if you put forth effort you can get an A.",10/09/2010,4,4.0,,3,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17536050,0,,poor,1,PS270,"Awful lecturer, extremely rude and not helpful outside of class, managed to make an interesting subject boring",08/22/2010,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17005736,0,,poor,1,PS270,"She offers no help to anyone, and unless you plan on sitting through here boring lectures don't take this class. She's a feminazi, to boot. AVOID AT ALL COSTS!!!",04/16/2010,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16896987,0,,poor,1,PS270,"I do not recommend taking this class. The professor and the TA's don't help you with questions relating to the subject outside of class, which is really difficult to understand. If the TA's like you enough and you give them gifts, they might give you a good grade, but don't count on it.",03/22/2010,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16869569,0,,poor,1,PS270,"Horrible professor, lectures are incomprehensible, no help outside of class. I think she must have written all the good reviews below, because this professor sucks.",03/12/2010,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
