attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,2,19063833,0,,average,2,FIN221,"The reason we pay these professors is so they can teach us face to face. Nowhere did I sign up for online videos that requires a tall glass of water to get through, but that's how the class is structured. Every point counts so get 100% on Aplia and Pre-flights, and do well on the projects because you're going to mess up at least 2 tests. FACT",10/12/2011,4,4.0,,3,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,18844238,0,,poor,2,FIN221,"This class is tough, but an A is very manageable if you work at it.  You have to teach yourself everything, because the hybrid style of this class is horrendous.  My best advice: Take every practice test and know how to do every single question, in and out.  His real exams are really similar, so understanding the practice exams is critical.",07/23/2011,2,2.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,average,1,18684312,0,,average,4,FIN221,I disliked this course a lot.Dyer is a lazy professor. You will learn everything taught from aplia and dyer reiterates the basics. The exams are sometimes off tangent from the material he is teaching because he took questions from a quiz bank (not written by him).,05/31/2011,4,4.0,,2,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,1,18249594,1,,poor,1,FIN221,This is the worst teacher. I ask him one thing and he answers the other. Makes things more complicated than it is.. And his voice is utterly annoyinggggg...&gt;&quot;&lt;,03/04/2011,5,5.0,,1,Meh,1,1.0,3,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,average,average,1,18062974,0,,good,4,FIN221,"His lectures and all the videos are highly useless. Pay attention to three the following three things and you will do well: do the suggested problems from the book, the practice tests, and the post quizzes. Don't go to class, his voice is highly irritating.",12/30/2010,3,3.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,17986418,0,,good,5,FIN221,"Favorite Professor at U of I! Great teacher who enjoys teaching, sad I will not have him anymore!",12/18/2010,2,2.0,,4,It's my life,4.5,4.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17723042,0,,average,2,FIN221,"Town Meetings are useless. Just watch the videos posted online to do the Preflights and the Post Quizzes. As long as you take notes on them, those should be fairly easy. Do all of the practice/past exams before a test. If you go to his office hr or review he is actual really helpful.",11/03/2010,2,2.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17142375,0,,poor,2,FIN221,"His lazy ways outside the classroom have led to lazy ways in the classroom. He basically puts it on the students to teach themselves everything. His video notes are very easy compared to the tests he gives. Your best bet is to review through the video notes carefully, go through the post-quizzes, and then take the previous exams. He is worthless.",05/06/2010,4,4.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17065120,0,,average,2,FIN221,"He's a really nice guy and helps if you ask directly but his blended learning is HORRIBLE! The videos are pointless, you learn little to nothing at the &quot;town meetings&quot; and depending on your TA you are screwed.  He's your only option however. Read the chapters, ignore the videos, and take the practice quizzes he gives you to do well in the class.",04/26/2010,4,4.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16867379,0,,good,3,FIN221,He's allright. He doesn't lecture but posts videos online. Quiz questions are from question bank easily found from googling. Exams are same as quiz questions so if you take many practice quizes you'll be fine.,03/12/2010,1,1.0,,4,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16826900,0,,good,4,FIN221,"Dyer is fun, makes lectures much more enjoyable then other foreign business professors who barely speak english.  Tests are challenging, but can be twerked,  Positive Review or Dyer!!!!",02/24/2010,4,4.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,16605691,0,,average,3,FIN221,"The videos and the lecture are pointless. Discussion is the place to learn everything. The best bet is to skim through the chapters, understand the graphs and bold words, do the practice problems, a couple practice quizzes and the practice test for sure. A few questions are just copied from the previous exam.",12/19/2009,1,1.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16321651,0,,good,3,FIN221,"Fairly easy class.  You don't need to ever watch the videos.  The professor is a very nice guy, explains thing well.",11/05/2009,2,2.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15829887,0,,good,4,FIN221,"The class is pretty hard and the stupid &quot;blended learning&quot; format doesn't really help.  If you keep up with the videos and do the assigned problems, you should do alright.  Lecture is kind of pointless.  Dyer does explain concepts pretty well though.",05/13/2009,4,4.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15524579,0,,good,4,FIN221,"Easy Class. A few of the practice exam questions are on the actual exam. Go to T.A. classes for sure. If you have questions, go to Dyer directly. He is the best at explaining basic corporate finance. He will also share good stories with you.",03/11/2009,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15416758,0,,poor,3,FIN221,"seems like a cool/nice guy, but thats about it.  he doesn't teach you anything.  class shouldn't be too hard to get an A if you have good study habits, but if not, you could be in trouble.  the video part of the class was just stupid and was a waste of time.  im a finance major, and this class had me question that, especially b/c i didnt learn much",01/26/2009,2,2.0,,1,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15365625,0,,average,3,FINN221,I took the final bc of a mix up with my exam schedule. Big mistake! The online book and videos are a nuisance. I'd rather go to a class than deal w that. Overall it took too long to learn the material. Find a tutor. They will show you in 10 min what will take you a couple hrs to figure out from the reading and videos.,01/13/2009,4,4.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15335075,0,,average,3,FIN221,"I don't like the new online video lecture system for this class, but overall Dyer is a good teacher.  He's helpful during office hours and explains the material clearly. Out of three midterms and a final, you can drop one. However, the final was much harder than the midterms, so plan on dropping it.",01/07/2009,4,4.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15280235,0,,average,3,FIN221,"Each exam has 33 problems. U must not miss more than 6 problsms per exam to be in the Safe A Zone (assuming U do well on HW & Extra Credit)! GO TO THE TA sessions. If you think they don't help, then study before you GO TO THE TA sessions :) Personally, I wish Prof. Dyer had taught FIN concepts more indepth.",12/26/2008,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14952140,0,,good,4,FIN221,Tests are very straight forward and cover material on old tests which he provides. Only one lecture now and the other is through online clips which take way way too long.,11/06/2008,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
