attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,12895607,0,,good,5,PS101,Best class ever. Grounded in founders theories he shows how modern politicians still sometimes follow them-- and not. Easy exams but hard essay assignments.,03/02/2007,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12782020,0,,good,5,PS101,DO NOT TAKE THE SECTION WITH ANN!!! She is awful and very awkward!,01/16/2007,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12678534,0,,good,4,PS101,"Prof. Krassa is a great professor to have for an introduction PoliSci course. I had no trouble in the class, but only about 6 people in the whole lecture got A's on the midterm (he and the TAs later curved the exam). Not difficult material as long as you read, and Krassa goes over a lot in the lectures. A very approachable teacher; always smiling a",12/24/2006,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,12566645,0,,average,3,PS150,"class was 150 when i took it now 101. i thought class was very easy, but a few of my friends had more problems with it. professor lectured on material not relevant to course description, not sure if that has changed since i took the class. got an A in class and took minimal notes and did not do readigns.",12/11/2006,1,1.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12323096,0,,poor,2,PS101,"Krassa is a pretty decent teacher, but DO NOT TAKE SECTION WITH ANN KOBZA.  You will regret it for the rest of your life, and everyone will think you are dumb because you'll have something other than an A in PS101 on your transcript.",10/26/2006,3,3.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3861446,0,,good,4,230,"By far my fav prof at U of I; I also had him for elections.  He can be a lil disorganized at times but his assingments are good, class is usually interesting, and he is beyond brilliant but also down to earth at the same time.",05/15/2005,3,3.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,2923493,0,,good,4,PS101,"if you take this class, take it with Krassa as the professor. Some lectures are pointless, but its easy enough that you dont have to go to every lecture. Dont miss discussion or the simulations, though. Good intro class.",12/06/2004,2,2.0,,3,Sorta interested,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1350910,0,,good,5,POLS296,"This was possibly the best class I have taken at the University of Illinois.  The class is the only one in Political Science that makes you think about real world issues and policies, and he relates the class to things we actually experience day.  GREAT!!",11/18/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1112923,0,,good,5,150,This course was the best.  His lectures were clear and he involved students with lots of simulations and other exercises.,09/02/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1112909,0,,good,5,POLYSC150,"This class was supposed to be easy.  Prof Krassa's class was hard.  Learned a lot and the Prof was clear. But I had to go to class, which I didn't expect.  And he really makes you think, and you have to participate.",09/02/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1107774,0,,good,5,PS329,"Best professor ever had at UI.  He is fun and clear.  He makes us work hard, but makes it enjoyable.  He has us find ways to apply ideas to things that are of interest to us instead of just to him. He has great connections with politicians and others.",08/28/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1107752,0,,good,5,428,"This is a statistics and econometrics class. I had four classes in statistics before this, but I never really understood it until I too his class.  It was very clear, and he taught us the mathematical derivations and also taught about the conceptual logic",08/28/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1103457,0,,good,5,POL295,Excellent teacher.  Lectures are very clear.  Has frequent exercises that involve students and give us a way to see why things happened instead of just hearing that they did happen.  Lots of guest lectures to connect the theory from books to the real worl,08/26/2003,4,4.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,929311,0,,good,5,POL290,"He is very understanding when it comes to personal issues that may be effecting your work and he is easy to talk to. In addition, students tend to pay attention because often he brings in guest speakers.",05/05/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
