attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,18624437,0,,average,3,CS210,"Sticks to his syllabus no matter the situation. This course should have been a breeze, but the way he allotted points put more emphasis on the things that should have been the least important.",05/18/2011,3,3.0,,3,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18290911,0,,good,4,ECE110,"A great professor, tough, but that's ECE for ya.  Very interesting and lively!",03/20/2011,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16818988,0,,good,3,ECE110,"A good teacher that has very hit or miss humor, but at least he tries. The class isn't too difficult but it IS important to keep up. Has attendance quizzes, although it's smart to show up to class anyways.",02/21/2010,3,3.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,16219465,0,,poor,2,ECE110,a,10/04/2009,4,4.0,,1,Meh,1.5,1.5,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15405929,0,,good,4,ECE110,Keeps you interested. Really lively. His pace is quite fast though.,01/22/2009,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15130224,0,,good,3,ECE0110,"He's alright. Would suggest going for the other professor (Professor Brunet). He knows his stuff though, can be funny at times (though sometimes its a little irritating).",12/08/2008,4,4.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13734718,0,,good,5,ECE110,Excelent teacher.  Fun amazing facts make class interesting... You can tell he really enjoys teaching.,12/02/2007,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13688738,0,,good,4,ECE110,"Good guy, teaches pretty well. He makes the class difficult, but that's more a statement about the course than about him. He tries to keep the class interesting.",11/21/2007,5,5.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13600323,0,,good,4,ECE110,"If you are taking ECE 110 make sure to sign up for the Professor Loui comedy hour.  His jokes are new, fresh, and inventive and he is an excellent teacher.  Before I had Professor Loui, I never knew that learning could be so HILARIOUS.  Don't worry if you don't laugh at his jokes, its probably because they went over your head!",11/05/2007,3,3.0,,4,It's my life,4,4.0,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12751280,0,,average,2,ECE110,"Not very clear at all with certain concepts. He's a very nice guy, but seeing as it was his first time teaching the class it seemed that he was learning the material at the same rate we were thus he couldn't explain it fully. If possible, try to get Brunet's section as she's been teaching the class a lot longer and has more input on test material.",01/09/2007,3,3.0,,3,Really into it,2.5,2.5,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12557801,0,,good,4,ECE110,"Has fun &quot;miracles&quot; and &quot;amazing facts&quot; during lecture, excited by being able to teach.",12/09/2006,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12539729,0,,poor,2,ECE110,No Comments,12/07/2006,4,4.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12278276,0,,good,5,ECE110,"He keeps students awake by randomly changing the volume of his voice and is fairly helpful in class, on Mallard, and on the Webboard.",10/11/2006,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11706976,0,,good,5,ECE390,Very clear.   Though  I disliked his method of filling in the blanks on the slides as he lectured.,04/13/2006,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
