attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,22911382,0,,good,5,CW406,"What a delightful professor! Curses like a sailor, but when he advises students about writing, he does an exceptional job. A must for any creative-writing student.",03/14/2014,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22414250,0,,good,5,CW455CW406,"Easily one of the best, if not the best, professor I had in college. His goofiness and jovial demeanor are only matched by how insightful and intelligent he is. He didn't break down my writing word-by-word. Instead, he would point something out in my writing that no one (I included) had noticed--an insight which took my writing to a better place.",12/02/2013,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,21953236,0,,good,4,CW104,"He cusses a lot but he connects with students VERY well. If his personality bothers you, look past his blunt vocabulary and go into his office. He is absolutely brilliant and has an unbelievable way helping students understand individually. He makes your own persona relevant and uses it to set examples of the information. Call him Santa.",07/08/2013,1,1.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,19816640,0,,good,5,CW406,"Maybe the best professor I had in college. Certainly the most fun I had in a class. This is what college is about (for me at least) -- having fun and learning about life. I will remember Mike and his class until the day I die. My writing improved too, but life experience is more valuable than X's and O's, and that's what this class is about.",02/10/2012,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19159925,0,,good,5,CW104,"Madonick genuinely cares about who you are, why you're taking the class, and how to best improve your writing.  A hilariously fun class sprinkled with bits of wisdom you'll take with you during your college career and beyond.",11/03/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19159903,0,,good,5,CW104,Madonick genuinely cares about who you are and how to do your best work in the class. Hilariously fun class sprinkled with bits of wisdom that you'll take with you during your college career and beyond.,11/03/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17313333,0,,good,5,CW106,I love Madonick and his sparkly pandaness! It is definitely worth it to take his class. He can be unruly and obnoxious but he is really funny and genuinely cares about his students. His sparks of wisdom are invaluable and inspiring.,06/08/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17143275,0,,good,5,CW406,"This is now the 4th class I've taken with him, and let's just say there's a reason I keep coming back for seconds! He uses comedy effectively, while still giving great advice when you need it most.",05/07/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15576218,0,,good,5,RHET101,"He is great. You will never forget him. But I agree, he will tell you are an amazing writer even when you are not.",03/27/2009,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14046393,0,,good,3,RHET406,he is awesome. but he'll tell you are better than you are. his class is unforgettable. i am still being changed by that class years and year later.,01/26/2008,3,3.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11887697,0,,good,5,RHET,"Lots and lots of fun.  Had the best time in his class, loved the reading and the writing.  Funny, but poignant.  Great proffesor.",05/15/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11835527,0,,good,5,WRITING,this was the most fun i've ever had in a classroom. madonick's crazy but i've never met anyone who cares so much for their students. take a course with him just to get to know him--he's funny as hell and one of the kindest and most intelligent people i've ever met--even though he often tries to pretend otherwise...,05/06/2006,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10017915,0,,good,5,WRITING,No Comments,07/12/2005,5,5.0,,5,It's my life,5,5.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3504264,0,,good,5,SOMANY,"madonick was the best professor i had in college, and i cannot recommend him highly enough.  he actually gives a**** about his students, and will push you to do better work than you thought possible.  he is the reason i became a teacher.",03/25/2005,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2909465,0,,good,5,RHET406,"SOOOOO FUN!! Definately take his class if you can, even if just for sheer entertainment. His class is a total BLAST!",12/04/2004,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
