attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,25545048,0,,average,2,ATMS140,"felt like I studied what I was told would be on every test, and always found new unfamiliar material. weekly homework assignments 100% saved my grade",12/03/2015,4,4.0,,3,Low,2.5,2.5,1,No,N/A,1112,N/A,,B,,people,people
Mandatory,good,average,average,1,25200134,0,,good,4,ATMS140,"He comes off a little bit arrogant, but he definitely isn't all talk. He knows a lot, and he is more than qualified to teach about climate change. People that dislike him probably just aren't interested in what he is teaching bout. Overall, I've learned a lot and he's a cool guy.",09/21/2015,3,3.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,Yes,,Not sure yet,,people,person
Mandatory,poor,average,poor,0,24786798,0,,poor,1,ATMS140,"While Professor Schlesinger is a world renown climate scientist, I learned nothing from this class. He spent 80% of lectures bragging about himself or, like others said, explaining mathematical equations that didn't matter. Attendance is mandatory but a waste of time. I certainly know his views on politics and religion, though! He's very offensive.",05/09/2015,3,3.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,A,,people,people
N/A,poor,good,poor,2,24460261,0,,poor,1,ATMS140,"I only took this class because everyone said it was an easy A.  At first it was. But for the Final, I guess the Professor got fed up with students not showing up to lecture, so the Exam will not be based off any of the exercises. This wouldn't be a problem if only he would give us enough time to copy his lecture slides! Taking ATMS 120 instead!",03/13/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,average,poor,0,23765529,0,,poor,1,ATMS140,"Lectures feel long, stuff presented is very complex and worthy of challenging a grad student (most not on exams though), and he has an air of superiority that might turn off some students.  However, he has some witty jokes and funny stories, is a world-renown professor, and the exams are, word-for-word, straight from the homework assignments.",11/07/2014,2,2.0,,2,Meh,1.5,1.5,1,No,N/A,1112,Yes,,A,,people,people
N/A,average,poor,poor,0,23715849,0,,poor,2,ATMS140,midterm every homework question. study and you'll get an a,10/30/2014,1,1.0,,1,Low,1.5,1.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,poor,average,1,22961752,1,,average,2,ATMS140,Those who give Schlesinger a bad score were not meant to take his class. He is a world renown climate scientist and provides very in depth evidence for climate change. If you are interested in this and the proof the class is amazing but if you are unmotivated you will get NOTHING out taking his classes.,03/28/2014,1,1.0,,3,It's my life,2.5,2.5,1,No,N/A,1112,N/A,,A+,,person,person
N/A,poor,good,average,0,19411892,1,,poor,1,ATMS140,"What everyone else said, typical class, &quot;ok here is a large formula for BLANK, it wont be on any tests or hw, means nothing, but i'll discuss it for forty minutes&quot;. waste of time. and note class should be called climate change, not severe and hazardous weather because there was none.",12/07/2011,5,5.0,,3,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,1,18441308,0,,poor,1,ATMS140,"Schlesinger loves what he does, but the class literally made zero sense to me. The assignments weren't difficult, but if you aren't a scientist, the mumbo-jumbo won't make any sense to you. Everyone I know in my class dropped before the end of the semester...should probably tell him something, eh&#63;",04/20/2011,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,average,poor,average,0,18037098,0,,poor,2,ATMOS140,"very very easy. Although you can not understand what professor says in class. If you want to have a high GPA, this class is your best choice.",12/24/2010,1,1.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,17671256,0,,poor,1,ANTH104,I agree. Biggest waste of time in the history of the world. Skip this and take Severe and Hazardous Weather instead.,10/19/2010,1,1.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,15657613,0,,poor,1,ATMS140,"What a complete waste of my time. He obviously has passion for the topic, but had no idea how to focus the class. No point in going to lecture. Ridiculously overcomplicated,and way too detailed for a gen ed. He did give us Girl Scout cookies though, and I think he might have picked up his uber fail when about 10/60 people showed up to class daily.",04/15/2009,1,1.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
