attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,11953061,0,,average,3,GEOL104,I loved pro stewart hes a stud!!!,05/29/2006,4,4.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11832256,0,,good,4,GEOL100,"Cool guy, lectures are interesting, but by no means is this a blow off class. In general, if you go to class and study, you can do well. I did not, and got a C.",05/05/2006,3,3.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11544421,0,,good,5,GEOL100,"Stewart is a great professor. I went into the class not expecting much, but I ended up loving the class. Group exams. Tests are directly from lecture. Lots of pictures in lectures. Actually stayed awake in lecture.",03/05/2006,2,2.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11383905,0,,good,4,GEO117,"Dr. Stewart is my favorite teacher here so far.  He was very goofy and told many off-the-topic stories, he's a little strange but its funny.  If u study the notes the tests are easy and u never have to open your book.  Good class and teacher!",01/18/2006,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11256351,0,,good,5,GEOL117,"Professor Stewart is one of my favorite instructors of all time. He is very funny and interesting, as well as informative.  I learned a lot from the class and it wasn’t difficult at all. Honestly, I never even opened up the book; all of the material that he tests you on is right out of the lectures. I highly recommend Dr. Stewart to anyone.",12/24/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3850818,0,,good,5,GEOL100,"great...group tests are very nice and material is actually kind of interesting. lots of visuals. overall, need to study for the tests but if u know it ur fine.",05/13/2005,3,3.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3784266,0,,good,5,GEOL100,"An interesting class, but NOT rocks for jocks. This course IS DIFFICULT. I thought it would be a blowoff for a Gen-Ed, but his tests are quite hard. Interesting material and a funny guy, even at 9 AM, but I cannot repeat this enough: NOT rocks for jocks.",05/04/2005,5,5.0,,3,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3668939,0,,good,5,GEOL100,sooo incredibly clear. he explains things really well whihc means he actually teaches. and well for that matter.,04/20/2005,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3648889,0,,good,5,GEOL100,"It was a little harder than I thought, but I still did ok. Stewart can be pretty funny too.",04/18/2005,3,3.0,,4,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3644522,0,,good,5,GEOL100,Not as easy as I thought it would be. Clear in lecture.  Approachable. Funny. But he drops the lowest test grade&#63;&#63;&#63;,04/17/2005,3,3.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3241494,0,,good,5,GEOL117,"he's a nice and funny guy, his powerpoints are really helpful, especially since he post it online, but the tests aren't as easy as I think they would be",01/18/2005,2,2.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3010950,0,,good,4,GEOL117,Yeah ditto. NOT A BLOW OFF CLASS. totally hated it. but Dr. Stewart is funny and interesting. the class is pretty interesting too. But I got a C because I did terrible on the tests.,12/14/2004,4,4.0,,5,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2850405,0,,good,5,GEOL103,"Good teacher and funny.  Can explain a bit too much at times, but all in all good!  Group exams, and he drops your lowest exam grade!",11/29/2004,1,1.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2782885,0,,good,5,GEOL117,I took it as a blow off...its definitely not.  Who knew there would be so much to know about the oceans&#63; Anyways hes a nice guy and his powerpoints are really clear and helpful.  he is Kinda sarcastic and goofy but thats one of the best parts of this class.,11/18/2004,4,4.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2760192,0,,good,4,GEOLOGY117,"This class is harder than i thought, i took it as a blow off and ended up doing bad.",11/16/2004,4,4.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2418601,0,,good,5,GEOL101,No Comments,08/25/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2347759,0,,good,4,GEOL100,"No longer rocks for jocks, you have to study hard for those tests but lecture is interesting b/c he relates things to real life, section is tedious and boring, I dreading going every week, make sure you get a TA that speaks english",07/28/2004,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2142945,0,,average,3,GEOL100,This class is supposed to be easy...apparently no one told him that!  His test blow!,05/14/2004,4,4.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1163875,0,,good,5,GEOL117,No Comments,10/01/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
