attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,poor,poor,0,20760813,0,,poor,1,BADM520,"There was no leadership in the class, he does nothing to guide the discussion. He's useless. To use a phrase from his favorite topic: He started the boat and then jumped. When he made the point of no laptops in class, the class revolted and he gave in. I think we got some respect from him and he enjoyed a beer with us after the last class.",10/31/2012,1,1.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20343797,0,,average,3,BADM320,"He thinks really highly of himself and he thinks his class is the most important thing in your life. Although the material is easy, the tests are unnecessarily hard because he phrases questions like SAT questions. You are also forced to go to his boring lecture to get the iclicker points.",05/24/2012,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18509875,0,,average,3,BADM320,Easy class but extremely boring,05/02/2011,2,2.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,18432388,0,,poor,2,BADM320,Most stuck up arrogant professor I have had at uiuc.. starts every class by a slide telling people to turn off cell phones Pauses randomly during lecture if there is any noise at all  and  just stands there wasting everyones time. yells at people before exams if they have hat on (seriously raises voice)..exams dnt start for 20 min into exam period,04/19/2011,2,2.0,,1,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17513619,0,,good,5,BADM320,Difficulty of this class is overblown. I am not a business major but this is one of the easiest classes ever. The material is pretty common sense stuff. Exams will only appear tricky if you don't study at all.That said Preis is grumpy at times.And the only reason why someone might attend the boring lectures is because of the silly clicker points,08/15/2010,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,16833610,0,,average,4,BADM320,"I-Clicker points make attending lecture almost mandatory.Since material is relatively interesting though you won't fall sleep during class.Useless activities as well but the silver lining is that you get 25% outside of the tests.These are hard because there is a lot of stuff and some of the questions,it seems, are deliberately phrased to trick you",02/26/2010,4,4.0,,2,It's my life,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,16207422,0,,poor,1,BADM320,"I only took this class because he was the only one teaching it. His exams are very hard, and not from his lectures. Lot of readings to do (articles,textbooks,lecture notes). Lots of useless Pre-class activities that I don't understand why they have only one attempt. Not sure if it was always like this, but the TAs are lot irritating too.",09/27/2009,5,5.0,,3,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15863203,0,,poor,1,BA320,EXAMS ARE NOT REFLECTING WHAT HE TAUGHT...,05/18/2009,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15699574,0,,poor,1,BA320,"Very boring, very stuck up.  No one likes going to his class.",04/23/2009,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,15680291,0,,average,4,BADM320,"Just a grumpy old guy. Just as 'difficult' as BA 310. If you read, you'll be more than fine.",04/21/2009,1,1.0,,1,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15637358,0,,average,2,BADM300,One of the bad professors that you can't even avoid at U of I. Very nagging. He told us there would be no iclicker questions for the next class but he lied. Exams are pretty hard.,04/11/2009,4,4.0,,4,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15231167,0,,good,4,BA320,Tries to keep students paying attention with clicker questions.  Develops his own classroom distractions when he calls out people texting or on their laptops.  Very intelligent and friendly if you interact with him personally.  Exams are challenging but some questions are worded awkwardly.,12/18/2008,3,3.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,15180387,0,,average,4,BADM320,"Also, forgot to mention that he is the type of teacher who likes to gloat about his accomplishments. I.E.: &quot;When I was in business&quot; &quot;I worked in consulting.&quot; And anyone who's been in his class knows about his desire of boating. He even used it as an example of &quot;services mix&quot; in the lecture when he mentioned some East Marine boating school.",12/12/2008,5,5.0,,1,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,15177607,0,,average,4,BADM320,Terrible professor.  Managed to make interesting material extremely boring.  Called out kids for talking just to embarass them.  Unfortunately you have to go to class for clicker points.  Exams were pretty difficult.  Too bad he's the only professor for this class.,12/12/2008,4,4.0,,2,It's my life,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,15173252,0,,average,4,BADM320,"One of the real awful professors you will ever run across at U of I. He is a smart guy but that unfortunately takes a backseat to his pissy attitude. He is a control freak basically. If 2 people are talking or texting or you try to open your test early, he will call them out.And for how much material there is, he makes the tests fairly challenging.",12/12/2008,5,5.0,,1,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15136354,0,,good,4,BADM320,"Smart dude, if you started your own company and went to Harvard you would mention it too. I missed a bunch of classes and still got over full credit, the trick is to look at the slide he JUST COVERED and answer them correctly. Don't ask questions like &quot;How hard is the test from 1-10&#63;&quot; He'll rightfully make you feel like an idiot.",12/08/2008,3,3.0,,3,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15106577,0,,poor,2,BADM320,Go to class for the clickers but he makes the material harder than it should be.  he is also very arrogant,12/04/2008,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,15017368,0,,poor,2,BADM300,"I have never dealt with a more disrespectful professor. Disregards his students' legitimate questions and makes everyone in the class feel like they are unimportant. Which is odd since the students are in fact paying his salary. At least the class is easy, even with the pointless clickers.",11/18/2008,2,2.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14950125,0,,good,4,BADM320,"class is a piece of cake. I dominated this class despite being a dumbass. just read the lecture notes and scan the definitions in the book and you'll do good. also, he's one of those guys who will stop the entire class and embarass you if you're using a laptop not for class or sees you texting. weirdo.",11/06/2008,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14801221,0,,average,2,BADM320,"Clickers are a waste because they make you go to class. Lecture's so boring as he spends forever talking about the most simple things. The HWs are pointless, but easy. His exams are strange because he oftens puts more than one correct answer so you have to guess which is the &quot;best answer&quot;, which is pretty subjective. About 2 Qs per exam on book.",09/06/2008,2,2.0,,3,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
