attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,10443836,0,,poor,2,MCB252,wack,09/24/2005,4,4.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3464125,0,,average,3,MCB252,"really nice guy, but damn those tests are really hard. not that he actually tries to trick you, he really wants you to think about and learn what he is saying in lecture and apply it to an unknown situation, but they should really give homework or something that would get us to practice the material",03/16/2005,5,5.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3436915,0,,poor,1,MCB252,"he terrible. his tests cover everything BUT what is presented in lecture!!! he also says that he doesn't try to trick you on test questions, but every question contains, &quot;all of the above&quot; or &quot;none of the above&quot; or even many different choices.",03/09/2005,5,5.0,,2,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3397860,0,,poor,1,MCB252,no idea what he's saying,02/26/2005,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3273225,0,,poor,1,MCB150,His tests are over material not presented in lecture and he is rude.,01/24/2005,5,5.0,,2,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1923255,0,,good,3,MCB150,Nice guy but has a horrendous accent. His exams are impossible and nothing like lecture.,04/08/2004,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1529939,0,,good,3,MCB150,"I thought his exams were fair compared to the other prof that taught the first half of the class.  The material was just better I think.  He knew what he was talking about, which was helpful.",12/18/2003,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1409075,0,,good,5,MCB150,"Very good prof. Has an excellent understanding of his matieral, and passes it on to his students",11/30/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1387356,0,,average,2,MCB150,"Okay prof, he has an accent that makes him difficult to understand, and his exams are impossible.",11/24/2003,4,4.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1287995,0,,average,3,MCB150,No Comments,11/09/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1094640,0,,good,4,IB150,No Comments,08/19/2003,4,4.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
