attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,3077082,0,,average,3,MATH125,"This class definitely should NOT be called Elementary linear algebra. She makes this class difficult and exams long and tough as well. Really people, you gotta study for this one, or it is impossible",12/20/2004,4,4.0,,3,Meh,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3046709,0,,average,3,MATH125,"TERRIBLE teacher.  I went to class everyday and did the practice questions, and still ended up flunking her class because of her insane tests and had to go through the hassle of petitioning to get it dropped.  I ended up retaking it over the summer, went to class twice, and got a 97%.",12/16/2004,4,4.0,,2,Low,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2785749,0,,average,3,125,Tests are impossible and nothing like what we talk about or practice with the posted exam. I hate this class. Rivals Econ 103 w/ Baer as worst class this semster,11/18/2004,4,4.0,,2,Low,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2775389,0,,average,3,MATH125,"Mrs. Theole not only has a hard name to pronounce, but makes a potentially easy class just as hard.  Seems to enjoy her statistic that the average grade in her class is a &quot;C.&quot;  Tests are terrible and often don't look a thing like practice tests.",11/17/2004,4,4.0,,2,Low,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2504171,0,,poor,1,MATH134,She should not be teaching this class,09/29/2004,5,5.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2489224,0,,poor,1,MATH125,What can you say about a teacher that starts the first test 20 minutes late because she didnt have the key to Follinger.  Also before the test she wrote on the overhead to turn off all cell phones then a second later she ansered hers.,09/22/2004,4,4.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2380480,0,,poor,2,MATH125,She's a huge ****.,08/10/2004,3,3.0,,2,N/A,2,2.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2288985,0,,poor,1,MATH125,"she tests on stuff she hasnt covered, and she thinks shes cool for that. hardest class ever(and the material was very easy). tests are rediculous. not lenient at all on grading. I was .04 away from a B and she wouldnt give it to me. I think she goofed.",07/01/2004,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,2190088,0,,good,4,MATH125,"Class itself wasnt too bad, she was a different story.",05/26/2004,2,2.0,,3,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2044527,0,,average,3,MATH125,Takes simple questions and makes you do them her way.  Takes job WAY to seriously,04/27/2004,5,5.0,,2,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1695537,0,,poor,3,MATH125,"One of the worst teaching assistants ever! And notice I said assistant, not professor.  If she was a professor, than I'd be God.",02/07/2004,3,3.0,,1,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1564247,0,,good,5,MATH125,"Never been good at math but this class was wasn't too bad.  The first test is hard, kinda a wake up call I think, after that they're ok.  She was very nice, lecture notes were easy to follow and helpful.  Going to class is very important.",12/30/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1554937,0,,poor,1,MATH125,thoele's grading is very off... i did not appreciate her class. she was not engaging in teaching and she is extremely rude.,12/26/2003,4,4.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1545175,0,,good,5,MATH125,"GREAT TEACHER!  Not an easy class, tests are challenging, but do-able.  She is VERY willing to help students during office hours or by appointment.   She makes a genuine effort to make sure students understand, even in large lectures Qs are encouraged.",12/22/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1432709,0,,poor,1,MATH125,"doesnt know how to teach, i didnt learn anything and it was a terrible class",12/03/2003,4,4.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,1365983,0,,poor,2,MATH125,Michelle is not a very helpful teacher and tends to complicate simple mathamatic concepts.  My advice is to do ALL the homework and study hard.,11/20/2003,3,3.0,,1,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1362490,0,,poor,1,MATH125,"No time on tests, gives questions on test that havent been covered in lectures. Overall, not a good teacher.",11/19/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1276187,0,,good,5,MATH125,Wow I love easy classes.  It doesnt get much better than this kids!,11/06/2003,1,1.0,,5,N/A,5,5.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1174502,0,,average,3,MATH125,No time on tests.  Very difficult class.,10/07/2003,5,5.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1077075,0,,poor,1,MATH125,She was nice in the beginning and then turned into a psycho****.,08/05/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
