attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,22173712,0,,good,4,MBA502,"Nice guy, but make yourself a favor and READ the cases before going to his lectures or else you'll be lost.",10/11/2013,1,1.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18515631,0,,good,5,ACCY302,One of the best professors I ever had.  He grades easy and tells stories about his life.  Oh and the exams are open book/ open note.,05/03/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,good,0,18132733,0,,good,3,ACCY301,"awesome prof. know a lot but has strong accent.if you have anything dont understand, go to his office hour, it is extreme helpful. he also gave u expensive chocolate when u have exams and class!!!",01/13/2011,1,1.0,,5,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18086202,0,,good,3,ACCY302,"Guy is a straight up goofball.  But he does have alot of work expierience, and numerous stories bout his billionaire friends.  Thought I failed the midterm and got an A on it so its really easy grading and I would recommend skipping most of the classes, they are just filled with Sandretto babling bout his life.",01/05/2011,2,2.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18086198,0,,good,3,ACCY302,"Guy is a straight up goofball.  But he does have alot of work expierience, and numerous stories bout his billionaire friends.  Thought I failed the midterm and got an A on it so its really easy grading and I would recommend skipping most of the classes, they are just filled with Sandretto babling bout his life.",01/05/2011,2,2.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15854885,0,,good,4,ACCY303,"Sandretto has a lot of industry experience and, instead of using a textbook for lessons, he writes cases about real-life business situations that have actually happened and teaches you with those. VERY little homework and tests are pretty straightforward - mostly opinion. You learn some technical accy, but more about REAL-WORLD accounting",05/17/2009,1,1.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15507539,0,,good,4,ACCY301,The most accomodating teacher I have ever had,03/04/2009,1,1.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13824329,0,,good,4,ACCY303,"Awesome teacher, focuses on important topics for accounting, Always willing to accommodate you and help you learn",12/13/2007,1,1.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12267406,0,,good,5,ACCY417,I graduated 3 years ago and I still folllow his class case study notes !!!!!1,10/05/2006,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12168652,0,,good,5,ACCY303,"Great prof., easy going and interesting",08/17/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11359254,0,,good,5,ACCY303,"good teacher, which is rare these days, even in the number one accounting school in the nation, take 303 with him, you'll learn a lot and get a good grade, presentations make you learn something as opposed to just bulshitting them in other classes, doesn't stick to the book at all so it's very informal and actually interesting",01/13/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11162410,0,,good,4,ACCY303,"Sandretto is the nicest guy you will ever meet...the class is a little disorganized but he makes up for it by being really awesome about helping you out, making the exams &quot;easy,&quot; etc. LOVE HIM!",12/14/2005,2,2.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,4025756,0,,good,5,ACCY303,greatest guy! so easy going! wanted you to do well! he's very interesting always had a random story to tell. strongly recommend him for 303.,06/23/2005,1,1.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3985095,0,,good,4,ACCOUNTANCY303,"He was incredibly helpful. Allowed you to call him at home. Assignments were very straight forward. If you go to class, and pay attention you should get an A. No midterm.",06/10/2005,2,2.0,,5,Low,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2348665,0,,good,4,ACCY303,"take him, hes cool",07/28/2004,2,2.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
