attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,14393896,0,,good,5,PSYC420,"This class was a challenge, but well worth it.  Lyubansky is extremely intelligent and it shows.  He's awkwardly funny and well articulated, it's the other people in the class that made it unbearable; every time someone raised their hand, something stupid would come out.",05/03/2008,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14139471,0,,average,2,PSYC336,"he assigned an insane amount of readings, the tests were really hard and the TA was impossible. the material was interesting but i would recommend taking a different diversity class",03/04/2008,4,4.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13402164,0,,average,3,PSYC238,Not a difficult class,08/13/2007,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13331262,1,,poor,2,PSYCH336,"do not take this class.  i think our psych dept has great teachers...this is not one of them.  he is vague, boring and not a good teacher.  his tests were crazy hard.  no one in our class seemed to like him...not even our TA.  do yourself a favor: even though the title sounds good, don't take this class...it is horrible",07/15/2007,4,4.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,13099664,0,,poor,1,PSYC420,"No Study guide, Prof gave lecture by reading from the slides and exam did not reflect any of the material from text book.  Do not recommend this Prof.",05/02/2007,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12652045,0,,average,3,PSYC336,Pretty good teacher.  Provides a fairly balanced view.  The topic for my course was Race and Ethnicity.,12/20/2006,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,12564573,0,,poor,2,PSYCH336,He is less then helpful.  If the section is taught by someone else they have to better then him!,12/10/2006,3,3.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12366328,0,,poor,2,PSYCH420,I took this class because I heard it was a very fun class.  Everyone I know got a C...The Professor graded the papers and tests rediculously hard!  I think he was trying to make the class hard for no reason..Do yourself a favor and wait until Dorothy Espelage teaches it the next semester.  She is supposed to be amazing!,11/06/2006,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,12358350,0,,average,4,PSYCH336,No Comments,11/04/2006,4,4.0,,2,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12200529,0,,good,5,PSYC336,No Comments,08/29/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
