attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,25227154,0,,good,4,PS231,Amazing professor. One of the most intelligent people I've heard speak in my time as a student at Illinois. Yale is lucky to have him.,10/04/2015,2,2.0,,5,It's my life,4.5,4.5,1,No,Yes,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,22518164,0,,good,4,PS231,Very interested in the content. A very passionate and intelligent professor. One of the most thoughtful professors I've had at this school.,12/12/2013,2,2.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21310231,0,,average,3,PS231A,"Prof Svolik is a nice guy, but he did not show much interest in the class. He seemed to be more interested in his research. He compensated his lack of helpfulness with hefty amounts of extra credit.",01/30/2013,2,2.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,21230469,0,,good,5,PS231,Svolik is very intelligent. He  presents class material in a naturally sophisticated manner and makes the seemingly dry subject matter the root of all fascination. Easy class that leaves students with valuable information permeated by a phenomenal lecturer.,01/08/2013,3,3.0,,2,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,21115468,0,,good,4,PS231,"Professor Svolik is smart and a great lecturer. My favorite part of the class was his lectures, my least favorite part was listening to all of the boring presentations. Tests were very easy to prepare for if you actively listened during class. Problem sets were very straight-forward also. Overall, easiest poli sci class I've ever taken.",12/18/2012,2,2.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20674215,0,,good,5,PS231,Prof Svolik is engaging and incredibly smart. Class is not difficult. Short midterm and final exam. Only 4 additional hw assignments. No essays.,10/02/2012,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20169224,0,,good,4,PS231,YOU DO NOT NEED THE BOOK FOR THIS COURSE. 1 MIDTERM; 1 FINAL. HE IS EXTREMELY SMART. TESTS ARE A LITTLE DIFFICULT. 4 HOMEWORK ASSIGNMENTS. A REASONABLE AMOUNT OF EXTRA CREDIT. WARNING: THE CLASS CAN GET PRETTTYYYY BORING.,05/01/2012,1,1.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19919127,0,,good,5,PS397,"PS 397 was my favorite undergraduate class. Prof. Svolik is so knowledgeable, gives clear explanations, makes material interesting, has helpful teaching style. He inspired me to continue on with graduate school.",03/17/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19056639,0,,good,5,PS397,"PS397 course was so well taught, I challenged my self and took his game theory class which was difficult but, out of all of my courses at U of I, the class that I got the most out of. I will always think of things in a 2x2 matrix of payoffs and losses. Thanks for one great experience, take any all his classes for a great challenge; do the reading.",10/10/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18414610,0,,good,5,PS397,"Excellent professor. He assigns lots of reading, but it's manageable. He is very good at explaining concepts, clarifying difficult topics, encouraging discussion, etc. Don't let his intimidating Slovakian accent fool you, he tolerates a fair amount of shenanigans as long as y'all stay on track. Do the work, participate, and you're gold.",04/15/2011,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
