attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,13531589,0,,poor,1,MATH243,He had no desire to teach and did not actually seem to know that much about the subject.,10/16/2007,5,5.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,13126937,0,,poor,1,MATH221,"I had this guy for about a week and a half and I switched to another lecture.  I am sure he is a very nice man and probably a genius as well, but I**** you not, I could not understand a word that came out of his mouth. Not trying to be mean, but the fact that they allow him to teach here shows that this school couldnt care less about its students",05/08/2007,3,3.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12964699,0,,poor,2,MATH221,I only did well in this class because I had taken AP calc.,04/02/2007,3,3.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12774773,0,,average,2,MATH221,I only went to lectures for reviews because he is difficult to understand and I would always fall asleep. Discussions are mandatory in my mind bc they covered what I missed from his lectures.. But I thought it was an easy class especially if you took calc in high school; pretty much a review.,01/15/2007,2,2.0,,3,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12759651,0,,poor,1,MATH221,"MC Gao has a pretty bad accent, but you can understand him after you get used to it. His exams are exactly like his exam review lectures. He teaches straight, traditional calculus. Exactly like my high school course. The final was pretty tough, but not bad enough to affect my final grade.",01/11/2007,3,3.0,,1,Sorta interested,1,1.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12756443,0,,good,4,MATH221,"I like MC Gao class.Yeah..It is true that he can't speak english very well.So what&#63;His exam is easy since he always did a review before the exam and the review helps a lot. Most question comes out from the review session.If he is eaching Math 231, I am going to take him again!",01/10/2007,2,2.0,,4,Really into it,4,4.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12586911,0,,poor,1,MATH221,Don't get this man as a professor. Every moment of every lecture I was tempted to take off my shoe and throw it at him.,12/13/2006,4,4.0,,2,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12584387,0,,poor,1,MATH221,"The lectures for this class are completly useless, you are better off reading the examples in the beginning of the chapters because thats all he does anyway.  He can't really speak english either.",12/12/2006,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12535562,0,,poor,1,MATH221,"Difficult to understand. Does not explain material, only gives examples and show us that he knows how to do the problems.",12/06/2006,4,4.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12441009,0,,poor,1,MATH221,No Comments,11/17/2006,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,average,average,average,0,12334932,0,,average,2,MATH220,"hard to understand, yet i found him helpful and understanding in office hours...lacks the necessary vocabulary needed to clarify and explain concepts",10/30/2006,3,3.0,,4,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11890575,0,,poor,1,MATH220,My Gpa took a blow cause of this class,05/15/2006,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11886632,0,,poor,1,MATH220,"He speaks poor English, can't explain stuff well and when I didn't understand something and wasn't very patient in his office hours.  He made me feel foolish for asking questions.",05/14/2006,5,5.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11744417,0,,poor,2,MATH220,"Tests are crazy, doesn't speak very good english and his accent makes him hard to understand.",04/21/2006,4,4.0,,2,Low,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11733588,0,,good,5,MATH243,Dr. Gao is a very straight forward professor. It is really hard to miss concepts and not get the material. I did average in his class partially because I did not get the material and would frequently blank out on tests. But if you want a fairly easy class and can take tests then this is your class.,04/20/2006,2,2.0,,3,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11385549,0,,average,3,MATH243,Not very good with explaining concepts but his quizzes and exams are very easy and predictable.  I did fine in this class because I already knew most of the material but I wouldn't reccommend him to teach anything vrey conceptual and that needs a lot of explanation.,01/18/2006,2,2.0,,3,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11312944,0,,poor,1,MATH220,his accent made it very hard to understand him,01/06/2006,4,4.0,,2,Meh,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,11312605,0,,average,3,MATH220,"The exams given by Prof. Gao comes straight from his homework, therefore he is an easy professor if you do homeworks regularly. But sometimes going to lecture is a bit pointless since his in-class material come straight from the textbook. Not hard to get an A in his class.",01/06/2006,1,1.0,,3,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,11281838,0,,average,3,MATH243,"Mr. Gao does not speak great english, and therefore some students have trouble understanding concepts. Having taken calc 1 and 2 before, I was able to piece together the concepts by reading the book. His tests and quizzes consist of homework and example problems done in class, so if you do the homework, you should get an A in his course (like me).",12/31/2005,1,1.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11188420,0,,poor,1,MATH220,final was crazy...,12/16/2005,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
